depth,sector,local_retention,bounded_radius,drift_rate,recurrence_density,trajectory_escape,rg_stability
1,projection,0.1500,0.5000,0.301772,0.9979,0.9000,
1,antisymmetry,0.2000,0.5000,0.004946,0.9988,0.8000,
1,neutral,0.1667,0.5000,0.162757,0.9985,0.8667,
3,projection,0.0917,0.5000,0.193233,0.9990,0.9667,
3,antisymmetry,0.2000,0.5000,0.002473,0.9994,0.8000,
3,neutral,0.1500,0.5000,0.071182,0.9993,0.8667,
6,projection,0.0667,0.5000,0.110419,0.9994,0.9667,True
6,antisymmetry,0.2000,0.5000,0.000000,0.9996,0.8000,
6,neutral,0.1429,0.5000,0.039733,0.9996,0.8667,
9,projection,0.0567,0.5000,0.077293,0.9996,0.9667,
9,antisymmetry,0.2000,0.5000,0.000989,0.9998,0.8000,
9,neutral,0.1400,0.5000,0.028473,0.9997,0.8667,
12,projection,0.0513,0.5000,0.059456,0.9997,0.9667,True
12,antisymmetry,0.2000,0.5000,0.000000,0.9998,0.8000,
12,neutral,0.1385,0.5000,0.021395,0.9998,0.8667,
15,projection,0.0479,0.5000,0.048308,0.9997,0.9667,
15,antisymmetry,0.2000,0.5000,0.000618,0.9998,0.8000,
15,neutral,0.1375,0.5000,0.017795,0.9998,0.8667,
20,projection,0.0444,0.5000,0.036806,0.9998,0.9667,True
20,antisymmetry,0.2000,0.5000,0.000000,0.9999,0.8000,
20,neutral,0.1365,0.5000,0.015827,0.9999,0.8667,
