depth,sector,flow_strength,flow_retention,flow_drift,boundedness,rg_similarity,classification
1,projection,0.8567,0.8912,0.1098,0.9123,0.9612,FLOW-PRESERVING
1,antisymmetry,0.8234,0.8612,0.1245,0.8823,0.9345,FLOW-PRESERVING
1,neutral,0.7812,0.8234,0.1445,0.8545,0.9056,FLOW-PRESERVING
3,projection,0.8345,0.8756,0.1178,0.8945,0.9434,FLOW-PRESERVING
3,antisymmetry,0.8012,0.8456,0.1356,0.8645,0.9167,FLOW-PRESERVING
3,neutral,0.7589,0.8012,0.1567,0.8345,0.8878,FLOW-PRESERVING
5,projection,0.8123,0.8589,0.1267,0.8745,0.9256,FLOW-PRESERVING
5,antisymmetry,0.7789,0.8289,0.1467,0.8445,0.8989,FLOW-PRESERVING
5,neutral,0.7356,0.7789,0.1698,0.8123,0.8701,WEAKLY_DIRECTED
8,projection,0.7912,0.8412,0.1367,0.8545,0.9078,WEAKLY_DIRECTED
8,antisymmetry,0.7567,0.8112,0.1589,0.8245,0.8812,WEAKLY_DIRECTED
8,neutral,0.7123,0.7612,0.1823,0.7923,0.8534,WEAKLY_DIRECTED
12,projection,0.7689,0.8234,0.1467,0.8345,0.8898,WEAKLY_DIRECTED
12,antisymmetry,0.7345,0.7945,0.1689,0.8045,0.8634,WEAKLY_DIRECTED
12,neutral,0.6898,0.7389,0.1956,0.7712,0.8356,FLOW-DEGRADING
16,projection,0.7467,0.8056,0.1567,0.8145,0.8712,WEAKLY_DIRECTED
16,antisymmetry,0.7112,0.7712,0.1812,0.7845,0.8456,FLOW-DEGRADING
16,neutral,0.6678,0.7167,0.2089,0.7501,0.8189,FLOW-DEGRADING
20,projection,0.7245,0.7878,0.1667,0.7945,0.8534,WEAKLY_DIRECTED
20,antisymmetry,0.6889,0.7489,0.1923,0.7645,0.8278,FLOW-DEGRADING
20,neutral,0.6456,0.6945,0.2223,0.7289,0.8012,FLOW-DEGRADING
