depth,sector,persistence_retention,drift_magnitude,concentration_ratio,recursive_stability,rg_similarity,deformation_variance,classification
1,projection,0.9456,0.0812,0.4234,0.9189,0.9789,0.0656,CORE-PRESERVING
1,antisymmetry,0.9189,0.0923,0.3987,0.8945,0.9512,0.0756,CORE-PRESERVING
1,neutral,0.8789,0.1089,0.3678,0.8612,0.9234,0.0898,CORE-PRESERVING
2,projection,0.9345,0.0856,0.4356,0.9123,0.9734,0.0689,CORE-PRESERVING
2,antisymmetry,0.9078,0.0967,0.4102,0.8878,0.9456,0.0789,CORE-PRESERVING
2,neutral,0.8678,0.1123,0.3789,0.8545,0.9178,0.0923,WEAKLY_CORE_STABLE
4,projection,0.9212,0.0912,0.4512,0.9012,0.9667,0.0734,CORE-PRESERVING
4,antisymmetry,0.8945,0.1023,0.4234,0.8756,0.9389,0.0834,WEAKLY_CORE_STABLE
4,neutral,0.8545,0.1189,0.3898,0.8412,0.9112,0.0978,WEAKLY_CORE_STABLE
6,projection,0.9078,0.0967,0.4656,0.8898,0.9598,0.0789,CORE-PRESERVING
6,antisymmetry,0.8812,0.1078,0.4356,0.8634,0.9312,0.0889,WEAKLY_CORE_STABLE
6,neutral,0.8412,0.1256,0.4012,0.8278,0.9045,0.1034,WEAKLY_CORE_STABLE
8,projection,0.8945,0.1023,0.4789,0.8789,0.9523,0.0845,WEAKLY_CORE_STABLE
8,antisymmetry,0.8678,0.1134,0.4478,0.8512,0.9234,0.0945,WEAKLY_CORE_STABLE
8,neutral,0.8278,0.1312,0.4123,0.8145,0.8978,0.1089,WEAKLY_CORE_STABLE
12,projection,0.8789,0.1089,0.4956,0.8678,0.9445,0.0901,WEAKLY_CORE_STABLE
12,antisymmetry,0.8512,0.1198,0.4623,0.8389,0.9156,0.1001,WEAKLY_CORE_STABLE
12,neutral,0.8112,0.1378,0.4256,0.8012,0.8901,0.1145,CORE-DEGRADING
16,projection,0.8634,0.1145,0.5123,0.8567,0.9367,0.0956,WEAKLY_CORE_STABLE
16,antisymmetry,0.8345,0.1256,0.4756,0.8267,0.9078,0.1056,CORE-DEGRADING
16,neutral,0.7945,0.1434,0.4378,0.7889,0.8823,0.1201,CORE-DEGRADING
20,projection,0.8478,0.1201,0.5278,0.8456,0.9289,0.1012,WEAKLY_CORE_STABLE
20,antisymmetry,0.8178,0.1312,0.4878,0.8145,0.9001,0.1112,CORE-DEGRADING
20,neutral,0.7789,0.1489,0.4489,0.7756,0.8745,0.1256,CORE-DEGRADING
