Feature,Group,Description
pc1,Principal,First PC variance
pc2,Principal,Second PC variance
effective_rank,Principal,Effective rank
tau_m1,Temporal,Moment timescale 1
tau_m2,Temporal,Moment timescale 2
tau_m3,Temporal,Moment timescale 3
tau_m4,Temporal,Moment timescale 4
temporal_corr,Temporal,Temporal autocorrelation
phase_corr,Temporal,Phase-space correlation
pc1_ratio,Amplitude,PC1 ratio
replay_displacement,Amplitude,Replay displacement
abl_full_pc1,Ablation,Full ablation sensitivity
abl_no_m1_pc1,Ablation,Ablation without $m_1$
abl_no_m2_pc1,Ablation,Ablation without $m_2$
abl_no_m3_pc1,Ablation,Ablation without $m_3$
abl_no_m4_pc1,Ablation,Ablation without $m_4$
m2_contribution,Ablation,$m_2$ contribution fraction
