K,alpha_c,beta_c,real_c,real_r,real_c_corr,null1_independent_c,null1_c_corr,null2_phase_only_c,null2_c_corr,null3_distribution_c,null3_c_corr,null4_full_independent_c,null4_c_corr
0.921383794679542,0.0698463670063643,0.5060656445587611,0.6450576849035188,0.9051978979118693,0.9957279904897918,0.18678041795914999,0.5971239542685763,0.7129051296134795,0.7505987436688434,0.5476893608319415,0.04960261517230148,0.3685582221837724,0.0
0.11623900533467868,0.07152651035235254,0.050559380675457476,0.38102244302072347,0.2063963996988091,0.7197239423760037,0.26974455265975417,0.7604747899973113,0.32990686524375157,0.7957794206450737,0.5049797034807615,0.05265948413456438,0.29915333920606374,0.0
0.3621719242282647,0.15091917975056784,0.17363893168960032,0.2567882381873245,0.4983839284145344,0.5049076340412333,0.2380342004609911,0.38150203606618127,0.2795373454399669,0.6272118013946026,0.2758195764666403,0.04388662611319493,0.145213164315342,0.0
0.4105800866931152,0.22863863019547498,0.36647415869271754,0.462215219031315,0.8846067656668315,0.9331993749534396,0.5010431649454639,0.6649151168103525,0.2999287997704692,0.681832492350807,0.4926746991335555,0.042642378964600554,0.1781349263935959,0.0
0.10590742726370617,0.2054499890466504,0.055551437746736064,0.21731783426365506,0.4427275012552063,0.3355458799094766,0.21013200740763824,0.48227801720461194,0.2583233021572466,0.5326144193178759,0.19587683342151435,0.06529137496793089,0.23180298492435022,0.0
0.7306752880200158,0.21636667735769916,0.2115808571803557,0.4909983659148769,0.7939420121170057,0.7153322191837493,0.2864226404101457,0.577967238971071,0.65256440787483,0.5346713405488855,0.5844030517181021,0.06960858609955395,0.15154891737715448,0.0
0.6967473107330464,0.17927405997563584,0.410150863633366,0.5791737477568654,0.8482349787896152,0.921654989511332,0.38797374057814904,0.4993858906791976,0.7080250865097251,0.6260046394692604,0.47453867821486495,0.06830642752714165,0.3223056631368456,0.0
0.894098208723203,0.11099636666882422,0.7677676126768086,0.5414573493702551,0.7147328546615739,0.9840018252766093,0.27908958139118956,0.47561716882629856,0.4826171764747071,0.9434306388037437,0.49095287947192007,0.05395149099890788,0.2214876888212453,0.0
0.6530242709745407,0.2073367970674575,0.14315922351267668,0.4517900929753814,0.5719149254736431,0.5182497708368041,0.2074836760381127,0.5262397565954173,0.5945216390616143,0.6273622794486442,0.40668759714380265,0.05240429684476962,0.1504882368172848,0.0
0.25122040951360036,0.09865328060412216,0.016765717510268643,0.23295078899064878,0.4742332350713832,0.6629203007724704,0.30113766224568794,0.5661656532468389,0.31547153863785593,0.46927738052632717,0.3350035630027806,0.04571414515745732,0.2572773022172001,0.0
0.05365853337521487,0.09118418998157844,0.051975895260659384,0.20342496184105396,0.47114033557575347,0.68404117677234,0.3044311176501483,0.5042654272443197,0.41882075649371536,0.5183979673252762,0.3208975378939135,0.05848571648297461,0.33387973984869296,0.0
0.1766932048086478,0.19060908878636695,0.010125566012001564,0.5453931770270258,0.5072140406156119,0.8852570611970185,0.5603978430982106,0.9118706438498434,0.32534473315275975,0.9341212337155792,0.4921042159873348,0.05078336681133706,0.24443327138465998,0.0
0.47911114834490953,0.2967354041031512,0.38534106352802,0.21594296557772702,0.27464507363115176,0.765494424100772,0.18790571726735952,0.4884067092435328,0.4405837369641464,0.6585763799606703,0.37461207603012364,0.040832749168171735,0.3223561790145728,0.0
0.3550974489631814,0.07332927659462428,0.18155594702463956,0.3993599136927297,0.7156077224463008,0.5687994003136081,0.40878952875554203,0.9335160329340917,0.3908119490436964,0.6661517305362514,0.4866840504414524,0.05163213081974347,0.24590694471107236,0.0
0.2554759703386952,0.17766291462814165,0.19084212227155312,0.14519989870787858,0.10078797020512592,0.5747202954732971,0.32667607377292424,0.3733081489670484,0.24434330365851922,0.9120927339132882,0.27826148693976455,0.040507546504056566,0.18239629152611672,0.0
0.8403421540149704,0.12160941576098448,0.657871605917781,0.488353661783727,0.5243928425494045,0.9064565594843813,0.22297021787658627,0.4992459712459105,0.5211663732179947,0.7141287557288394,0.47241259915786776,0.05597686279473426,0.29797001556716246,0.0
0.2980887480143094,0.26857260631144564,0.2327281695116697,0.1990454354579283,0.5670318854507547,0.9036253884562487,0.3119800328317451,0.6508578862265234,0.3897813508818621,0.5164823107039944,0.41307804955503363,0.04913270245285288,0.148394788206483,0.0
0.08056158288973791,0.18736627132352857,0.05759597342383882,0.23264364398875353,0.5400517883818293,0.4513235471196576,0.3690409423540871,0.4429927369450553,0.1600537852516711,0.4082749649980325,0.3178611013209977,0.05689239820545668,0.10199169719744645,0.0
