depth,projection_fraction,antisymmetry_fraction,neutral_fraction,order_parameter,kl_divergence
1,0.3586,0.0048,0.6366,0.3538,0.4177
2,0.3502,0.0022,0.6476,0.3480,0.4363
3,0.3682,0.0022,0.6296,0.3660,0.4260
4,0.3610,0.0044,0.6346,0.3566,0.4183
5,0.3578,0.0042,0.6380,0.3536,0.4212
6,0.3584,0.0032,0.6384,0.3552,0.4260
7,0.3472,0.0040,0.6488,0.3432,0.4285
8,0.3538,0.0056,0.6406,0.3482,0.4167
9,0.3556,0.0022,0.6422,0.3534,0.4331
10,0.3532,0.0034,0.6434,0.3498,0.4280
11,0.3546,0.0030,0.6424,0.3516,0.4293
12,0.3702,0.0024,0.6274,0.3678,0.4238
