N,sim,K,alpha_c,beta_c,final_order,sync_time,shared_closure,closure_divergence,continuity_overlap,collective_persistence,r_volatility,shared_closure_emergence,coupling_closure_r,mean_pairwise_diff
3,0,0.25876504303189696,0.2234028154609634,0.03645179456630004,0.2982582154335809,8,0.16666059426671975,0.043259232848298024,0.8365523884423554,0.8136185901601428,0.18638140983985718,0.6607652909884015,0.6966778209030623,0.16344761155764465
3,1,0.07852663909074131,0.055573181721965056,0.06503635391522922,0.4896319367507068,0,0.4039455370780173,0.01920793978944929,0.980563748327182,0.8645780221712742,0.13542197782872584,-0.09918248612265905,0.16450000886569197,0.019436251672818018
3,2,0.8737017926894414,0.2742571423682953,0.7465087413350483,0.934273182673288,0,0.8726035603091629,0.00015732923821908768,0.9814083766232886,0.9999979432875837,2.056712416259289e-06,-0.956148643120914,-0.9826560991727908,0.01859162337671141
3,3,0.5079443486204128,0.08451353807317298,0.19534765460373596,0.5963502650433727,84,0.5662453820895735,0.01715704471348446,0.9431842208750174,0.792920022023556,0.20707997797644398,0.09899749152436506,-0.1712193225899779,0.056815779124982535
3,4,0.5850078061290298,0.14889975548260032,0.08756900082635723,0.9175221984304227,0,0.8415565387180939,0.00038058069697472315,0.9435117916862995,0.9998994458384535,0.0001005541615465401,-0.9863356043141301,-0.9797957295389882,0.05648820831370053
3,5,0.2146796016772634,0.0767908984488251,0.20100284546665148,0.38011074877694995,64,0.5455340492913301,0.039072773444600035,0.9193606326969553,0.7609952752507965,0.2390047247492035,0.34995784062210705,0.24324772987387003,0.08063936730304468
3,6,0.2367720712597634,0.2496093970397758,0.08797567582651313,0.6795312668195114,18,0.29430882536299247,0.047985319460236285,0.8424419235963435,0.8420928330194428,0.15790716698055715,-0.05958118385870481,0.38406373067459904,0.1575580764036565
3,7,0.08142023692288425,0.18843969277700162,0.08016471921400638,0.3844999567293212,269,0.4425602071612597,0.051720531803381924,0.8637796358325461,0.7585605178636674,0.24143948213633254,0.24154881933193553,0.4920085630596688,0.13622036416745384
3,8,0.7831074079037869,0.157070743094128,0.15163269145887287,0.9132601396488889,130,0.8077778340545094,0.007424779195551075,0.9524652143475568,0.9993547261557821,0.0006452738442178806,-0.9393961757891705,0.6366203726437198,0.04753478565244318
3,9,0.3744616128934042,0.29464027878636795,0.34177523253939057,0.9801437864025071,268,0.9296002106565928,0.022458890612881116,0.991464655277978,0.9912738068379443,0.008726193162055744,0.5348258227151415,0.8662688262099447,0.008535344722021998
3,10,0.723179075104523,0.22966605888734948,0.26808563239726013,0.9390918026119747,80,0.8759280021961183,0.0027505714023613355,0.969021467701996,0.9999428258094781,5.717419052185312e-05,0.9552003998402393,0.7221479984376301,0.030978532298003958
3,11,0.7995707471615734,0.20248549806753846,0.3092411158214106,0.9884340402780246,0,0.9736525650566076,0.001307825573331889,0.9948001910171971,0.9999999380070065,6.199299356187416e-08,-0.8904002172647197,0.608351183755312,0.005199808982802889
3,12,0.4261251839332322,0.15981131539302956,0.2282421895741699,0.8855298233970721,24,0.7894419006410551,0.0013147579931268054,0.9578744526999019,0.9977117413626898,0.0022882586373102194,0.9136167258475574,0.2641975812477373,0.04212554730009812
3,13,0.8644713866671158,0.10409224292216059,0.7761030145454543,0.7540521719742075,14,0.46969686292743423,0.03169769805880628,0.9642251606314787,0.8198709767601241,0.18012902323987587,0.24696938265924825,0.30078180570567253,0.03577483936852137
3,14,0.38869454776771517,0.19663311620402035,0.20989378755553756,0.5566804626676733,242,0.2828509556123695,0.04564685291518459,0.9163092752913771,0.785538497676636,0.21446150232336403,0.4729793664788068,0.4384336602009761,0.08369072470862297
3,15,0.6518674792385852,0.14914746058497003,0.6373781962997275,0.500968236211476,0,0.48249308838875615,0.04799955769696531,0.9404679202317165,0.7835495753250433,0.21645042467495668,0.18341546932171046,0.2561912123571843,0.059532079768283425
3,16,0.7050588944254174,0.13569349306621953,0.5048566106208485,0.9646848362160908,0,0.9178348891769811,0.003040127045480458,0.9916435874764099,0.999998114389858,1.8856101420136213e-06,0.8988298169799718,0.6984407711558779,0.008356412523590135
3,17,0.38901621455956525,0.2766365799305286,0.09106121957246535,0.26493094982612125,54,0.2699817755100781,0.07497259862421936,0.7883869202237254,0.8333497072739453,0.1666502927260547,0.989007576155918,0.8253488538846055,0.21161307977627467
3,18,0.8256029641462521,0.16920709971097203,0.27491920756050253,0.6994336551037683,25,0.5985099638215234,0.02517676774847549,0.9294924239219665,0.8062170452119948,0.19378295478800525,0.2900385814896529,0.26039848153722056,0.07050757607803344
3,19,0.6167305688898805,0.22050436736837897,0.4673491521615077,0.9899750283357086,49,0.9741476702061808,0.0025901466732575055,0.9963100289255422,0.9999914290604404,8.570939559680533e-06,-0.9400854335922548,0.7204047679170862,0.0036899710744577783
3,20,0.009709244427293706,0.21064782412994432,0.009429523222844072,0.554157171177167,500,0.18567018385733106,0.04451758540297162,0.7935224663307348,0.8769152451744363,0.12308475482556366,0.5547092616564235,0.45280994085012877,0.20647753366926522
3,21,0.0980232927447876,0.28453123777566103,0.013648695579945696,0.6198968625898813,0,0.5799482383039157,0.062318978836751214,0.9105539093813141,0.8318549410240662,0.1681450589759338,0.49233936213197954,0.672566471320032,0.0894460906186859
