N,sim,step,K,order_param,shared_closure,c_std
3,0,0,0.25876504303189696,0.6688201510406991,0.7423727142495791,0.20782524888408083
3,0,25,0.25876504303189696,0.964797516179624,0.7440493974414807,0.1376073561072489
3,0,50,0.25876504303189696,0.9233194389614887,0.7887033203143455,0.0993380731135186
3,0,75,0.25876504303189696,0.7186214727965156,0.7615200385885522,0.052230036032279194
3,0,100,0.25876504303189696,0.4270749857414834,0.6549486415452662,0.0398745860712375
3,0,125,0.25876504303189696,0.34786473859955513,0.5214809140170892,0.08861201537952976
3,0,150,0.25876504303189696,0.7389578726822607,0.4737802886884574,0.10385668436772132
3,0,175,0.25876504303189696,0.9016309801978554,0.5373817273672624,0.07689840257507358
3,0,200,0.25876504303189696,0.8006508051881499,0.5879555877499716,0.03818767731803813
3,0,225,0.25876504303189696,0.5593001401005908,0.5580526229172128,0.042040372748111385
3,0,250,0.25876504303189696,0.22066941268770127,0.45918376880537454,0.0687258724127215
3,0,275,0.25876504303189696,0.2889952542725011,0.35552834689813584,0.06095984401568103
3,0,300,0.25876504303189696,0.603368741778842,0.32542306015180594,0.04425025043266038
3,0,325,0.25876504303189696,0.7058187243507368,0.35843358483649007,0.04518492478080803
3,0,350,0.25876504303189696,0.6010490285132999,0.3788468171230807,0.03714807533010002
3,0,375,0.25876504303189696,0.3431765396240921,0.34184155742211514,0.06794420824917201
3,0,400,0.25876504303189696,0.10305425995954295,0.26779569382756,0.07847281148670186
3,0,425,0.25876504303189696,0.3020087150913423,0.21428485064568017,0.057756050797166184
3,0,450,0.25876504303189696,0.3347830423345238,0.18919727156254065,0.092238367693829
3,0,475,0.25876504303189696,0.2820338306104033,0.16580347793279474,0.10652620175586978
3,1,0,0.07852663909074131,0.950249030244453,0.60526077168943,0.249480075263579
3,1,25,0.07852663909074131,0.9671862217541961,0.629472555461706,0.21429764266029983
3,1,50,0.07852663909074131,0.7473980802820586,0.6379991295693678,0.18414512249404744
3,1,75,0.07852663909074131,0.3879639742364863,0.6173130264254071,0.15796529429166956
3,1,100,0.07852663909074131,0.1632128089877662,0.5795058745954889,0.13949781973319678
3,1,125,0.07852663909074131,0.3972870042955507,0.546441893580658,0.12869013373555752
3,1,150,0.07852663909074131,0.4538996268817788,0.5231286226590223,0.11942216817840627
3,1,175,0.07852663909074131,0.32041381307164046,0.4984060851876855,0.10188500079275731
3,1,200,0.07852663909074131,0.3334589491715975,0.4705524765982361,0.07371108429816436
3,1,225,0.07852663909074131,0.6555343132354099,0.45615239939461877,0.04742733239479365
3,1,250,0.07852663909074131,0.867206823264778,0.46732074773008336,0.036546085049739135
3,1,275,0.07852663909074131,0.8214387921132479,0.48611268378826605,0.03610984552807408
3,1,300,0.07852663909074131,0.5732012718996989,0.48703496582128486,0.03565527912586172
3,1,325,0.07852663909074131,0.31220731241027977,0.4665243671149745,0.03988684195451985
3,1,350,0.07852663909074131,0.4812489604454248,0.44450311293412953,0.04789142210330282
3,1,375,0.07852663909074131,0.6986872139194434,0.4400057230291388,0.049657777575331526
3,1,400,0.07852663909074131,0.6857858135971306,0.44446417243736835,0.042499867649219876
3,1,425,0.07852663909074131,0.48445048313379535,0.43823683335923147,0.024908517345696525
3,1,450,0.07852663909074131,0.3206016951175095,0.41840526071931894,0.0032672315760527175
3,1,475,0.07852663909074131,0.5031479050663413,0.4012219837919748,0.013638564704221702
3,2,0,0.8737017926894414,0.9867826757284034,0.556579234890665,0.2635939207799815
3,2,25,0.8737017926894414,0.971129899113593,0.6746647549958883,0.07291459036851011
3,2,50,0.8737017926894414,0.9525230294152227,0.7471462297704515,0.021185967204001118
3,2,75,0.8737017926894414,0.9428622286163999,0.7909920017027909,0.010227934375850959
3,2,100,0.8737017926894414,0.9382712860535496,0.8183153965279089,0.010245448205465229
3,2,125,0.8737017926894414,0.9361293275276928,0.8358852379014464,0.010963700502738021
3,2,150,0.8737017926894414,0.9351344603488488,0.8474817042424392,0.011359108078443477
3,2,175,0.8737017926894414,0.9346728493390485,0.8552895297832297,0.011550882740098113
3,2,200,0.8737017926894414,0.9344586749911081,0.8606231455229656,0.011642432788043998
3,2,225,0.8737017926894414,0.9343592819308492,0.8643039243764324,0.01168632390861883
3,2,250,0.8737017926894414,0.9343131432927121,0.8668619596882275,0.011707619478596169
3,2,275,0.8737017926894414,0.9342917199791332,0.8686482105628192,0.01171814220041368
3,2,300,0.8737017926894414,0.9342817703610267,0.869899531600867,0.011723473186217704
3,2,325,0.8737017926894414,0.9342771485962398,0.8707779940358593,0.011726261595085318
3,2,350,0.8737017926894414,0.934275001377971,0.8713955759413867,0.0117277768292187
3,2,375,0.8737017926894414,0.9342740036804488,0.8718301610278925,0.011728635741607814
3,2,400,0.8737017926894414,0.9342735400568857,0.8721361639542377,0.011729144023470438
3,2,425,0.8737017926894414,0.9342733245964823,0.8723517174565543,0.011729457176114708
