K,perturbation_type,pre_pert_sync,post_pert_sync,recovery,collapse_depth,post_closure_range,post_fragmentation,irreversible_split
0.016308625608778438,desync,0.3743634016180762,0.33769067080376153,1.0,0.03667273081431466,0.24143438491342856,1.2349379018181483,0
0.016308625608778438,closure_collapse,0.3743634016180762,0.42978362228407463,0.8710508779776807,0.0,0.2674093203150992,1.9697242046708525,0
0.016308625608778438,coupling_break,0.3743634016180762,0.4287779858486679,0.873093801188977,0.0,0.2926313211184218,2.0042002570898374,0
0.016308625608778438,temporal_shift,0.3743634016180762,0.42978362228408573,0.8710508779776581,0.0,0.2925859862850215,2.0025884961802425,0
0.016308625608778438,continuity_block,0.3743634016180762,0.42978362228407463,0.8710508779776807,0.0,0.28455348064089675,1.9849894741066552,0
1.1499877355067571,desync,0.9634016889900758,0.9641917388843569,0.9991806090403623,0.0,0.014974303022086466,0.01761183360699497,0
1.1499877355067571,closure_collapse,0.9634016889900758,0.9634016889470027,0.9999999999409105,4.3073100641777273e-11,0.015140757308774733,0.017345483337656203,0
1.1499877355067571,coupling_break,0.9634016889900758,0.4126602213487944,1.0,0.5507414676412814,0.07922392546702017,0.3536133124829263,0
1.1499877355067571,temporal_shift,0.9634016889900758,0.9634016889469964,0.999999999940917,4.3079428913017637e-11,0.015292191231647156,0.01645952773859883,0
1.1499877355067571,continuity_block,0.9634016889900758,0.9634016889470027,0.9999999999409105,4.3073100641777273e-11,0.015287659133901954,0.01647340329383811,0
0.3673758260174916,desync,0.6026261894230592,0.7195646419231485,0.8374872168936737,0.0,0.1628855559404626,0.42267302319904543,0
0.3673758260174916,closure_collapse,0.6026261894230592,0.5352867154197941,1.0,0.06733947400326512,0.3511980528828127,0.9955460853642981,0
0.3673758260174916,coupling_break,0.6026261894230592,0.1381174086168857,1.0,0.4645087808061735,0.07404405999093641,0.25704345913503285,0
0.3673758260174916,temporal_shift,0.6026261894230592,0.5352867154197917,1.0,0.06733947400326756,0.40898829847972684,0.8271451759517857,0
0.3673758260174916,continuity_block,0.6026261894230592,0.5352867154197941,1.0,0.06733947400326512,0.3648870169493097,0.7063484394635277,0
0.1829886886576707,desync,0.49435752163500174,0.4709056431663725,1.0,0.023451878468629228,0.08202753948811964,0.2423540019971076,0
0.1829886886576707,closure_collapse,0.49435752163500174,0.38285954300597586,1.0,0.11149797862902588,0.1900726349586131,1.3077496548881187,0
0.1829886886576707,coupling_break,0.49435752163500174,0.3204300777644173,1.0,0.17392744387058445,0.18778851264981078,0.8707129281314592,0
0.1829886886576707,temporal_shift,0.49435752163500174,0.38285954300597697,1.0,0.11149797862902477,0.18116608349738395,0.7521986485132004,0
0.1829886886576707,continuity_block,0.49435752163500174,0.38285954300597586,1.0,0.11149797862902588,0.17974737400610954,0.8386203500225632,0
1.3733191721667524,desync,0.9732125302940782,0.9732078622551967,1.0,4.668038881439074e-06,0.03628752592631712,0.03875782975109685,0
1.3733191721667524,closure_collapse,0.9732125302940782,0.9732125302940196,0.9999999998973077,5.861977570020827e-14,0.032302557332669846,0.03794273517124874,0
1.3733191721667524,coupling_break,0.9732125302940782,0.7037237256730896,1.0,0.26948880462098856,0.3329111598503196,0.7680473049893111,0
1.3733191721667524,temporal_shift,0.9732125302940782,0.9732125302940144,0.999999999897313,6.372680161348399e-14,0.0336843507600213,0.03553623549714903,0
1.3733191721667524,continuity_block,0.9732125302940782,0.9732125302940196,0.9999999998973077,5.861977570020827e-14,0.04712971094345286,0.050106877233134964,0
0.1410920612482553,desync,0.2073017896970747,0.10623981564487835,1.0,0.10106197405219634,0.10917898469428781,1.9374019128312068,0
0.1410920612482553,closure_collapse,0.2073017896970747,0.9638215755247168,0.21508315951809714,0.0,0.07288013763257983,0.10968649624691146,0
