N,sim,K,alpha_c,beta_c,collective_closure,cross_prediction_error,closure_convergence,high_closure_frac,final_order
3,0,0.25876504303189696,0.2234028154609634,0.03645179456630004,0.19334574182311956,0.44705762434121876,0.0,0.0,0.2982582154335809
3,1,0.07852663909074131,0.055573181721965056,0.06503635391522922,0.4200239013098354,0.663099034626765,0.890906313599689,0.0,0.4896319367507068
3,2,0.8737017926894414,0.2742571423682953,0.7465087413350483,0.872470513102899,0.004365878122477319,0.968043590799642,1.0,0.934273182673288
3,3,0.5079443486204128,0.08451353807317298,0.19534765460373596,0.561596433349734,0.37923751761012475,0.7963073987531434,0.6666666666666666,0.5963502650433727
3,4,0.5850078061290298,0.14889975548260032,0.08756900082635723,0.8414866177657596,0.018445878579612874,0.8999037327793133,1.0,0.9175221984304227
3,5,0.2146796016772634,0.0767908984488251,0.20100284546665148,0.579721529370126,0.201599311263848,0.734301341186059,0.6666666666666666,0.38011074877694995
3,6,0.2367720712597634,0.2496093970397758,0.08797567582651313,0.29564546044184614,0.6470175923695433,0.5738484644952055,0.0,0.6795312668195114
3,7,0.08142023692288425,0.18843969277700162,0.08016471921400638,0.4739793678253898,0.3977846352551799,0.4366790811434482,0.0,0.3844999567293212
3,8,0.7831074079037869,0.157070743094128,0.15163269145887287,0.8013985925788447,0.05235813660337816,0.9121324086758771,1.0,0.9132601396488889
3,9,0.3744616128934042,0.29464027878636795,0.34177523253939057,0.9108611375080412,0.05818675287906332,0.9851875876334888,1.0,0.9801437864025071
3,10,0.723179075104523,0.22966605888734948,0.26808563239726013,0.8735845934753422,0.018774222309515805,0.9470474408806554,1.0,0.9390918026119747
3,11,0.7995707471615734,0.20248549806753846,0.3092411158214106,0.9725343995796414,0.0008971681031173688,0.9919910715288431,1.0,0.9884340402780246
3,12,0.4261251839332322,0.15981131539302956,0.2282421895741699,0.7905819708067315,0.015924743206518117,0.9194082068449965,1.0,0.8855298233970721
3,13,0.8644713866671158,0.10409224292216059,0.7761030145454543,0.49223293154292047,0.07743730511359526,0.9586938702907879,1.0,0.7540521719742075
3,14,0.38869454776771517,0.19663311620402035,0.20989378755553756,0.3011625447105477,0.35243413631404624,0.5583376349836368,0.0,0.5566804626676733
3,15,0.6518674792385852,0.14914746058497003,0.6373781962997275,0.5248835170558117,0.21548317396419112,0.843337585907969,0.0,0.500968236211476
3,16,0.7050588944254174,0.13569349306621953,0.5048566106208485,0.9152172896341539,0.0028254589605577023,0.9863685103267122,1.0,0.9646848362160908
3,17,0.38901621455956525,0.2766365799305286,0.09106121957246535,0.33495067137458684,0.062174500478347446,0.0,0.0,0.26493094982612125
3,18,0.8256029641462521,0.16920709971097203,0.27491920756050253,0.5891823544069621,0.05404733919423577,0.7662915239481263,0.6666666666666666,0.6994336551037683
3,19,0.6167305688898805,0.22050436736837897,0.4673491521615077,0.9719385885229671,0.005065634510180015,0.9943319225298979,1.0,0.9899750283357086
3,20,0.009709244427293706,0.21064782412994432,0.009429523222844072,0.15718873267981423,0.5174878110315597,0.0,0.0,0.554157171177167
3,21,0.0980232927447876,0.28453123777566103,0.013648695579945696,0.5898470953409177,0.6461368828334745,0.5064506936442398,0.6666666666666666,0.6198968625898813
3,22,0.2584095858022486,0.09830243315472394,0.00027500311672507607,0.5305230744253964,0.5348103391184242,0.34370324817855724,0.6666666666666666,0.4844750745315452
3,23,0.6902947995272528,0.28214224182842373,0.3255807293148512,0.5739883143196934,0.09531620515076951,0.40598108467528327,0.0,0.4705638211491219
3,24,0.41253201432946274,0.12912743804516263,0.062150216419157134,0.385796785403851,0.5781223010115645,0.9370723961534992,0.0,0.7714167610213599
3,25,0.19010064544167116,0.28582021231470545,0.09688305666320614,0.4152743136156397,0.584902303963314,0.8220374369548054,1.0,0.9601892851334509
3,26,0.3403644310063626,0.29871562059238344,0.17994903439043028,0.2188460008520824,0.3078867129596325,0.3756869276482723,0.0,0.5456404040525172
3,27,0.47064277663309906,0.06704464424850488,0.2814621457132206,0.3430930804833041,0.21223298288705839,0.9427470599094436,0.0,0.7550771166703908
3,28,0.5569807278689485,0.1440834337413866,0.43017782234611956,0.709027876699028,0.041474308559071076,0.9130711957355889,1.0,0.8371150612992398
3,29,0.7369050395460304,0.2092598251979499,0.6270351322393055,0.9194618603898569,0.0034146342586073423,0.9856806283395014,1.0,0.964846437054108
