k_value,N,transfer_gain,localization_candidate,fragmentation_candidate,boundary_candidate,scale_sensitive,topology_invariant,limitations
0.0,256,-0.049,no,yes,no,no,no,small_N_high_variance
0.0,512,-0.040,no,yes,no,no,no,small_N_high_variance
0.0,1024,-0.031,no,yes,no,no,no,baseline_transfer
0.0,2048,-0.022,no,yes,no,no,no,baseline_transfer
0.2,256,-0.050,no,yes,no,no,no,mild_amplification
0.2,512,-0.032,no,yes,no,no,no,mild_amplification
0.2,1024,-0.026,no,yes,no,no,no,mild_amplification
0.2,2048,-0.018,no,yes,no,no,no,mild_amplification
0.4,256,-0.017,no,yes,yes,no,no,boundary_approach
0.4,512,-0.008,no,no,yes,no,no,boundary_approach
0.4,1024,-0.017,no,no,yes,no,no,boundary_approach
0.4,2048,-0.008,no,no,yes,no,no,boundary_approach
0.6,256,-0.005,no,no,yes,no,no,near_saturation
0.6,512,-0.003,no,no,yes,no,no,near_saturation
0.6,1024,-0.003,no,no,yes,no,no,near_saturation
0.6,2048,-0.002,no,no,yes,no,no,near_saturation
0.7,256,0.000,yes,no,yes,no,yes,localization_onset
0.7,512,0.000,yes,no,yes,no,yes,localization_onset
0.7,1024,0.000,yes,no,yes,no,yes,localization_onset
0.7,2048,0.000,yes,no,yes,no,yes,localization_onset
0.8,256,0.000,yes,no,no,no,yes,localization_regime
0.8,512,0.000,yes,no,no,no,yes,localization_regime
0.8,1024,0.000,yes,no,no,no,yes,localization_regime
0.8,2048,0.000,yes,no,no,no,yes,localization_regime
0.9,256,-0.002,yes,no,no,no,yes,localization_regime
0.9,512,-0.002,yes,no,no,no,yes,localization_regime
0.9,1024,-0.002,yes,no,no,no,yes,localization_regime
0.9,2048,-0.002,yes,no,no,no,yes,localization_regime
1.0,256,-0.014,yes,no,no,no,yes,full_coupling
1.0,512,-0.007,yes,no,no,no,yes,full_coupling
1.0,1024,-0.008,yes,no,no,no,yes,full_coupling
1.0,2048,-0.005,yes,no,no,no,yes,full_coupling
