coupling,mean_persistence_gain,mean_sync_gain,mean_compressibility_shift,tier_status
0.000,NA,-0.012,0.001,TIER_0_BASELINE
0.042,-0.006,0.690,NA,TIER_0_BASELINE
0.083,-0.003,0.688,NA,TIER_0_BASELINE
0.125,0.005,0.669,NA,TIER_1_CANDIDATE
0.167,0.007,0.671,NA,TIER_1_CANDIDATE
0.208,0.018,0.629,NA,TIER_1_CANDIDATE
0.250,0.017,0.606,NA,TIER_1_CANDIDATE
0.292,0.024,0.579,NA,TIER_1_CANDIDATE
0.333,0.031,0.541,NA,TIER_1_CANDIDATE
0.375,0.036,0.520,NA,TIER_1_CANDIDATE
0.417,0.039,0.465,NA,TIER_1_CANDIDATE
0.458,0.046,0.428,NA,TIER_1_CANDIDATE
0.500,0.050,0.398,NA,TIER_1_CANDIDATE
0.542,0.054,0.366,NA,TIER_1_CANDIDATE
0.583,0.059,0.327,NA,TIER_1_CANDIDATE
0.625,0.061,0.293,NA,TIER_1_CANDIDATE
0.667,0.068,0.284,NA,TIER_2_CANDIDATE
0.708,0.068,0.249,NA,TIER_2_CANDIDATE
0.750,0.070,0.236,NA,TIER_2_CANDIDATE
0.792,0.070,0.215,NA,TIER_2_CANDIDATE
0.833,0.075,0.212,NA,TIER_2_CANDIDATE
0.875,0.076,0.202,NA,TIER_2_CANDIDATE
0.917,0.078,0.201,NA,TIER_2_CANDIDATE
0.958,0.078,0.191,NA,TIER_2_CANDIDATE
1.000,0.080,0.187,NA,TIER_2_VERIFIED
