system,type,directional_gradient,propagation_asymmetry,recursive_dependency,depth_coupling,causal_retention,transfer_entropy,asymmetry_preservation,standard_rho,standard_p,original_system,adversarial_type
TurbulenceEnergyCascade,surviving,0.3071861756698352,1.0,0.342285318587667,0.8716242084072237,1.0,0.8017837257372733,1.2638995024784136e-16,1.0,0.0,,
EnergyMomentumConservation,surviving,0.4359768768633429,1.0,0.342285318587667,0.8484121459942848,1.0,0.8017837257372733,4.067252473985069e-16,1.0,0.0,,
DoubleSlitInterference,surviving,0.3587937001397513,1.0,0.342285318587667,0.8212854523884091,1.0,0.5855400437691199,0.36151923020428867,1.0,0.0,,
ChemicalEquilibriumNetwork,surviving,0.3587937001397513,1.0,0.342285318587667,0.8212854523884091,1.0,0.5855400437691199,0.36151923020428867,1.0,0.0,,
SuperconductorCoherence,surviving,0.3071861756698352,1.0,0.342285318587667,0.8716242084072237,1.0,0.8017837257372733,1.2638995024784136e-16,1.0,0.0,,
CriticalPhenomenaScaling,rejected,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,1.0,0.0,,
ChargeConservationEM,rejected,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,1.0,0.0,,
StandingWavePatterns,rejected,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,1.0,0.0,,
LimitCycleOscillations,rejected,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,1.0,0.0,,
StrangeAttractorLorenz,rejected,0.08693781298568792,1.0,0.16726250302373377,0.8216112781578097,1.0,0.6078306738548308,0.41700712380271504,1.0,0.0,,
ElectronTransportMesoscopic,rejected,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,1.0,0.0,,
HeatTransportPhononic,rejected,0.12362009766002374,1.0,0.16726250302373377,0.8198334476120632,1.0,0.5855400437691199,0.4490202344459581,1.0,0.0,,
AndersonLocalization,rejected,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,1.0,0.0,,
PhotonicBandgapLocalization,rejected,0.06118212239239745,1.0,0.16726250302373377,0.7841054411372617,1.0,0.6078306738548308,0.4508494180364224,1.0,0.0,,
PhaseEquilibriumMulticomponent,rejected,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,1.0,0.0,,
CriticalPhenomenaScaling_MonotonicFake_Adversarial,adversarial,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-1.0,0.0,CriticalPhenomenaScaling,MonotonicFake
CriticalPhenomenaScaling_OrderPreserve_Adversarial,adversarial,0.6200711072599078,1.0,0.2995190852789272,0.4384815787313269,0.14285714285714288,0.3646984043128985,0.2400223646834027,0.14285714285714288,0.7599453002180929,CriticalPhenomenaScaling,OrderPreserve
CriticalPhenomenaScaling_MirroredRecursion_Adversarial,adversarial,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-1.0,0.0,CriticalPhenomenaScaling,MirroredRecursion
CriticalPhenomenaScaling_StaticScale_Adversarial,adversarial,0.0,0.9999999800796817,0.0,0.49789601696372426,0.0,0.0,0.8598109033959204,0.0,1.0,CriticalPhenomenaScaling,StaticScale
CriticalPhenomenaScaling_SyntheticInvert_Adversarial,adversarial,0.0,1.0,0.342285318587667,0.7405300864984441,1.0,0.8017837257372733,0.11174713108659859,-1.0,0.0,CriticalPhenomenaScaling,SyntheticInvert
CriticalPhenomenaScaling_PseudoDepth_Adversarial,adversarial,0.2246701130882902,1.0,0.21000924784030775,0.5764639291734537,0.07559289460184546,0.5345224838248488,0.06323829739788252,0.07559289460184546,0.8720358604209588,CriticalPhenomenaScaling,PseudoDepth
CriticalPhenomenaScaling_RecursiveDecouple_Adversarial,adversarial,0.18902447531816813,1.0,0.16726250302373377,0.8459890587085332,0.8928571428571429,0.6078306738548308,0.2400223646834022,0.8928571428571429,0.006807187408935392,CriticalPhenomenaScaling,RecursiveDecouple
TurbulenceEnergyCascade_MonotonicFake_Adversarial,adversarial,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-1.0,0.0,TurbulenceEnergyCascade,MonotonicFake
TurbulenceEnergyCascade_OrderPreserve_Adversarial,adversarial,0.4268632359245702,1.0,0.342285318587667,0.4436067295067724,0.642857142857143,0.3646984043128985,1.579874378098017e-17,0.642857142857143,0.11939237342741094,TurbulenceEnergyCascade,OrderPreserve
TurbulenceEnergyCascade_MirroredRecursion_Adversarial,adversarial,0.0,1.0,0.342285318587667,0.7436324583784302,1.0,0.8017837257372733,0.0,-1.0,0.0,TurbulenceEnergyCascade,MirroredRecursion
