system,cluster,stability
EnergyMomentumConservation,1,1.036115
ChemicalEquilibriumNetwork,3,1.068225
SuperconductorCoherence,1,1.111627
DoubleSlitInterference,3,1.068225
TurbulenceEnergyCascade,1,1.111627
reaction_diffusion,5,0.344045
synchronized_oscillators,2,0.80142
recursive_market,2,0.293974
predator_prey_cycles,2,0.370164
neural_cascade,5,0.192496
avalanche_redistribution,0,-0.553197
percolation_transport,2,0.586377
CrystallizationFromLiquid,1,0.960019
LaserOpticalCoherence,3,0.9978
FerromagneticMagnetization,3,0.9978
ElectronTransportMesoscopic,3,0.9978
LimitCycleOscillations,3,0.9978
HeatTransportPhononic,1,0.960019
StrangeAttractorLorenz,1,0.968782
AndersonLocalization,3,0.9978
PhaseEquilibriumMulticomponent,3,0.9978
PhotonicBandgapLocalization,1,0.812712
CriticalPhenomenaScaling,3,0.9978
ChargeConservationEM,3,0.9978
StandingWavePatterns,3,0.9978
random_walk,2,0.456684
static_equilibrium,4,1.979348
memoryless_diffusion,5,0.464011
white_noise,2,0.672086
disconnected_flow,1,1.152038
monotonic_decay,2,0.809127
