system,stability,cluster,margin,spread,coherence,interface_balance,hybridity
EnergyMomentumConservation,1.036115,2,0.8683746771740863,0.2979294904778584,6.758203593149381,-1.566985969467384,0.37576537409724586
ChemicalEquilibriumNetwork,1.068225,2,1.0425022776280357,0.3298062096310585,7.4554890415036175,-1.0010971160959112,0.3281238888738178
SuperconductorCoherence,1.111627,2,1.030553371789361,0.3800757398363454,3.8082422437248526,-0.5082215011101756,0.3052981855962574
DoubleSlitInterference,1.068225,2,1.0425022776280357,0.3298062096310585,7.4554890415036175,-1.0010971160959112,0.3281238888738178
TurbulenceEnergyCascade,1.111627,2,1.030553371789361,0.3800757398363454,3.8082422437248526,-0.5082215011101756,0.3052981855962574
reaction_diffusion,0.344045,1,2.723232896674161,0.5029221379523366,3.0737128673360044,-3.6222663814305576,0.1335070557879112
synchronized_oscillators,0.80142,5,0.6425556364795743,0.6048442263325613,1.2242267872897994,-3.22035689397697,0.24057375281020052
recursive_market,0.293974,0,1.6537739846614532,0.43248302669249283,3.2283759819398155,-1.4171572219061348,0.21385279100168222
predator_prey_cycles,0.370164,0,1.1638769071857986,0.43460784154544335,2.5012625666994053,-0.7679557741442185,0.26128665478937524
neural_cascade,0.192496,1,2.186704513594505,0.48149419958309414,2.336178504900178,-2.656996546803238,0.1627090927963218
avalanche_redistribution,-0.553197,3,3.0235336687981285,0.4204330757464178,100000000.0,-6.750129747869118,0.14404425859488454
percolation_transport,0.586377,5,0.7656955204371473,0.506152784582105,1.786959848082815,-2.048320200614195,0.27968990672617744
CrystallizationFromLiquid,0.960019,2,0.759569685002043,0.29432702185840953,5.211195491210662,-1.7552063323936395,0.40104861100785055
LaserOpticalCoherence,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
FerromagneticMagnetization,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
ElectronTransportMesoscopic,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
LimitCycleOscillations,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
HeatTransportPhononic,0.960019,2,0.759569685002043,0.29432702185840953,5.211195491210662,-1.7552063323936395,0.40104861100785055
StrangeAttractorLorenz,0.968782,2,0.8153695139585713,0.30094248055464146,5.093103111918709,-1.6103505417095536,0.3850772606184197
AndersonLocalization,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
PhaseEquilibriumMulticomponent,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
PhotonicBandgapLocalization,0.812712,5,0.10315369751206072,0.3380387102450434,1.8644839339930566,-2.227373613768422,0.6000626125333903
CriticalPhenomenaScaling,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
ChargeConservationEM,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
StandingWavePatterns,0.9978,2,0.9378309655325011,0.2912694430647017,8.757056045207394,-1.5376506571070274,0.3657339414743765
random_walk,0.456684,0,1.6031039114452021,0.46225855887514106,2.067151022922914,-1.6483158119956522,0.20657701706049583
static_equilibrium,1.979348,4,2.7946594872006565,0.43153847222849023,100000000.0,-6.5435786268519545,0.14980567549971846
memoryless_diffusion,0.464011,1,2.4046116156074917,0.5253937492610464,1.8638653011384505,-3.4057909519645353,0.1394009961557006
white_noise,0.672086,5,0.8640756605055856,0.5717022438702002,1.8980241058873422,-2.57556458966692,0.22976414809988688
disconnected_flow,1.152038,2,0.238711896265124,0.48567906497494157,0.9337370937770529,-2.575563418703463,0.4152062610973563
monotonic_decay,0.809127,5,0.25996201723679757,0.5198861039181889,0.8441924883436206,-2.8926599293699162,0.381054261567933
