domain,descriptor,n_transitions,transition_rate,n_systems
branching,CSR,119,0.238,500
branching,RBS,158,0.316,500
branching,ADI,105,0.21,500
branching,RTP,207,0.414,500
branching,SRD,207,0.414,500
cellular_automata,CSR,157,0.314,500
cellular_automata,RBS,154,0.308,500
cellular_automata,ADI,129,0.258,500
cellular_automata,RTP,106,0.212,500
cellular_automata,SRD,158,0.316,500
coupled_map_lattice,CSR,288,0.576,500
coupled_map_lattice,RBS,158,0.316,500
coupled_map_lattice,ADI,230,0.46,500
coupled_map_lattice,RTP,240,0.48,500
coupled_map_lattice,SRD,308,0.616,500
graph_diffusion,CSR,192,0.384,500
graph_diffusion,RBS,220,0.44,500
graph_diffusion,ADI,174,0.348,500
graph_diffusion,RTP,180,0.36,500
graph_diffusion,SRD,226,0.452,500
gray_scott,CSR,332,0.664,500
gray_scott,RBS,357,0.714,500
gray_scott,ADI,267,0.534,500
gray_scott,RTP,269,0.538,500
gray_scott,SRD,344,0.688,500
kuramoto,CSR,220,0.44,500
kuramoto,RBS,258,0.516,500
kuramoto,ADI,227,0.454,500
kuramoto,RTP,236,0.472,500
kuramoto,SRD,243,0.486,500
lotka_volterra,CSR,10,0.02,500
lotka_volterra,RBS,10,0.02,500
lotka_volterra,ADI,10,0.02,500
lotka_volterra,RTP,10,0.02,500
lotka_volterra,SRD,10,0.02,500
nonlinear_oscillator,CSR,243,0.486,500
nonlinear_oscillator,RBS,312,0.624,500
nonlinear_oscillator,ADI,306,0.612,500
nonlinear_oscillator,RTP,296,0.592,500
nonlinear_oscillator,SRD,306,0.612,500
population,CSR,131,0.262,500
population,RBS,231,0.462,500
population,ADI,275,0.55,500
population,RTP,190,0.38,500
population,SRD,146,0.292,500
replicator,CSR,74,0.148,500
replicator,RBS,62,0.124,500
replicator,ADI,70,0.14,500
replicator,RTP,74,0.148,500
replicator,SRD,74,0.148,500
