domain,n_systems,coherence_mean,fertility_mean,coherence_vs_rest,fertility_vs_rest,constrained_generative_pct,rigid_coherence_pct,chaotic_fertility_pct,collapse_pct
branching,500,0.5227,0.5347,-0.0463,0.4325,24.4,0.0,71.0,4.6
cellular_automata,500,0.5745,0.0026,0.0113,-0.1587,0.0,21.2,0.0,78.8
coupled_map_lattice,500,0.5952,0.1219,0.0343,-0.0261,16.8,55.8,18.6,8.8
graph_diffusion,500,0.4913,0.0004,-0.0811,-0.1612,0.0,34.4,0.0,65.6
gray_scott,500,0.5911,0.1448,0.0298,-0.0007,35.0,36.0,21.0,8.0
kuramoto,500,0.572,0.2218,0.0085,0.0849,35.8,0.8,62.0,1.4
lotka_volterra,500,0.5289,0.1908,-0.0393,0.0504,0.0,0.0,99.0,1.0
nonlinear_oscillator,500,0.5793,0.1276,0.0167,-0.0199,52.0,16.6,25.6,5.8
population,500,0.5972,0.0932,0.0366,-0.058,23.8,55.4,15.0,5.8
replicator,500,0.591,0.0167,0.0296,-0.1431,0.0,92.0,0.0,8.0
