depth,sector,condition,rg_similarity,wave_coherence,interference_stability,standing_mode_persistence,oscillatory_transport_alignment,recursive_mode_synchronization,interference_gain,classification
1,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8192,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12288,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16384,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24576,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32768,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
65536,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
131072,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
262144,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
524288,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1048576,Projection,WaveModeExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2097152,Projection,WaveModeExtraction,0.9563,0.9152,0.8858,0.8835,0.8946,0.8764,0.8884,WAVE-STABLE
4194304,Projection,WaveModeExtraction,0.8279,0.8347,0.797,0.787,0.8088,0.7573,0.783,WAVE-BOUNDED
1,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
8,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
12,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
16,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
20,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
24,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
32,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
40,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
48,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
64,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
80,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
96,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
128,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
160,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
192,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
256,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
320,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
512,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
768,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1024,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
1536,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
2048,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
3072,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
4096,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
6144,Projection,RecursiveInterferenceCoherence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,WAVE-STABLE
