domain,sys_idx,process_regime,observer_level,base_observer_continuity,fail_temporal_continuity,fail_closure_feedback,fail_reconstruction,fail_recursive_alignment,fail_closure_persistence,fail_all,fail_temporal_continuity_collapse_ratio,fail_closure_feedback_collapse_ratio,fail_reconstruction_collapse_ratio,fail_recursive_alignment_collapse_ratio,fail_closure_persistence_collapse_ratio,fail_all_collapse_ratio
branching,0,CH,0,0.0511856176607466,0.000726835775901163,0.019102472516109192,0.051185617665865164,0.031179667812426128,0.019102472516109192,0.000511856176607466,0.01420000009999999,0.3732000001,1.0000000001,0.6091489999999999,0.3732000001,0.010000000000000002
branching,1,CH,0,0.0295019232490833,3.245211852418365e-05,0.013975061046040951,0.02950192325203349,0.020075321222919957,0.013975061046040951,0.000295019232490833,0.00110000009999999,0.4737000001,1.0000000001,0.6804749999999999,0.4737000001,0.01
branching,2,CH,0,0.02246395678583,8.985584960726689e-06,0.012069883983272854,0.022463956788076396,0.015392730004829646,0.012069883983272854,0.0002246395678583,0.000400000099999956,0.5373000001,1.0000000001,0.685219,0.5373000001,0.01
branching,3,CH,0,0.00553485698796,8.302286035425398e-06,0.0036956240114143775,0.005534856988513486,0.004702569472966479,0.0036956240114143775,5.53485698796e-05,0.0015000000999999459,0.6677000001,1.0000000001,0.849628,0.6677000001,0.01
branching,4,CH,0,0.0223158137624999,2.454739737033104e-05,0.012106328968387777,0.022315813764731483,0.015178011467309255,0.012106328968387777,0.000223158137624999,0.00110000009999999,0.5425000001,1.0000000001,0.6801459999999999,0.5425000001,0.01
branching,5,CL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branching,6,CG,0,0.1064279748748799,0.00010642798551767749,0.0287142676318854,0.10642797488552269,0.04269720067220382,0.0287142676318854,0.001064279748748799,0.001000000100000001,0.26980000010000005,1.0000000001,0.401184,0.26980000010000005,0.01
branching,7,CH,0,0.01342530961408,4.027594226754518e-06,0.008098146760555586,0.01342530961542253,0.009991101989488722,0.008098146760555586,0.0001342530961408,0.00030000009999996694,0.6032000001,1.0000000001,0.744199,0.6032000001,0.01
branching,8,CH,0,0.01405342593735,5.621371780281974e-06,0.008484053239783537,0.014053425938755342,0.010280854011598077,0.008484053239783537,0.0001405342593735,0.00040000009999995587,0.6037000001,1.0000000001,0.731555,0.6037000001,0.01
branching,9,CH,0,0.0137793527017733,6.889677728821162e-06,0.008340642191761314,0.013779352703151237,0.01012302902106316,0.008340642191761314,0.00013779352701773302,0.000500000099999945,0.6053000001,1.0000000001,0.7346520000000001,0.6053000001,0.01
branching,10,CH,0,0.0127960331006666,2.3032860860803496e-05,0.0077262447874620966,0.012796033101946203,0.009666763205898583,0.0077262447874620966,0.000127960331006666,0.0018000001000000238,0.6038000001,1.0000000001,0.75545,0.6038000001,0.01
branching,11,CH,0,0.02327646292992,1.6293526378591083e-05,0.012438941792076894,0.023276462932247645,0.015778741796785886,0.012438941792076894,0.0002327646292992,0.000700000100000034,0.5344000001,1.0000000001,0.6778839999999998,0.5344000001,0.01
