domain,sys_idx,process_regime,recursive_continuity,reconstruction_ability,org_memory,transition_continuity,transition_smoothness,closure_persistence,adaptive_continuity,recovery_identity,trajectory_coherence,recursive_identity_score,process_regime_tg,dominant_operator,operator_continuity,operator_rupture,operator_curvature,transition_smoothness_tg,recursive_closure,operator_reversibility,compositional_stability,operator_neighborhood_entropy,collapse_available,recovery_possible,recovery_steps_mean,recovery_probability,recovery_entropy,collapse_regime_shifts,self_prediction,internal_continuity,self_model_consistency,closure_adaptation,forecast_stability,self_alignment,temporal_self_coherence,perturbation_anticipation,self_prediction_norm,internal_continuity_norm,self_model_consistency_norm,closure_adaptation_norm,forecast_stability_norm,self_alignment_norm,temporal_self_coherence_norm,perturbation_anticipation_norm,self_reference_composite
branching,0,CH,1.0,0.0,0.6268,0.390851,0.9858,0.6268,0.0,0.0,0.0,0.3567,CH,op_diffusion,1.0,0.0,0.0,0.9858,0.6268,0.6268,0.390851,0.0,,,,,,,0.6268,0.9858,0.0,0.0,0.2449854068,0.19592398109578357,0.0,,0.62679999993732,0.98579999990142,0.0,0.0,0.3031630642403288,0.1959239809756565,0.0,,0.3016695778649608
branching,1,CH,1.0,0.0,0.5263,0.319525,0.9989,0.5263,0.0,0.0,0.0,0.3316,CH,op_diffusion,1.0,0.0,0.0,0.9989,0.5263,0.5263,0.319525,0.0,,,,,,,0.5263,0.9989,0.0,0.0,0.1681660075,0.16454113538827952,0.0,,0.52629999994737,0.99889999990011,0.0,0.0,0.20810105712289353,0.16454113526736688,0.0,,0.2711203131768201
branching,2,CH,1.0,0.0,0.4627,0.314781,0.9996,0.4627,0.0,0.0,0.0,0.3157,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.4627,0.4627,0.314781,0.0,,,,,,,0.4627,0.9996,0.0,0.0,0.1456491687,0.144661165398267,0.0,,0.46269999995373,0.99959999990004,0.0,0.0,0.18023705519405078,0.14466116527685674,0.0,,0.25531403147495396
branching,3,CH,1.0,0.0,0.3323,0.150372,0.9985,0.3323,0.0,0.0,0.0,0.2831,CH,op_diffusion,1.0,0.0,0.0,0.9985,0.3323,0.3323,0.150372,0.0,,,,,,,0.3323,0.9985,0.0,0.0,0.0499686156,0.10390097535585141,0.0,,0.33229999996676995,0.99849999990015,0.0,0.0,0.061834861182201224,0.10390097523342087,0.0,,0.21379083375464886
branching,4,CH,1.0,0.0,0.4575,0.319854,0.9989,0.4575,0.0,0.0,0.0,0.3144,CH,op_diffusion,1.0,0.0,0.0,0.9989,0.4575,0.4575,0.319854,0.0,,,,,,,0.4575,0.9989,0.0,0.0,0.14633320500000002,0.14303575904688237,0.0,,0.45749999995425,0.99889999990011,0.0,0.0,0.1810835323106609,0.14303575892543144,0.0,,0.2543598987272075
branching,5,CL,0.6333,0.0,0.0,0.006258,0.9698,0.0,0.0,0.0,0.0,0.1267,CL,op_diffusion,0.6333,0.3667,0.032636,0.9698,0.0,0.0,0.006258,0.9481,,,,,,,0.0,0.6141743399999999,0.0,0.0,0.0,0.3668417105067716,0.0,,0.0,0.6141743399385825,0.0,0.0,0.0,0.36684171039092284,0.0,,0.1401451500470722
branching,6,CG,1.0,0.0,0.7302,0.598816,0.999,0.7302,0.0,0.0,0.4,0.4426,CG,op_diffusion,1.0,0.0,0.0,0.999,0.7302,0.7302,0.598816,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7302,0.999,0.0,0.0,0.4372554432,0.3033258315449706,0.29208,-2.0,0.7301999999269799,0.9989999999001,0.0,0.0,0.541092229728171,0.30332583142753194,0.3650999999543625,0.0,0.36733975761714316
branching,7,CH,1.0,0.0,0.3968,0.255801,0.9997,0.3968,0.0,0.0,0.0,0.2992,CH,op_diffusion,1.0,0.0,0.0,0.9997,0.3968,0.3968,0.255801,0.0,,,,,,,0.3968,0.9997,0.0,0.0,0.1015018368,0.1240310078614616,0.0,,0.39679999996032,0.99969999990003,0.0,0.0,0.12560588106960568,0.12403100773953493,0.0,,0.2351624126670701
branching,8,CH,1.0,0.0,0.3963,0.268445,0.9996,0.3963,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9996,0.3963,0.3963,0.268445,0.0,,,,,,,0.3963,0.9996,0.0,0.0,0.1063847535,0.12390597660366265,0.0,,0.39629999996036996,0.99959999990004,0.0,0.0,0.1316483633894231,0.12390597648173286,0.0,,0.23592204853308085
branching,9,CH,1.0,0.0,0.3947,0.265348,0.9995,0.3947,0.0,0.0,0.0,0.2987,CH,op_diffusion,1.0,0.0,0.0,0.9995,0.3947,0.3947,0.265348,0.0,,,,,,,0.3947,0.9995,0.0,0.0,0.1047328556,0.12340585157246742,0.0,,0.39469999996053,0.99949999990005,0.0,0.0,0.12960418273508312,0.12340585145052511,0.0,,0.23531571914945548
branching,10,CH,1.0,0.0,0.3962,0.24455,0.9982,0.3962,0.0,0.0,0.0,0.2991,CH,op_diffusion,1.0,0.0,0.0,0.9982,0.3962,0.3962,0.24455,0.0,,,,,,,0.3962,0.9982,0.0,0.0,0.09689070999999999,0.12390597660366265,0.0,,0.39619999996037997,0.9981999999001799,0.0,0.0,0.11989973167667496,0.12390597648173286,0.0,,0.2340293868598525
