seed,domain,variant,m1,m2,m3,m4
11,chirp,base,-0.0003001147227017075,-0.04321573755175785,0.4999999999999975,-0.024896265560165966
11,chirp,reverse,-0.0003440490679359819,-0.04321573755175779,0.4999999999999975,-0.024896265560165966
11,chirp,swap,-0.013565031710168781,-0.026369946365762047,0.5434782608695626,-0.020746887966804985
11,chirp,replay,-0.001146189752667194,1.5905909456616074,-0.10869565217391154,-0.024896265560165966
11,chirp,stitch,-0.0019565629292983945,-0.0399478062073258,0.5434782608695626,-0.024896265560165966
11,rw_trend,base,1.8476686126478232,1.2747480515657956,-0.0652173913043489,-0.008298755186721983
11,rw_trend,reverse,-1.8483127764384613,1.2747480515657952,-0.0652173913043489,-0.008298755186721983
11,rw_trend,swap,1.8628515345561503,-0.7021526118856521,-0.0652173913043489,0.012448132780082987
11,rw_trend,replay,2.0909256902056117,1.5905909456616074,-0.5000000000000024,0.02489626556016598
11,rw_trend,stitch,1.725164600050476,-0.9842296292402836,-0.15217391304347913,0.008298755186721999
11,regime_switch,base,0.457501740507984,-0.04900051866550094,0.19565217391304177,0.5601659751037342
11,regime_switch,reverse,-0.4581459042986209,-0.04900051866550093,0.19565217391304177,0.5601659751037342
11,regime_switch,swap,0.4241666397321174,-0.07576243715023241,0.19565217391304177,0.5601659751037342
11,regime_switch,replay,0.4110216656663362,1.5905909456616074,2.2391304347826093,1.029045643153527
11,regime_switch,stitch,0.4454102489123035,-0.05456834005085845,0.19565217391304177,0.551867219917012
11,chaotic_logistic,base,1.9402839467160198,0.0,0.1956521739130393,22.89211618257261
11,chaotic_logistic,reverse,-1.9409281105066578,-2.2675167485246564e-17,0.1956521739130393,22.89211618257261
11,chaotic_logistic,swap,1.9462130157733042,0.004597366078557175,0.1956521739130393,22.896265560165972
11,chaotic_logistic,replay,1.890261425572734,1.5905909456616074,1.4130434782608698,22.311203319502066
11,chaotic_logistic,stitch,1.9268869290320314,0.001076421529286719,0.1956521739130393,22.88796680497925
11,coupled_osc,base,-0.000321213924401561,0.956784262448242,-0.1521739130434816,-0.024896265560165966
11,coupled_osc,reverse,-0.00032294986623614564,0.9567842624482419,-0.1521739130434816,-0.024896265560165966
11,coupled_osc,swap,0.01130854179732269,-0.7715998266706019,-0.10869565217391648,0.0
11,coupled_osc,replay,0.003695928884314774,1.5905909456616074,1.2826086956521745,-0.02074688796680497
11,coupled_osc,stitch,0.0,0.9563379956740675,-0.06521739130435138,-0.024896265560165966
23,chirp,base,-0.0003001147227017075,-0.04321573755175785,0.4999999999999975,-0.024896265560165966
23,chirp,reverse,-0.0003440490679359819,-0.04321573755175779,0.4999999999999975,-0.024896265560165966
23,chirp,swap,-0.013565031710168781,-0.026369946365762047,0.5434782608695626,-0.020746887966804985
23,chirp,replay,-0.001146189752667194,1.5905909456616074,-0.10869565217391154,-0.024896265560165966
23,chirp,stitch,-0.0019565629292983945,-0.0399478062073258,0.5434782608695626,-0.024896265560165966
23,rw_trend,base,-1.1673666786377064,1.305644350672574,-1.7173913043478304,-0.008298755186721983
23,rw_trend,reverse,1.1667225148470686,1.3056443506725743,-1.7173913043478304,-0.008298755186721983
23,rw_trend,swap,-1.0359180452022532,-0.9194353862114016,-1.6739130434782654,-0.004149377593360988
23,rw_trend,replay,-0.5502370209834736,1.5905909456616074,-2.108695652173919,-0.02074688796680497
23,rw_trend,stitch,-1.0644749195018277,0.8960474475348517,-1.6739130434782654,0.008298755186721999
23,regime_switch,base,0.04832362265331292,-0.03997789563896876,0.15217391304347666,0.975103734439834
23,regime_switch,reverse,-0.04896778644395077,-0.03997789563896879,0.15217391304347666,0.975103734439834
23,regime_switch,swap,0.07088334876277214,-0.027070201612737665,0.02173913043478132,0.970954356846473
23,regime_switch,replay,-0.6616110715047224,1.5905909456616074,1.4130434782608698,1.7219917012448127
23,regime_switch,stitch,0.050084412864704254,-0.03712364089845373,0.15217391304347666,0.975103734439834
23,chaotic_logistic,base,1.9402839467160198,0.0,0.1956521739130393,22.89211618257261
23,chaotic_logistic,reverse,-1.9409281105066578,-2.2675167485246564e-17,0.1956521739130393,22.89211618257261
23,chaotic_logistic,swap,1.9462130157733042,0.004597366078557175,0.1956521739130393,22.896265560165972
23,chaotic_logistic,replay,1.890261425572734,1.5905909456616074,1.4130434782608698,22.311203319502066
23,chaotic_logistic,stitch,1.9268869290320314,0.001076421529286719,0.1956521739130393,22.88796680497925
23,coupled_osc,base,-0.000321213924401561,0.956784262448242,-0.1521739130434816,-0.024896265560165966
23,coupled_osc,reverse,-0.00032294986623614564,0.9567842624482419,-0.1521739130434816,-0.024896265560165966
23,coupled_osc,swap,0.01130854179732269,-0.7715998266706019,-0.10869565217391648,0.0
23,coupled_osc,replay,0.003695928884314774,1.5905909456616074,1.2826086956521745,-0.02074688796680497
23,coupled_osc,stitch,0.0,0.9563379956740675,-0.06521739130435138,-0.024896265560165966
37,chirp,base,-0.0003001147227017075,-0.04321573755175785,0.4999999999999975,-0.024896265560165966
37,chirp,reverse,-0.0003440490679359819,-0.04321573755175779,0.4999999999999975,-0.024896265560165966
37,chirp,swap,-0.013565031710168781,-0.026369946365762047,0.5434782608695626,-0.020746887966804985
37,chirp,replay,-0.001146189752667194,1.5905909456616074,-0.10869565217391154,-0.024896265560165966
37,chirp,stitch,-0.0019565629292983945,-0.0399478062073258,0.5434782608695626,-0.024896265560165966
37,rw_trend,base,0.9575152349476517,1.2575893963809257,0.8478260869565234,-0.01244813278008298
37,rw_trend,reverse,-0.9581593987382894,1.257589396380925,0.8478260869565234,-0.01244813278008298
37,rw_trend,swap,0.9334786962964748,-1.1731217413908233,0.8478260869565234,7.368975761540482e-18
37,rw_trend,replay,1.0724269353705722,1.5905909456616074,-0.28260869565217694,0.012448132780082994
37,rw_trend,stitch,0.8408343836939237,0.010673031773780586,0.8478260869565234,7.368975761540482e-18
37,regime_switch,base,0.01585287763593479,-0.027806791901957655,-2.282608695652177,0.5186721991701246
37,regime_switch,reverse,-0.016497041426572063,-0.027806791901957662,-2.282608695652177,0.5186721991701246
37,regime_switch,swap,0.007492705272998667,-0.05750089503658062,-2.326086956521742,0.5228215767634856
37,regime_switch,replay,-0.852898170105115,1.5905909456616074,-0.10869565217391154,0.8838174273858924
37,regime_switch,stitch,0.017796225763644945,-0.013677958605796146,-2.282608695652177,0.5186721991701246
37,chaotic_logistic,base,1.9402839467160198,0.0,0.1956521739130393,22.89211618257261
37,chaotic_logistic,reverse,-1.9409281105066578,-2.2675167485246564e-17,0.1956521739130393,22.89211618257261
37,chaotic_logistic,swap,1.9462130157733042,0.004597366078557175,0.1956521739130393,22.896265560165972
37,chaotic_logistic,replay,1.890261425572734,1.5905909456616074,1.4130434782608698,22.311203319502066
37,chaotic_logistic,stitch,1.9268869290320314,0.001076421529286719,0.1956521739130393,22.88796680497925
37,coupled_osc,base,-0.000321213924401561,0.956784262448242,-0.1521739130434816,-0.024896265560165966
37,coupled_osc,reverse,-0.00032294986623614564,0.9567842624482419,-0.1521739130434816,-0.024896265560165966
37,coupled_osc,swap,0.01130854179732269,-0.7715998266706019,-0.10869565217391648,0.0
37,coupled_osc,replay,0.003695928884314774,1.5905909456616074,1.2826086956521745,-0.02074688796680497
37,coupled_osc,stitch,0.0,0.9563379956740675,-0.06521739130435138,-0.024896265560165966
51,chirp,base,-0.0003001147227017075,-0.04321573755175785,0.4999999999999975,-0.024896265560165966
51,chirp,reverse,-0.0003440490679359819,-0.04321573755175779,0.4999999999999975,-0.024896265560165966
51,chirp,swap,-0.013565031710168781,-0.026369946365762047,0.5434782608695626,-0.020746887966804985
51,chirp,replay,-0.001146189752667194,1.5905909456616074,-0.10869565217391154,-0.024896265560165966
51,chirp,stitch,-0.0019565629292983945,-0.0399478062073258,0.5434782608695626,-0.024896265560165966
51,rw_trend,base,0.9254645522553506,-0.244957950707748,0.23913043478260687,-0.01244813278008295
51,rw_trend,reverse,-0.926108716045988,-0.24495795070774778,0.23913043478260687,-0.01244813278008295
51,rw_trend,swap,0.9457450012998209,-0.5653857297581764,0.19565217391304177,-0.01244813278008295
51,rw_trend,replay,-0.5057168319927331,1.5905909456616074,0.45652173913043737,7.368975761540482e-18
51,rw_trend,stitch,0.8170699630071296,-0.5724135061259192,0.282608695652172,3.684487880770241e-17
51,regime_switch,base,0.1258258662894006,-0.09788975208748658,-0.06521739130435138,0.9336099585062242
51,regime_switch,reverse,-0.1264700300800386,-0.09788975208748658,-0.06521739130435138,0.9336099585062242
51,regime_switch,swap,0.20274329409920958,-0.01818898485187268,-0.02173913043478626,0.9502074688796679
