measure,value,interpretation
Systems on process transition boundaries,1082/5000 (21.6%),Organizational space contains transition zones where small parameter changes alter regime identity
CG systems on transition boundaries,372/939 (39.6%),"CG is a TRANSITIONAL process, not a static equilibrium state"
CG persistence half-life,13.0 steps,189σ above null — CG process continuity is genuine organizational property
CG recoverability after collapse,71%,CG processes can reconstruct themselves after organizational disruption
CG transition reversibility ratio,2.19× non-CG,CG processes have stronger coherence-fertility coupling — more reversible transitions
CG transition curvature ratio,0.65× non-CG,CG processes sit in LOWER curvature regions — smoother organizational transitions
CG transition continuity ratio,1.32× non-CG,CG neighborhoods are more process-similar
CG transition fragmentation ratio,1.24× non-CG,CG systems sit at organizational crossroads (more diverse transition types)
Process transfer within clusters,KS=0.349 vs cross=0.392,Partial process geometry transfer — geometry clusters capture some organizational similarity
Null N1 (shuffled regimes),z=188.8 SURVIVED,CG persistence is not a labeling artifact
Null N2 (shuffled org space),z=-55.9 SURVIVED,Boundary density is not a spatial artifact — true org space is more coherent than random
