domain_A,domain_B,operator_A,operator_B,property,val_A,val_B,comp_val,invariance
coupled_map_lattice,gray_scott,additive,multiplicative,cg_rate,0.168,0.35,0.259,0.45833333333333337
coupled_map_lattice,gray_scott,additive,multiplicative,mean_coherence,0.5952,0.5911,0.5932,0.9966397849462365
coupled_map_lattice,gray_scott,additive,multiplicative,mean_fertility,0.1219,0.1448,0.1334,0.9056603773584906
coupled_map_lattice,gray_scott,additive,multiplicative,mean_reversibility,0.2613,0.7321,0.4967,0.09911978568694979
coupled_map_lattice,gray_scott,additive,multiplicative,mean_recursive_closure,0.2613,0.7321,0.4967,0.09911978568694979
coupled_map_lattice,gray_scott,additive,multiplicative,mean_continuity,0.846,0.9054,0.8757,0.9648936170212765
coupled_map_lattice,gray_scott,additive,multiplicative,mean_reconstruction,0.8314,0.9582,0.8948,0.9237430839547751
coupled_map_lattice,graph_diffusion,additive,multiplicative,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_coherence,0.5952,0.4913,0.5433,0.9128024193548387
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_fertility,0.1219,0.0004,0.0612,0.502050861361772
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_reversibility,0.2613,0.0008,0.131,0.5013394565633372
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_recursive_closure,0.2613,0.0008,0.131,0.5013394565633372
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_continuity,0.846,0.9917,0.9189,0.9138297872340424
coupled_map_lattice,graph_diffusion,additive,multiplicative,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,gray_scott,additive,multiplicative,cg_rate,0.0,0.35,0.175,0.0
graph_diffusion,gray_scott,additive,multiplicative,mean_coherence,0.4913,0.5911,0.5412,0.8984327294931813
graph_diffusion,gray_scott,additive,multiplicative,mean_fertility,0.0004,0.1448,0.0726,0.0
graph_diffusion,gray_scott,additive,multiplicative,mean_reversibility,0.0008,0.7321,0.3665,0.0
graph_diffusion,gray_scott,additive,multiplicative,mean_recursive_closure,0.0008,0.7321,0.3665,0.0
graph_diffusion,gray_scott,additive,multiplicative,mean_continuity,0.9917,0.9054,0.9486,0.956539275990723
graph_diffusion,gray_scott,additive,multiplicative,mean_reconstruction,0.0,0.9582,0.4791,0.0
coupled_map_lattice,lotka_volterra,additive,branching,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,lotka_volterra,additive,branching,mean_coherence,0.5952,0.5289,0.5621,0.9443884408602152
coupled_map_lattice,lotka_volterra,additive,branching,mean_fertility,0.1219,0.1908,0.1564,0.7169811320754715
coupled_map_lattice,lotka_volterra,additive,branching,mean_reversibility,0.2613,0.1048,0.183,0.7003444316877153
coupled_map_lattice,lotka_volterra,additive,branching,mean_recursive_closure,0.2613,0.1048,0.183,0.7003444316877153
coupled_map_lattice,lotka_volterra,additive,branching,mean_continuity,0.846,0.9536,0.8998,0.9364066193853428
coupled_map_lattice,lotka_volterra,additive,branching,mean_reconstruction,0.8314,0.0,0.4157,0.5
coupled_map_lattice,cellular_automata,additive,branching,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,cellular_automata,additive,branching,mean_coherence,0.5952,0.5745,0.5849,0.9826948924731184
coupled_map_lattice,cellular_automata,additive,branching,mean_fertility,0.1219,0.0026,0.0623,0.5110746513535686
coupled_map_lattice,cellular_automata,additive,branching,mean_reversibility,0.2613,0.0845,0.1729,0.6616915422885572
coupled_map_lattice,cellular_automata,additive,branching,mean_recursive_closure,0.2613,0.0845,0.1729,0.6616915422885572
coupled_map_lattice,cellular_automata,additive,branching,mean_continuity,0.846,0.9465,0.8963,0.9405437352245862
coupled_map_lattice,cellular_automata,additive,branching,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,lotka_volterra,additive,branching,cg_rate,0.0,0.0,0.0,0.0
graph_diffusion,lotka_volterra,additive,branching,mean_coherence,0.4913,0.5289,0.5101,0.9617341746387137
graph_diffusion,lotka_volterra,additive,branching,mean_fertility,0.0004,0.1908,0.0956,0.0
graph_diffusion,lotka_volterra,additive,branching,mean_reversibility,0.0008,0.1048,0.0528,0.0
graph_diffusion,lotka_volterra,additive,branching,mean_recursive_closure,0.0008,0.1048,0.0528,0.0
graph_diffusion,lotka_volterra,additive,branching,mean_continuity,0.9917,0.9536,0.9727,0.9808409801351214
graph_diffusion,lotka_volterra,additive,branching,mean_reconstruction,0.0,0.0,0.0,0.0
graph_diffusion,cellular_automata,additive,branching,cg_rate,0.0,0.0,0.0,0.0
graph_diffusion,cellular_automata,additive,branching,mean_coherence,0.4913,0.5745,0.5329,0.9153266843069408
graph_diffusion,cellular_automata,additive,branching,mean_fertility,0.0004,0.0026,0.0015,0.0
graph_diffusion,cellular_automata,additive,branching,mean_reversibility,0.0008,0.0845,0.0426,0.0
graph_diffusion,cellular_automata,additive,branching,mean_recursive_closure,0.0008,0.0845,0.0426,0.0
graph_diffusion,cellular_automata,additive,branching,mean_continuity,0.9917,0.9465,0.9691,0.9772108500554603
graph_diffusion,cellular_automata,additive,branching,mean_reconstruction,0.0,0.0,0.0,0.0
coupled_map_lattice,graph_diffusion,additive,synchronization,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_coherence,0.5952,0.4913,0.5433,0.9128024193548387
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_fertility,0.1219,0.0004,0.0612,0.502050861361772
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_reversibility,0.2613,0.0008,0.131,0.5013394565633372
