operator_A,operator_B,cg_A,cg_B,cg_comp,preserves,composition_asymmetry
additive,multiplicative,0.168,0.35,0.259,B,0.18199999999999997
additive,multiplicative,0.168,0.0,0.084,B,0.168
additive,multiplicative,0.0,0.35,0.175,neither,0.35
additive,branching,0.168,0.0,0.084,B,0.168
additive,branching,0.168,0.0,0.084,B,0.168
additive,branching,0.0,0.0,0.0,B,0.0
additive,branching,0.0,0.0,0.0,B,0.0
additive,synchronization,0.168,0.0,0.084,B,0.168
additive,synchronization,0.0,0.168,0.084,B,0.168
additive,recursive_feedback,0.168,0.35,0.259,B,0.18199999999999997
additive,recursive_feedback,0.168,0.358,0.263,B,0.18999999999999997
additive,recursive_feedback,0.0,0.35,0.175,neither,0.35
additive,recursive_feedback,0.0,0.358,0.179,neither,0.358
additive,competitive_exclusion,0.168,0.0,0.084,B,0.168
additive,competitive_exclusion,0.168,0.0,0.084,B,0.168
additive,competitive_exclusion,0.0,0.0,0.0,B,0.0
additive,diffusion,0.168,0.0,0.084,B,0.168
additive,diffusion,0.0,0.0,0.0,B,0.0
additive,diffusion,0.0,0.168,0.084,B,0.168
additive,hierarchical_nesting,0.168,0.238,0.203,B,0.06999999999999998
additive,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
additive,hierarchical_nesting,0.0,0.168,0.084,B,0.168
additive,constraint_propagation,0.168,0.0,0.084,B,0.168
additive,constraint_propagation,0.0,0.168,0.084,B,0.168
additive,constraint_propagation,0.0,0.0,0.0,B,0.0
additive,resonance_locking,0.168,0.35,0.259,B,0.18199999999999997
additive,resonance_locking,0.168,0.358,0.263,B,0.18999999999999997
additive,resonance_locking,0.0,0.35,0.175,neither,0.35
additive,resonance_locking,0.0,0.358,0.179,neither,0.358
multiplicative,branching,0.35,0.0,0.175,neither,0.35
multiplicative,branching,0.35,0.0,0.175,neither,0.35
multiplicative,branching,0.0,0.0,0.0,B,0.0
multiplicative,branching,0.0,0.0,0.0,B,0.0
multiplicative,synchronization,0.35,0.0,0.175,neither,0.35
multiplicative,synchronization,0.35,0.168,0.259,A,0.18199999999999997
multiplicative,synchronization,0.0,0.168,0.084,B,0.168
multiplicative,recursive_feedback,0.35,0.358,0.354,B,0.008000000000000007
multiplicative,recursive_feedback,0.0,0.35,0.175,neither,0.35
multiplicative,recursive_feedback,0.0,0.358,0.179,neither,0.358
multiplicative,competitive_exclusion,0.35,0.0,0.175,neither,0.35
multiplicative,competitive_exclusion,0.35,0.0,0.175,neither,0.35
multiplicative,competitive_exclusion,0.0,0.0,0.0,B,0.0
multiplicative,diffusion,0.35,0.0,0.175,neither,0.35
multiplicative,diffusion,0.35,0.168,0.259,A,0.18199999999999997
multiplicative,diffusion,0.0,0.0,0.0,B,0.0
multiplicative,diffusion,0.0,0.168,0.084,B,0.168
multiplicative,hierarchical_nesting,0.35,0.238,0.294,B,0.11199999999999999
multiplicative,hierarchical_nesting,0.35,0.168,0.259,A,0.18199999999999997
multiplicative,hierarchical_nesting,0.0,0.238,0.119,neither,0.238
multiplicative,hierarchical_nesting,0.0,0.168,0.084,B,0.168
multiplicative,constraint_propagation,0.35,0.168,0.259,A,0.18199999999999997
multiplicative,constraint_propagation,0.35,0.0,0.175,neither,0.35
multiplicative,constraint_propagation,0.0,0.168,0.084,B,0.168
multiplicative,constraint_propagation,0.0,0.0,0.0,B,0.0
multiplicative,resonance_locking,0.35,0.358,0.354,B,0.008000000000000007
