domain,sys_idx,persistence_half_life,persistence_max_survival,persistence_variance,perturbation_tolerance
nonlinear_oscillator,383,30,100,484,inf
nonlinear_oscillator,384,4,69,344,0.6157
nonlinear_oscillator,391,5,69,348,0.9278
nonlinear_oscillator,392,12,100,1287,inf
nonlinear_oscillator,393,20,100,855,inf
nonlinear_oscillator,395,7,70,491,0.3833
nonlinear_oscillator,396,20,100,1071,inf
nonlinear_oscillator,397,31,100,792,inf
nonlinear_oscillator,404,30,100,632,inf
nonlinear_oscillator,405,21,100,680,inf
nonlinear_oscillator,406,17,100,1006,inf
nonlinear_oscillator,407,8,97,731,1.2016
nonlinear_oscillator,410,39,100,888,inf
nonlinear_oscillator,413,13,49,180,inf
nonlinear_oscillator,418,24,61,295,inf
nonlinear_oscillator,419,6,100,661,0.6341
nonlinear_oscillator,420,2,100,751,0.5187
nonlinear_oscillator,421,1,55,244,0.9661
nonlinear_oscillator,422,5,67,274,0.517
nonlinear_oscillator,425,22,73,412,0.7149
nonlinear_oscillator,426,8,100,674,0.499
nonlinear_oscillator,431,14,100,794,inf
nonlinear_oscillator,432,28,100,663,inf
nonlinear_oscillator,433,16,60,287,inf
nonlinear_oscillator,437,13,100,619,0.3671
nonlinear_oscillator,440,15,96,413,inf
nonlinear_oscillator,441,11,57,280,inf
nonlinear_oscillator,442,31,100,505,inf
nonlinear_oscillator,444,11,33,59,inf
nonlinear_oscillator,445,20,62,390,inf
nonlinear_oscillator,446,31,87,295,inf
nonlinear_oscillator,447,29,84,408,inf
nonlinear_oscillator,448,6,100,672,0.545
nonlinear_oscillator,449,32,84,402,inf
nonlinear_oscillator,450,31,87,482,inf
nonlinear_oscillator,452,12,100,554,0.4649
nonlinear_oscillator,453,40,100,596,inf
nonlinear_oscillator,454,15,69,441,inf
nonlinear_oscillator,460,30,100,902,inf
nonlinear_oscillator,462,3,80,353,0.6575
nonlinear_oscillator,463,11,65,276,inf
nonlinear_oscillator,464,20,100,833,inf
nonlinear_oscillator,466,3,75,339,0.9222
nonlinear_oscillator,469,3,100,1032,0.6407
nonlinear_oscillator,470,13,87,507,0.3994
nonlinear_oscillator,472,2,34,99,0.294
nonlinear_oscillator,473,8,85,414,inf
nonlinear_oscillator,474,17,97,540,inf
nonlinear_oscillator,477,25,84,533,inf
nonlinear_oscillator,479,6,48,227,0.7271
nonlinear_oscillator,481,21,51,156,inf
nonlinear_oscillator,484,21,100,722,inf
nonlinear_oscillator,485,30,100,789,inf
nonlinear_oscillator,487,4,89,407,0.6532
nonlinear_oscillator,488,20,100,910,inf
nonlinear_oscillator,489,21,56,221,inf
nonlinear_oscillator,491,4,89,387,0.5217
nonlinear_oscillator,492,22,63,377,inf
nonlinear_oscillator,494,15,100,1040,inf
nonlinear_oscillator,495,1,16,16,0.1348
nonlinear_oscillator,497,31,100,646,inf
population,0,1,8,3,0.6231
population,1,3,15,11,0.8963
population,3,5,14,15,inf
population,10,4,8,4,1.0489
population,13,1,1,0,0.4374
population,14,2,9,5,1.1307
population,15,3,13,10,0.5692
population,19,2,10,7,0.6432
population,37,2,9,4,0.2691
population,41,6,32,53,1.3228
population,65,3,9,4,0.5513
population,74,5,13,13,1.1772
population,77,7,19,20,1.2064
population,78,2,12,9,0.3546
population,79,3,14,10,0.4768
population,88,5,22,28,inf
population,93,8,24,22,inf
population,94,5,14,10,inf
population,99,6,19,17,inf
population,101,2,12,7,0.6229
population,109,4,13,8,0.6597
population,114,3,20,23,1.1129
population,115,7,20,24,0.8174
population,122,2,8,2,0.3791
population,126,6,16,17,inf
population,128,3,9,3,inf
population,135,2,14,8,0.559
population,136,3,25,33,1.3108
population,140,4,24,27,0.7523
population,141,4,22,22,0.862
population,153,2,5,1,0.1099
population,160,2,16,14,0.7059
population,170,5,21,17,0.6954
population,176,2,11,5,0.6288
population,181,3,8,3,0.5002
population,190,4,11,5,0.712
population,193,1,21,19,0.4236
population,196,1,4,0,0.4961
population,197,1,6,1,0.4174
population,206,3,20,22,0.8291
population,208,3,12,6,1.8276
population,209,2,6,3,0.6079
population,211,2,12,8,0.3706
population,213,3,9,5,0.5084
population,214,3,10,5,0.5685
population,216,5,10,5,0.7578
population,217,1,11,4,0.3873
population,221,1,5,1,0.3852
population,222,7,27,51,0.9313
population,225,10,25,50,inf
population,227,1,2,0,0.4696
population,230,1,6,1,0.2748
population,231,4,12,7,0.8173
population,238,3,11,12,0.6828
population,240,7,26,43,inf
population,241,6,16,15,inf
population,243,1,14,12,0.736
population,247,4,33,47,0.7666
population,253,5,20,17,0.7082
population,261,9,20,23,inf
population,262,4,12,12,1.231
population,264,6,13,11,inf
population,266,3,21,32,0.6911
population,275,7,17,18,1.1659
population,276,1,8,4,0.3563
population,278,7,20,32,1.0699
population,279,2,15,9,0.4059
population,280,2,7,2,0.3909
population,284,1,17,23,1.6964
population,285,6,20,34,1.0768
population,290,3,12,10,0.6608
population,299,5,23,40,1.0998
population,300,5,14,11,0.748
population,301,1,7,3,0.1708
population,305,6,17,27,1.287
population,307,2,9,5,0.4514
population,309,2,7,2,0.4184
population,318,7,26,36,1.422
population,322,6,14,7,inf
population,329,1,8,3,0.4776
population,330,6,17,23,1.1052
population,331,2,15,9,0.6964
population,332,2,7,4,0.8641
population,334,3,29,47,1.0654
population,336,4,24,30,0.7422
population,339,4,14,15,0.9962
population,349,1,5,1,0.2778
population,361,3,7,3,0.4519
population,367,1,17,12,1.3418
population,368,2,15,9,0.6026
population,373,6,18,19,inf
population,375,4,11,11,0.4823
population,381,2,18,21,0.2235
population,389,5,13,10,0.9647
population,396,4,12,6,0.707
population,397,2,14,11,0.1906
population,401,1,22,28,0.5015
population,402,1,1,0,0.3756
population,405,6,31,39,inf
population,406,1,12,7,0.4914
population,407,3,7,2,0.9701
population,411,1,4,0,0.5022
population,412,1,11,6,0.3752
population,415,4,12,12,0.7377
population,419,1,4,0,0.4895
population,432,4,14,13,0.7919
population,436,7,15,11,inf
population,440,2,8,4,0.3961
population,446,6,21,31,0.9963
population,448,1,1,0,0.1497
population,462,2,20,16,0.6105
population,464,5,17,21,2.6523
population,469,7,23,26,inf
population,473,6,16,14,inf
population,475,3,14,16,0.6442
population,479,7,19,22,inf
population,481,2,14,9,0.9064
population,482,5,24,25,inf
population,496,4,16,19,0.7315
