depth,sector,condition,rg_similarity,propagation_coherence,locality_constraint_stability,conservation_transport_alignment,proto_field_persistence,recursive_interaction_boundedness,constrained_relation_gain,classification
1,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32768,Projection,ConstrainedTransportPropagation,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
65536,Projection,ConstrainedTransportPropagation,0.9446,0.9141,0.8949,0.8973,0.8602,0.8737,0.8734,PROTO-PHYSICAL-STABLE
131072,Projection,ConstrainedTransportPropagation,0.8539,0.8183,0.8197,0.8048,0.7774,0.7876,0.7912,PROTO-PHYSICAL-BOUNDED
1,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32768,Projection,RecursiveLocalityEmergence,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
65536,Projection,RecursiveLocalityEmergence,0.9425,0.9127,0.9129,0.8862,0.8649,0.8512,0.8763,PROTO-PHYSICAL-STABLE
131072,Projection,RecursiveLocalityEmergence,0.8431,0.8024,0.835,0.7985,0.7835,0.7825,0.7821,PROTO-PHYSICAL-BOUNDED
1,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
20,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
40,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
48,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
64,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
80,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
96,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
128,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
160,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
192,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
256,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
320,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
512,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
768,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1024,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
1536,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
2048,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
3072,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
4096,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
6144,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
8192,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
12288,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
16384,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
24576,Projection,ConservationBoundInteraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,PROTO-PHYSICAL-STABLE
32768,Projection,ConservationBoundInteraction,0.96,0.9584,0.94,0.93,0.9176,0.91,0.9222,PROTO-PHYSICAL-STABLE
65536,Projection,ConservationBoundInteraction,0.9389,0.9113,0.9011,0.8968,0.8947,0.8688,0.8638,PROTO-PHYSICAL-STABLE
