depth,sector,formalism,hierarchy_consistency,formalism_stability,structural_overlap,null_formalism_distance,recursive_retention,rg_similarity,classification
1,Projection,Baseline,0.8785,0.8481,0.8355,0.4259,0.8805,0.8066,CROSS-FORMALISM_INVARIANT
2,Projection,Baseline,0.8612,0.8262,0.815,0.3963,0.8557,0.8191,CROSS-FORMALISM_INVARIANT
4,Projection,Baseline,0.8263,0.7949,0.7626,0.3904,0.8017,0.7831,CROSS-FORMALISM_INVARIANT
6,Projection,Baseline,0.7956,0.7595,0.7604,0.385,0.7633,0.7736,FORMALISM-ROBUST
8,Projection,Baseline,0.7447,0.7543,0.7243,0.37,0.7389,0.7159,FORMALISM-ROBUST
12,Projection,Baseline,0.7061,0.6786,0.656,0.35,0.695,0.6828,FORMALISM-SENSITIVE
16,Projection,Baseline,0.6524,0.6293,0.6287,0.3003,0.6536,0.6435,FORMALISM-SENSITIVE
20,Projection,Baseline,0.6098,0.6033,0.5915,0.2833,0.6122,0.5807,NULL-SEPARATED
1,Projection,Graph,0.8641,0.8368,0.7952,0.4037,0.8157,0.8107,CROSS-FORMALISM_INVARIANT
2,Projection,Graph,0.822,0.8102,0.7821,0.4037,0.799,0.7679,FORMALISM-ROBUST
4,Projection,Graph,0.7955,0.7797,0.7311,0.3565,0.77,0.7591,FORMALISM-ROBUST
6,Projection,Graph,0.7753,0.7424,0.7151,0.3433,0.7395,0.7659,FORMALISM-ROBUST
8,Projection,Graph,0.7434,0.7376,0.684,0.3486,0.7125,0.7139,FORMALISM-ROBUST
12,Projection,Graph,0.6726,0.6588,0.627,0.3263,0.6729,0.6987,FORMALISM-SENSITIVE
16,Projection,Graph,0.624,0.623,0.5871,0.298,0.6417,0.622,NULL-SEPARATED
20,Projection,Graph,0.6026,0.5997,0.5467,0.2892,0.5775,0.5694,NULL-SEPARATED
1,Projection,Tensor,0.8555,0.82,0.7588,0.4047,0.8149,0.7681,CROSS-FORMALISM_INVARIANT
2,Projection,Tensor,0.8263,0.7965,0.7595,0.3743,0.8094,0.7403,CROSS-FORMALISM_INVARIANT
4,Projection,Tensor,0.7939,0.7786,0.7104,0.3636,0.7762,0.7392,FORMALISM-ROBUST
6,Projection,Tensor,0.7527,0.7324,0.7121,0.333,0.7576,0.7298,FORMALISM-ROBUST
8,Projection,Tensor,0.7079,0.7158,0.6655,0.3388,0.71,0.7014,FORMALISM-ROBUST
12,Projection,Tensor,0.6676,0.6619,0.6375,0.3003,0.6558,0.6669,FORMALISM-SENSITIVE
16,Projection,Tensor,0.6275,0.6355,0.5691,0.287,0.6097,0.6113,NULL-SEPARATED
20,Projection,Tensor,0.5922,0.5687,0.5494,0.2837,0.5814,0.5754,FORMALISM-DEPENDENT
1,Projection,Probabilistic,0.7999,0.7995,0.7649,0.3819,0.8333,0.7488,FORMALISM-ROBUST
2,Projection,Probabilistic,0.8106,0.7842,0.7402,0.3551,0.7803,0.7445,FORMALISM-ROBUST
4,Projection,Probabilistic,0.7829,0.7622,0.7244,0.3661,0.7502,0.7323,FORMALISM-ROBUST
6,Projection,Probabilistic,0.7398,0.7416,0.697,0.3489,0.7475,0.7286,FORMALISM-ROBUST
8,Projection,Probabilistic,0.7066,0.6917,0.647,0.3325,0.7209,0.6614,FORMALISM-SENSITIVE
12,Projection,Probabilistic,0.6573,0.6511,0.6174,0.3001,0.6409,0.6153,NULL-SEPARATED
16,Projection,Probabilistic,0.6243,0.6073,0.5701,0.2964,0.626,0.5761,NULL-SEPARATED
20,Projection,Probabilistic,0.5724,0.5581,0.5381,0.2676,0.574,0.5537,FORMALISM-DEPENDENT
1,Projection,Null,0.5364,0.5485,0.4389,0.0512,0.5147,0.7655,FORMALISM-DEPENDENT
2,Projection,Null,0.5079,0.5241,0.4174,0.0743,0.5226,0.7283,FORMALISM-DEPENDENT
4,Projection,Null,0.507,0.5104,0.3864,0.0623,0.5004,0.7275,FORMALISM-DEPENDENT
6,Projection,Null,0.4849,0.4879,0.399,0.0584,0.4586,0.6898,FORMALISM-DEPENDENT
8,Projection,Null,0.4436,0.4835,0.3642,0.0565,0.4351,0.657,FORMALISM-DEPENDENT
12,Projection,Null,0.4162,0.4407,0.3323,0.0505,0.4114,0.6128,FORMALISM-DEPENDENT
16,Projection,Null,0.41,0.4298,0.3281,0.05,0.3753,0.6039,FORMALISM-DEPENDENT
20,Projection,Null,0.3765,0.3821,0.2995,0.0545,0.3695,0.556,FORMALISM-DEPENDENT
1,Antisymmetry,Baseline,0.8528,0.8318,0.7954,0.3851,0.8349,0.8147,CROSS-FORMALISM_INVARIANT
2,Antisymmetry,Baseline,0.8105,0.794,0.7693,0.3691,0.8177,0.7942,CROSS-FORMALISM_INVARIANT
