descriptor,null_type,true_prob,null_mean,null_std,z_score,ks_p_value,survived
CSR,shuffle_labels,0.4110075454948957,0.40527738225075266,5.551115123125783e-17,57301632.441430494,0.0,False
CSR,random_desc,0.4110075454948957,0.40459496887700264,5.459821597445701e-05,117.45029582822093,0.0,False
CSR,random_transition,0.4110075454948957,0.40527738225075266,5.551115123125783e-17,57301632.441430494,0.0,False
RBS,shuffle_labels,0.3984013462347497,0.40527738225075266,5.551115123125783e-17,-68760360.1600295,0.0,False
RBS,random_desc,0.3984013462347497,0.40459496887700264,5.459821597445701e-05,-113.44001872058466,0.0,False
RBS,random_transition,0.3984013462347497,0.40527738225075266,5.551115123125783e-17,-68760360.1600295,0.0,False
ADI,shuffle_labels,0.38483290488431876,0.40527738225075266,5.551115123125783e-17,-204444773.66433898,0.0,False
ADI,random_desc,0.38483290488431876,0.40459496887700264,5.459821597445701e-05,-361.95439063300665,0.0,False
ADI,random_transition,0.38483290488431876,0.40527738225075266,5.551115123125783e-17,-204444773.66433898,0.0,False
RTP,shuffle_labels,0.43373493975903615,0.40527738225075266,5.551115123125783e-17,284575575.0828349,0.0,False
RTP,random_desc,0.43373493975903615,0.40459496887700264,5.459821597445701e-05,533.716539303523,0.0,False
RTP,random_transition,0.43373493975903615,0.40527738225075266,5.551115123125783e-17,284575575.0828349,0.0,False
SRD,shuffle_labels,0.39841017488076313,0.40527738225075266,5.551115123125783e-17,-68672073.69989525,0.0,False
SRD,random_desc,0.39841017488076313,0.40459496887700264,5.459821597445701e-05,-113.27831662362317,0.0,False
SRD,random_transition,0.39841017488076313,0.40527738225075266,5.551115123125783e-17,-68672073.69989525,0.0,False
