null_iteration,null_type,n1_mean_transprob,n2_mean_transprob,n3_mean_transprob,n1_CSR,n1_RBS,n1_ADI,n1_RTP,n1_SRD,n2_CSR,n2_RBS,n2_ADI,n2_RTP,n2_SRD,n3_CSR,n3_RBS,n3_ADI,n3_RTP,n3_SRD
0,all,0.4052773822507527,0.4045616710796117,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4026007139214686,0.39842158859470467,0.4122541603630862,0.40617935192162774,0.4033525405971713,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
1,all,0.4052773822507527,0.40461402088880466,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4073980238155561,0.40809486981180715,0.40667874708775564,0.40115259333500375,0.3997458703939009,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
2,all,0.4052773822507527,0.404619910949317,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4047679431904641,0.40418557740796773,0.41287001287001285,0.40415045395590143,0.397125567322239,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
3,all,0.4052773822507527,0.40456619455295806,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.41581371545547596,0.40230172629472105,0.3969004465458366,0.4055017829852267,0.4023133014835303,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
4,all,0.4052773822507527,0.4045783212006504,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.406563126252505,0.4034509007866024,0.4022575679835813,0.40642529321774606,0.4041947177628172,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
5,all,0.4052773822507527,0.4046155938195092,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.401297728974295,0.4101651842439644,0.4038904530330177,0.40879521207390057,0.3989293907723681,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
6,all,0.4052773822507527,0.4045776930752458,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.40423361387401174,0.409823484267076,0.4136259249808625,0.39142710472279263,0.4037783375314861,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
7,all,0.4052773822507527,0.40459242419797653,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4036099273000752,0.411900487304437,0.4044545684636801,0.403150826446281,0.39984631147540983,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
8,all,0.4052773822507527,0.40461503950408934,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.412184552638287,0.4036911879386535,0.39564564564564564,0.4074074074074074,0.40414640389045303,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
9,all,0.4052773822507527,0.40461780711100354,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.39849435382685067,0.40716612377850164,0.40727177609207427,0.40816850757770357,0.4019882742798878,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
10,all,0.4052773822507527,0.4046339403107212,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4006187161639598,0.41267347473160515,0.4068565666750693,0.39738430583501005,0.40563663814796175,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
11,all,0.4052773822507527,0.40462631313157604,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.411434405308831,0.4027850761954808,0.4036812909732728,0.411374649324152,0.39385614385614387,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
12,all,0.4052773822507527,0.40456182747272945,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.39420364195947677,0.3987421383647799,0.4245259165613148,0.4050829875518672,0.40025445292620865,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
13,all,0.4052773822507527,0.40461333241606007,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.40856423173803524,0.3987468671679198,0.40010245901639346,0.4070005109862034,0.40865259317174873,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
14,all,0.4052773822507527,0.4046074593918041,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4012820512820513,0.4034465281297516,0.39574360273625536,0.4132888660851719,0.40927624872579,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
15,all,0.4052773822507527,0.40458325287392166,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4089285714285714,0.39717586649550707,0.40236835474930716,0.3979044211602351,0.4165390505359878,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
16,all,0.4052773822507527,0.4045809023304713,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.3993775933609959,0.40122668029644776,0.4171341152473228,0.4047136340598074,0.4004524886877828,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
17,all,0.4052773822507527,0.40463375537397167,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.403559277676001,0.41124643690075147,0.4060667856232475,0.4011946241911399,0.4011016524787181,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
18,all,0.4052773822507527,0.40455488508386434,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4098984771573604,0.39499739447628973,0.4111365369946606,0.3992968357609242,0.4074451810300867,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
19,all,0.4052773822507527,0.4045566187296128,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4031226004607115,0.4047680082030249,0.4013026052104208,0.3980809128630705,0.41550896691083605,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
20,all,0.4052773822507527,0.40459423477161005,0.4052773822507527,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313,0.4035177160336477,0.4074838709677419,0.4008148714031067,0.40584498094027954,0.40530973451327434,0.4110075454948957,0.3984013462347497,0.38483290488431876,0.43373493975903615,0.39841017488076313
