depth,sector,adaptive_retention,recovery_efficiency,adaptive_drift,cooperative_adaptive_gain,recursive_adaptive_persistence,rg_similarity,classification
1,Projection,0.9073,0.8975,0.1137,0.1428,0.9024,0.8962,ADAPTIVELY_STABLE
2,Projection,0.9024,0.8968,0.1428,0.1381,0.8996,0.8489,ADAPTIVELY_STABLE
4,Projection,0.8686,0.8629,0.1561,0.1405,0.8657,0.8718,ADAPTIVELY_STABLE
6,Projection,0.8651,0.8562,0.1406,0.154,0.8606,0.8041,ADAPTIVELY_STABLE
8,Projection,0.8263,0.8318,0.1649,0.1425,0.8291,0.844,ADAPTIVELY_STABLE
12,Projection,0.7807,0.7944,0.1503,0.1444,0.7875,0.8046,WEAKLY_ADAPTIVE
16,Projection,0.7642,0.7517,0.1533,0.0,0.7579,0.7692,WEAKLY_ADAPTIVE
20,Projection,0.7069,0.7172,0.1635,0.0,0.7121,0.7486,WEAKLY_ADAPTIVE
1,Antisymmetry,0.8552,0.8665,0.1454,0.1143,0.8609,0.9017,ADAPTIVELY_STABLE
2,Antisymmetry,0.8545,0.8289,0.1728,0.1029,0.8417,0.8422,ADAPTIVELY_STABLE
4,Antisymmetry,0.8383,0.8076,0.1785,0.1127,0.823,0.8493,ADAPTIVELY_STABLE
6,Antisymmetry,0.8263,0.7893,0.1805,0.1109,0.8078,0.8331,ADAPTIVELY_STABLE
8,Antisymmetry,0.7726,0.7746,0.1794,0.105,0.7736,0.8009,WEAKLY_ADAPTIVE
12,Antisymmetry,0.7608,0.7438,0.207,0.1039,0.7523,0.7823,WEAKLY_ADAPTIVE
16,Antisymmetry,0.7047,0.686,0.2102,0.0,0.6954,0.776,WEAKLY_ADAPTIVE
20,Antisymmetry,0.6938,0.6568,0.2228,0.0,0.6753,0.7065,ADAPTATION-DEGRADING
1,Neutral,0.8178,0.7708,0.2225,0.083,0.7943,0.8454,WEAKLY_ADAPTIVE
2,Neutral,0.7943,0.7706,0.2239,0.073,0.7824,0.8636,WEAKLY_ADAPTIVE
4,Neutral,0.7685,0.7493,0.2304,0.0701,0.7589,0.8187,WEAKLY_ADAPTIVE
6,Neutral,0.7307,0.7246,0.2407,0.0697,0.7277,0.8285,WEAKLY_ADAPTIVE
8,Neutral,0.7281,0.7108,0.2653,0.0874,0.7195,0.8071,WEAKLY_ADAPTIVE
12,Neutral,0.6887,0.6662,0.2686,0.085,0.6775,0.8053,ADAPTATION-DEGRADING
16,Neutral,0.6393,0.6541,0.2775,0.0,0.6467,0.7442,COLLAPSING
20,Neutral,0.6324,0.6133,0.301,0.0,0.6229,0.7,COLLAPSING
1,Projection-Antisymmetry,0.7816,0.7947,0.2142,0.0707,0.7881,0.8833,WEAKLY_ADAPTIVE
2,Projection-Antisymmetry,0.7832,0.7676,0.2249,0.0814,0.7754,0.8811,WEAKLY_ADAPTIVE
4,Projection-Antisymmetry,0.7728,0.7475,0.2309,0.0702,0.7602,0.8528,WEAKLY_ADAPTIVE
6,Projection-Antisymmetry,0.728,0.726,0.2526,0.0797,0.727,0.8156,WEAKLY_ADAPTIVE
8,Projection-Antisymmetry,0.7267,0.7232,0.2505,0.0756,0.725,0.7996,WEAKLY_ADAPTIVE
12,Projection-Antisymmetry,0.6939,0.6767,0.2494,0.0808,0.6853,0.7901,ADAPTATION-DEGRADING
16,Projection-Antisymmetry,0.647,0.6459,0.2872,0.0,0.6465,0.7302,COLLAPSING
20,Projection-Antisymmetry,0.6341,0.6156,0.2713,0.0,0.6249,0.7477,COLLAPSING
1,Projection-Neutral,0.7827,0.7964,0.2362,0.0759,0.7895,0.8959,WEAKLY_ADAPTIVE
2,Projection-Neutral,0.7847,0.7756,0.2517,0.0705,0.7802,0.8592,WEAKLY_ADAPTIVE
4,Projection-Neutral,0.7739,0.7543,0.2244,0.078,0.7641,0.8496,WEAKLY_ADAPTIVE
6,Projection-Neutral,0.7428,0.7306,0.2416,0.0692,0.7367,0.8073,WEAKLY_ADAPTIVE
8,Projection-Neutral,0.7343,0.7132,0.2379,0.0856,0.7238,0.8429,WEAKLY_ADAPTIVE
12,Projection-Neutral,0.7014,0.6645,0.2573,0.0736,0.6829,0.7703,WEAKLY_ADAPTIVE
16,Projection-Neutral,0.6517,0.6447,0.2725,0.0,0.6482,0.7787,ADAPTATION-DEGRADING
20,Projection-Neutral,0.6328,0.6232,0.2839,0.0,0.628,0.7322,COLLAPSING
1,Antisymmetry-Neutral,0.7965,0.7815,0.2331,0.0827,0.789,0.87,WEAKLY_ADAPTIVE
2,Antisymmetry-Neutral,0.7839,0.7655,0.2311,0.0814,0.7747,0.8913,WEAKLY_ADAPTIVE
4,Antisymmetry-Neutral,0.7553,0.7443,0.2284,0.0794,0.7498,0.8579,WEAKLY_ADAPTIVE
6,Antisymmetry-Neutral,0.7537,0.7123,0.2305,0.0858,0.733,0.8243,WEAKLY_ADAPTIVE
8,Antisymmetry-Neutral,0.7146,0.7009,0.2673,0.0839,0.7078,0.8147,WEAKLY_ADAPTIVE
12,Antisymmetry-Neutral,0.6992,0.6695,0.252,0.0873,0.6843,0.7784,ADAPTATION-DEGRADING
16,Antisymmetry-Neutral,0.6684,0.6275,0.2915,0.0,0.6479,0.7272,ADAPTATION-DEGRADING
20,Antisymmetry-Neutral,0.6125,0.6047,0.2679,0.0,0.6086,0.6939,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8177,0.7951,0.246,0.0784,0.8064,0.9005,WEAKLY_ADAPTIVE
2,Projection-Antisymmetry-Neutral,0.7982,0.7569,0.2348,0.0781,0.7776,0.8639,WEAKLY_ADAPTIVE
4,Projection-Antisymmetry-Neutral,0.776,0.734,0.2401,0.0729,0.755,0.8512,WEAKLY_ADAPTIVE
6,Projection-Antisymmetry-Neutral,0.7601,0.7371,0.2622,0.0841,0.7486,0.84,WEAKLY_ADAPTIVE
8,Projection-Antisymmetry-Neutral,0.7197,0.703,0.2494,0.0761,0.7114,0.8386,WEAKLY_ADAPTIVE
12,Projection-Antisymmetry-Neutral,0.6741,0.6599,0.2545,0.0871,0.667,0.7856,ADAPTATION-DEGRADING
16,Projection-Antisymmetry-Neutral,0.654,0.653,0.2897,0.0,0.6535,0.7303,ADAPTATION-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6313,0.6053,0.2691,0.0,0.6183,0.7187,COLLAPSING
