phase,sector,closure_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
280,projection,1.000000,0.970000,0.980000,0.980000,0.950000,0.150000,0.980000,0.000000
280,antisymmetry,0.960000,0.931200,0.980000,0.940800,0.950000,0.150000,0.980000,0.000000
280,neutral,0.860000,0.834200,0.980000,0.842800,0.950000,0.150000,0.980000,0.000000
281,projection,1.000000,0.968807,0.979283,0.979303,0.948708,0.150000,0.979234,0.000000
281,antisymmetry,0.960000,0.930055,0.979283,0.940131,0.948708,0.150000,0.979234,0.000000
281,neutral,0.860000,0.833174,0.979283,0.842201,0.948708,0.150000,0.979234,0.000000
282,projection,1.000000,0.967629,0.978573,0.978614,0.947434,0.150000,0.978477,0.000000
282,antisymmetry,0.960000,0.928923,0.978573,0.939469,0.947434,0.150000,0.978477,0.000000
282,neutral,0.860000,0.832161,0.978573,0.841608,0.947434,0.150000,0.978477,0.000000
283,projection,1.000000,0.966464,0.977869,0.977931,0.946175,0.150000,0.977728,0.000000
283,antisymmetry,0.960000,0.927805,0.977869,0.938814,0.946175,0.150000,0.977728,0.000000
283,neutral,0.860000,0.831159,0.977869,0.841021,0.946175,0.150000,0.977728,0.000000
284,projection,1.000000,0.965313,0.977171,0.977255,0.944933,0.150000,0.976987,0.000000
284,antisymmetry,0.960000,0.926701,0.977171,0.938165,0.944933,0.150000,0.976987,0.000000
284,neutral,0.860000,0.830170,0.977171,0.840440,0.944933,0.150000,0.976987,0.000000
285,projection,1.000000,0.964176,0.976480,0.976586,0.943707,0.150000,0.976254,0.000000
285,antisymmetry,0.960000,0.925609,0.976480,0.937523,0.943707,0.150000,0.976254,0.000000
285,neutral,0.860000,0.829192,0.976480,0.839864,0.943707,0.150000,0.976254,0.000000
286,projection,1.000000,0.963053,0.975795,0.975924,0.942496,0.150000,0.975529,0.000000
286,antisymmetry,0.960000,0.924531,0.975795,0.936887,0.942496,0.150000,0.975529,0.000000
286,neutral,0.860000,0.828226,0.975795,0.839294,0.942496,0.150000,0.975529,0.000000
287,projection,1.000000,0.961943,0.975115,0.975268,0.941302,0.150000,0.974812,0.000000
287,antisymmetry,0.960000,0.923465,0.975115,0.936257,0.941302,0.150000,0.974812,0.000000
287,neutral,0.860000,0.827271,0.975115,0.838730,0.941302,0.150000,0.974812,0.000000
288,projection,1.000000,0.960846,0.974442,0.974618,0.940123,0.150000,0.974103,0.000000
288,antisymmetry,0.960000,0.922413,0.974442,0.935633,0.940123,0.150000,0.974103,0.000000
288,neutral,0.860000,0.826328,0.974442,0.838172,0.940123,0.150000,0.974103,0.000000
289,projection,1.000000,0.959763,0.973775,0.973975,0.938959,0.150000,0.973402,0.000000
289,antisymmetry,0.960000,0.921372,0.973775,0.935016,0.938959,0.150000,0.973402,0.000000
289,neutral,0.860000,0.825396,0.973775,0.837619,0.938959,0.150000,0.973402,0.000000
290,projection,1.000000,0.958692,0.973114,0.973339,0.937810,0.150000,0.972708,0.000000
290,antisymmetry,0.960000,0.920344,0.973114,0.934405,0.937810,0.150000,0.972708,0.000000
290,neutral,0.860000,0.824475,0.973114,0.837071,0.937810,0.150000,0.972708,0.000000
291,projection,1.000000,0.957634,0.972459,0.972708,0.936675,0.150000,0.972022,0.000000
291,antisymmetry,0.960000,0.919329,0.972459,0.933800,0.936675,0.150000,0.972022,0.000000
291,neutral,0.860000,0.823565,0.972459,0.836529,0.936675,0.150000,0.972022,0.000000
292,projection,1.000000,0.956589,0.971810,0.972084,0.935556,0.150000,0.971344,0.000000
292,antisymmetry,0.960000,0.918325,0.971810,0.933201,0.935556,0.150000,0.971344,0.000000
292,neutral,0.860000,0.822666,0.971810,0.835993,0.935556,0.150000,0.971344,0.000000
293,projection,1.000000,0.955556,0.971167,0.971467,0.934451,0.150000,0.970673,0.000000
293,antisymmetry,0.960000,0.917334,0.971167,0.932608,0.934451,0.150000,0.970673,0.000000
293,neutral,0.860000,0.821778,0.971167,0.835461,0.934451,0.150000,0.970673,0.000000
294,projection,1.000000,0.954535,0.970529,0.970855,0.933360,0.150000,0.970009,0.000000
294,antisymmetry,0.960000,0.916354,0.970529,0.932021,0.933360,0.150000,0.970009,0.000000
294,neutral,0.860000,0.820900,0.970529,0.834935,0.933360,0.150000,0.970009,0.000000
295,projection,1.000000,0.953527,0.969897,0.970250,0.932283,0.150000,0.969353,0.000000
295,antisymmetry,0.960000,0.915386,0.969897,0.931440,0.932283,0.150000,0.969353,0.000000
295,neutral,0.860000,0.820033,0.969897,0.834415,0.932283,0.150000,0.969353,0.000000
296,projection,1.000000,0.952531,0.969271,0.969650,0.931221,0.150000,0.968703,0.000000
296,antisymmetry,0.960000,0.914429,0.969271,0.930864,0.931221,0.150000,0.968703,0.000000
296,neutral,0.860000,0.819176,0.969271,0.833899,0.931221,0.150000,0.968703,0.000000
297,projection,1.000000,0.951546,0.968650,0.969057,0.930172,0.150000,0.968061,0.000000
297,antisymmetry,0.960000,0.913484,0.968650,0.930294,0.930172,0.150000,0.968061,0.000000
297,neutral,0.860000,0.818330,0.968650,0.833389,0.930172,0.150000,0.968061,0.000000
298,projection,1.000000,0.950574,0.968035,0.968469,0.929136,0.150000,0.967426,0.000000
298,antisymmetry,0.960000,0.912551,0.968035,0.929730,0.929136,0.150000,0.967426,0.000000
298,neutral,0.860000,0.817493,0.968035,0.832883,0.929136,0.150000,0.967426,0.000000
299,projection,1.000000,0.949612,0.967426,0.967887,0.928114,0.150000,0.966798,0.000000
299,antisymmetry,0.960000,0.911628,0.967426,0.929172,0.928114,0.150000,0.966798,0.000000
299,neutral,0.860000,0.816667,0.967426,0.832383,0.928114,0.150000,0.966798,0.000000
300,projection,1.000000,0.948663,0.966822,0.967311,0.927105,0.150000,0.966176,0.000000
300,antisymmetry,0.960000,0.910716,0.966822,0.928619,0.927105,0.150000,0.966176,0.000000
300,neutral,0.860000,0.815850,0.966822,0.831888,0.927105,0.150000,0.966176,0.000000
301,projection,1.000000,0.947724,0.966223,0.966741,0.926109,0.150000,0.965562,0.000000
301,antisymmetry,0.960000,0.909815,0.966223,0.928071,0.926109,0.150000,0.965562,0.000000
301,neutral,0.860000,0.815043,0.966223,0.831397,0.926109,0.150000,0.965562,0.000000
302,projection,1.000000,0.946797,0.965630,0.966176,0.925126,0.150000,0.964954,0.000000
302,antisymmetry,0.960000,0.908925,0.965630,0.927529,0.925126,0.150000,0.964954,0.000000
302,neutral,0.860000,0.814246,0.965630,0.830912,0.925126,0.150000,0.964954,0.000000
303,projection,1.000000,0.945881,0.965042,0.965617,0.924156,0.150000,0.964353,0.000000
303,antisymmetry,0.960000,0.908046,0.965042,0.926993,0.924156,0.150000,0.964353,0.000000
303,neutral,0.860000,0.813458,0.965042,0.830431,0.924156,0.150000,0.964353,0.000000
304,projection,1.000000,0.944976,0.964459,0.965064,0.923198,0.150000,0.963758,0.000000
304,antisymmetry,0.960000,0.907177,0.964459,0.926461,0.923198,0.150000,0.963758,0.000000
304,neutral,0.860000,0.812679,0.964459,0.829955,0.923198,0.150000,0.963758,0.000000
305,projection,1.000000,0.944082,0.963881,0.964516,0.922253,0.150000,0.963170,0.000000
305,antisymmetry,0.960000,0.906319,0.963881,0.925935,0.922253,0.150000,0.963170,0.000000
305,neutral,0.860000,0.811910,0.963881,0.829484,0.922253,0.150000,0.963170,0.000000
306,projection,1.000000,0.943198,0.963309,0.963974,0.921320,0.150000,0.962588,0.000000
306,antisymmetry,0.960000,0.905470,0.963309,0.925415,0.921320,0.150000,0.962588,0.000000
306,neutral,0.860000,0.811150,0.963309,0.829017,0.921320,0.150000,0.962588,0.000000
307,projection,1.000000,0.942325,0.962742,0.963437,0.920398,0.150000,0.962013,0.000000
307,antisymmetry,0.960000,0.904632,0.962742,0.924899,0.920398,0.150000,0.962013,0.000000
307,neutral,0.860000,0.810400,0.962742,0.828555,0.920398,0.150000,0.962013,0.000000
308,projection,1.000000,0.941462,0.962180,0.962905,0.919489,0.150000,0.961444,0.000000
308,antisymmetry,0.960000,0.903804,0.962180,0.924389,0.919489,0.150000,0.961444,0.000000
308,neutral,0.860000,0.809658,0.962180,0.828098,0.919489,0.150000,0.961444,0.000000
309,projection,1.000000,0.940610,0.961622,0.962378,0.918592,0.150000,0.960881,0.000000
309,antisymmetry,0.960000,0.902985,0.961622,0.923883,0.918592,0.150000,0.960881,0.000000
309,neutral,0.860000,0.808925,0.961622,0.827645,0.918592,0.150000,0.960881,0.000000
