depth,sector,condition,rg_similarity,memory_persistence,historical_encoding_strength,lineage_memory_transfer,adaptive_history_modulation,reconstruction_accuracy,transport_memory_alignment,classification
1,Projection,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Projection,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Projection,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Projection,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
8,Projection,HistoricalStateEncoding,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
12,Projection,HistoricalStateEncoding,0.953,0.9231,0.9028,0.9012,0.8915,0.8878,0.9017,MEMORY-STABLE
16,Projection,HistoricalStateEncoding,0.9032,0.8781,0.8851,0.863,0.8567,0.8496,0.8745,MEMORY-BOUNDED
20,Projection,HistoricalStateEncoding,0.8974,0.853,0.8543,0.84,0.8309,0.8254,0.8449,MEMORY-BOUNDED
24,Projection,HistoricalStateEncoding,0.8658,0.8245,0.8183,0.8005,0.7928,0.8002,0.8222,MEMORY-BOUNDED
32,Projection,HistoricalStateEncoding,0.7986,0.7841,0.7836,0.7457,0.7606,0.7659,0.7505,MEMORY-PARTIAL
40,Projection,HistoricalStateEncoding,0.744,0.7381,0.7312,0.7283,0.7052,0.7196,0.7223,MEMORY-PARTIAL
48,Projection,HistoricalStateEncoding,0.7041,0.694,0.7018,0.6686,0.6584,0.6776,0.6829,MEMORY-DEGRADING
64,Projection,HistoricalStateEncoding,0.6468,0.6302,0.6173,0.6155,0.6157,0.6169,0.6126,MEMORY-DEGRADING
80,Projection,HistoricalStateEncoding,0.5791,0.5638,0.5722,0.5501,0.5398,0.553,0.5555,MEMORY-DEGRADING
96,Projection,HistoricalStateEncoding,0.5417,0.5185,0.5148,0.5083,0.5154,0.5111,0.5204,MEMORY-FAILED
128,Projection,HistoricalStateEncoding,0.4571,0.4448,0.4552,0.4452,0.4374,0.4282,0.4386,MEMORY-FAILED
160,Projection,HistoricalStateEncoding,0.4077,0.3895,0.3866,0.3771,0.3739,0.3787,0.3833,MEMORY-FAILED
192,Projection,HistoricalStateEncoding,0.3652,0.3492,0.3477,0.3454,0.3393,0.3419,0.3487,MEMORY-FAILED
256,Projection,HistoricalStateEncoding,0.2973,0.2915,0.2879,0.2831,0.2805,0.2774,0.2787,MEMORY-FAILED
320,Projection,HistoricalStateEncoding,0.2546,0.2414,0.2463,0.2348,0.2348,0.2308,0.2342,MEMORY-FAILED
512,Projection,HistoricalStateEncoding,0.1717,0.1662,0.1687,0.1629,0.1632,0.1644,0.1612,MEMORY-FAILED
768,Projection,HistoricalStateEncoding,0.1209,0.1193,0.1167,0.1137,0.1118,0.1147,0.1153,MEMORY-FAILED
1024,Projection,HistoricalStateEncoding,0.0932,0.0903,0.092,0.09,0.0871,0.0891,0.0894,MEMORY-FAILED
1536,Projection,HistoricalStateEncoding,0.0643,0.0618,0.0617,0.0621,0.0604,0.0603,0.0614,MEMORY-FAILED
2048,Projection,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
3072,Projection,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
4096,Projection,HistoricalStateEncoding,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MEMORY-FAILED
1,Projection,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
2,Projection,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
4,Projection,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
6,Projection,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
8,Projection,RecursiveMemoryPersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MEMORY-STABLE
12,Projection,RecursiveMemoryPersistence,0.9521,0.9237,0.9231,0.92,0.8871,0.8825,0.9096,MEMORY-STABLE
16,Projection,RecursiveMemoryPersistence,0.9326,0.9161,0.8708,0.8609,0.8495,0.8608,0.8761,MEMORY-BOUNDED
20,Projection,RecursiveMemoryPersistence,0.8965,0.8579,0.8474,0.8454,0.8425,0.8271,0.8321,MEMORY-BOUNDED
24,Projection,RecursiveMemoryPersistence,0.8497,0.8565,0.8254,0.8088,0.8114,0.7899,0.8236,MEMORY-BOUNDED
32,Projection,RecursiveMemoryPersistence,0.8185,0.8006,0.7859,0.7823,0.7562,0.7542,0.7811,MEMORY-PARTIAL
40,Projection,RecursiveMemoryPersistence,0.766,0.7385,0.726,0.7154,0.718,0.7013,0.716,MEMORY-PARTIAL
48,Projection,RecursiveMemoryPersistence,0.7297,0.7169,0.6876,0.6708,0.6785,0.6663,0.6839,MEMORY-DEGRADING
64,Projection,RecursiveMemoryPersistence,0.6426,0.6362,0.6268,0.6256,0.6151,0.6162,0.6095,MEMORY-DEGRADING
80,Projection,RecursiveMemoryPersistence,0.5817,0.578,0.5577,0.5722,0.5553,0.5564,0.5507,MEMORY-DEGRADING
96,Projection,RecursiveMemoryPersistence,0.5423,0.5377,0.5199,0.5193,0.5111,0.5072,0.5218,MEMORY-FAILED
128,Projection,RecursiveMemoryPersistence,0.4581,0.4544,0.4442,0.4383,0.4467,0.438,0.4508,MEMORY-FAILED
160,Projection,RecursiveMemoryPersistence,0.4068,0.4035,0.3888,0.3918,0.3891,0.3818,0.3881,MEMORY-FAILED
192,Projection,RecursiveMemoryPersistence,0.3603,0.3529,0.3463,0.3475,0.3364,0.3417,0.3504,MEMORY-FAILED
256,Projection,RecursiveMemoryPersistence,0.3007,0.287,0.2916,0.2885,0.2859,0.2729,0.2861,MEMORY-FAILED
320,Projection,RecursiveMemoryPersistence,0.2553,0.2517,0.2398,0.2442,0.2383,0.2395,0.2403,MEMORY-FAILED
512,Projection,RecursiveMemoryPersistence,0.174,0.1675,0.166,0.1658,0.1621,0.1642,0.1666,MEMORY-FAILED
768,Projection,RecursiveMemoryPersistence,0.1202,0.118,0.1164,0.1172,0.1155,0.1123,0.1176,MEMORY-FAILED
1024,Projection,RecursiveMemoryPersistence,0.0946,0.0935,0.0913,0.0908,0.0894,0.0878,0.0891,MEMORY-FAILED
1536,Projection,RecursiveMemoryPersistence,0.0636,0.0626,0.0632,0.0626,0.0614,0.0601,0.0607,MEMORY-FAILED
