name,class,TRE_raw,TRE_norm,CSR,RBS,RTP,SRD,ADI,stability_score,curvature,high_curvature,transition_score,PC1,PC2,PC3,flow_mag,flow_regime
EnergyMomentumConservation,positive,0.055825,-0.189003,0.757904,0.278211,0.128046,0.564023,1.0,1.036115,0.0006541248476419,0,0.0016074446157422,-0.06938216008578739,-2.424111135011455,-0.39708018132374595,2.4573972713879195,intermediate
ChemicalEquilibriumNetwork,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225,0.0006541248476419,0,0.0012042429539481,0.2626512598785128,-1.7849334543374562,-0.36647355484533056,1.840998638546424,intermediate
SuperconductorCoherence,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627,0.0006541248476419,0,0.0009947063724447,0.5135691825601341,-1.3906768827457514,-0.3386650780105999,1.5206674628408572,core
DoubleSlitInterference,positive,0.101328,0.422121,0.790077,0.278148,0.282413,0.641206,1.0,1.068225,0.0006541248476419,0,0.0012042429539481,0.26265125987851234,-1.7849334543374573,-0.3664735548453301,1.8409986385464252,intermediate
TurbulenceEnergyCascade,positive,0.118459,0.652207,0.803387,0.30824,0.385628,0.692814,1.0,1.111627,0.0006541248476419,0,0.0009947063724448,0.5135691825601347,-1.3906768827457494,-0.3386650780105991,1.5206674628408556,core
reaction_diffusion,positive,0.094463,0.329927,0.550689,-0.206644,0.74713,0.873565,0.049501,0.344045,0.0174494330464744,1,0.0565517888404722,-2.488347558010839,1.508441413254409,-1.4269318490786385,3.240895488687416,peripheral
synchronized_oscillators,positive,0.0,-0.938763,0.528004,0.273416,0.427997,1.0,1.0,0.80142,0.0215163562303066,1,0.0074919832175983,0.11489272941259016,-0.1895344059572067,0.2685502198632235,0.3481994412718257,core
recursive_market,positive,0.31784,3.329992,0.301572,-0.007598,0.733435,0.566641,0.914354,0.293974,0.016847052433102,0,0.0469829088321669,-2.005420530884759,-0.9010963829390511,1.715712462297725,2.7887910374073694,intermediate
predator_prey_cycles,positive,0.113987,0.592133,0.373153,-0.002989,0.340206,0.664949,1.0,0.370164,0.1071464353229527,1,0.2600150369883515,-1.6100363543051468,-1.4402274543040259,1.105679312446259,2.4267259681074203,intermediate
neural_cascade,positive,0.109945,0.537859,0.491485,-0.298989,0.67352,0.83676,0.123098,0.192496,0.0174494330464744,1,0.0569180018282895,-2.8385199084667168,1.2021295753447092,-1.0665679690175576,3.2618825882018787,peripheral
