phase,sector,regime_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
280,projection,1.000000,0.980000,0.980000,0.990000,0.950000,0.150000,0.980000,0.000000
280,antisymmetry,0.970000,0.950600,0.980000,0.960300,0.950000,0.150000,0.980000,0.000000
280,neutral,0.860000,0.842800,0.980000,0.851400,0.950000,0.150000,0.980000,0.000000
281,projection,1.000000,0.978809,0.979403,0.989284,0.948216,0.150000,0.979256,0.000000
281,antisymmetry,0.970000,0.949445,0.979403,0.959606,0.948216,0.150000,0.979256,0.000000
281,neutral,0.860000,0.841776,0.979403,0.850785,0.948216,0.150000,0.979256,0.000000
282,projection,1.000000,0.977636,0.978812,0.988577,0.946464,0.150000,0.978522,0.000000
282,antisymmetry,0.970000,0.948307,0.978812,0.958920,0.946464,0.150000,0.978522,0.000000
282,neutral,0.860000,0.840767,0.978812,0.850176,0.946464,0.150000,0.978522,0.000000
283,projection,1.000000,0.976480,0.978227,0.987878,0.944743,0.150000,0.977800,0.000000
283,antisymmetry,0.970000,0.947185,0.978227,0.958242,0.944743,0.150000,0.977800,0.000000
283,neutral,0.860000,0.839773,0.978227,0.849575,0.944743,0.150000,0.977800,0.000000
284,projection,1.000000,0.975341,0.977647,0.987188,0.943053,0.150000,0.977088,0.000000
284,antisymmetry,0.970000,0.946081,0.977647,0.957572,0.943053,0.150000,0.977088,0.000000
284,neutral,0.860000,0.838793,0.977647,0.848982,0.943053,0.150000,0.977088,0.000000
285,projection,1.000000,0.974219,0.977074,0.986506,0.941393,0.150000,0.976387,0.000000
285,antisymmetry,0.970000,0.944993,0.977074,0.956911,0.941393,0.150000,0.976387,0.000000
285,neutral,0.860000,0.837829,0.977074,0.848395,0.941393,0.150000,0.976387,0.000000
286,projection,1.000000,0.973114,0.976506,0.985832,0.939763,0.150000,0.975697,0.000000
286,antisymmetry,0.970000,0.943921,0.976506,0.956257,0.939763,0.150000,0.975697,0.000000
286,neutral,0.860000,0.836878,0.976506,0.847815,0.939763,0.150000,0.975697,0.000000
287,projection,1.000000,0.972026,0.975944,0.985166,0.938161,0.150000,0.975016,0.000000
287,antisymmetry,0.970000,0.942865,0.975944,0.955611,0.938161,0.150000,0.975016,0.000000
287,neutral,0.860000,0.835942,0.975944,0.847243,0.938161,0.150000,0.975016,0.000000
288,projection,1.000000,0.970954,0.975387,0.984508,0.936589,0.150000,0.974346,0.000000
288,antisymmetry,0.970000,0.941825,0.975387,0.954973,0.936589,0.150000,0.974346,0.000000
288,neutral,0.860000,0.835020,0.975387,0.846677,0.936589,0.150000,0.974346,0.000000
289,projection,1.000000,0.969897,0.974836,0.983858,0.935044,0.150000,0.973686,0.000000
289,antisymmetry,0.970000,0.940800,0.974836,0.954342,0.935044,0.150000,0.973686,0.000000
289,neutral,0.860000,0.834112,0.974836,0.846118,0.935044,0.150000,0.973686,0.000000
290,projection,1.000000,0.968857,0.974290,0.983215,0.933527,0.150000,0.973035,0.000000
290,antisymmetry,0.970000,0.939791,0.974290,0.953719,0.933527,0.150000,0.973035,0.000000
290,neutral,0.860000,0.833217,0.974290,0.845565,0.933527,0.150000,0.973035,0.000000
291,projection,1.000000,0.967831,0.973750,0.982580,0.932037,0.150000,0.972395,0.000000
291,antisymmetry,0.970000,0.938797,0.973750,0.953103,0.932037,0.150000,0.972395,0.000000
291,neutral,0.860000,0.832335,0.973750,0.845019,0.932037,0.150000,0.972395,0.000000
292,projection,1.000000,0.966822,0.973215,0.981953,0.930574,0.150000,0.971764,0.000000
292,antisymmetry,0.970000,0.937817,0.973215,0.952495,0.930574,0.150000,0.971764,0.000000
292,neutral,0.860000,0.831467,0.973215,0.844480,0.930574,0.150000,0.971764,0.000000
293,projection,1.000000,0.965827,0.972686,0.981334,0.929136,0.150000,0.971142,0.000000
293,antisymmetry,0.970000,0.936852,0.972686,0.951894,0.929136,0.150000,0.971142,0.000000
293,neutral,0.860000,0.830611,0.972686,0.843947,0.929136,0.150000,0.971142,0.000000
