sim_idx,sys_idx_a,domain_a,sys_idx_b,domain_b,observer_level_a,observer_level_b,recursive_closure_a,recursive_closure_b,reconstruction_a,reconstruction_b,operator_continuity_a,operator_continuity_b,coupling_strength,phase_sync_time,final_synchronization,mean_order_parameter,closure_correlation,final_closure_diff,transition_synchronization,phase_jumps_a,phase_jumps_b,closure_sign_changes_a,closure_sign_changes_b
0,357,kuramoto,10,nonlinear_oscillator,3,0,0.6888,0.1875,1.0,0.0,1.0,1.0,0.4892029593751602,0,0.9999451048821733,0.998587064639202,0.6092606173205268,0.016921031442183522,0.0,0,0,14,2
1,108,branching,170,population,0,0,0.3333,0.45,0.0,0.85,1.0,0.8667,0.4402346930723707,61,0.9156609179382824,0.8945171225114339,0.9550236917405341,0.007558717378658048,0.0,0,0,12,11
2,281,kuramoto,322,population,0,0,0.2584,0.75,1.0,0.0,1.0,0.4,0.6816601238360043,10,0.3241132383590484,0.633679342618714,-0.09243610733057826,0.20006756824701408,0.0,0,0,4,9
3,233,gray_scott,300,nonlinear_oscillator,3,0,0.7926,0.2525,1.0,0.0,0.7667,1.0,0.44932054648463415,67,0.7827049534375036,0.6992686851054347,0.44349461881944463,0.04222863040066292,0.0,0,0,14,8
4,375,population,345,branching,0,0,0.5,0.2667,0.8,0.0,0.8,1.0,0.2998654979770838,12,0.6497317804546895,0.6507698187551323,0.7264884254967825,0.031797092199916464,0.0,0,0,12,8
5,181,kuramoto,367,branching,0,0,0.285,0.6,1.0,0.0,0.8667,1.0,0.2464019154027709,0,0.782737714700857,0.8774971897184028,0.7673394009913667,0.019065864039941587,0.0,0,0,6,13
6,364,gray_scott,366,nonlinear_oscillator,0,0,1.0,0.13,0.0,1.0,0.9667,1.0,0.1328510354391902,0,0.9581466461438304,0.9458241228718296,0.3005045660136572,0.024761719398036203,0.0,0,0,15,0
7,389,branching,210,kuramoto,3,3,0.5874,0.8342,0.9,1.0,1.0,1.0,0.38079859152940393,15,0.9999998744794635,0.9784946596052513,0.9431691758577019,0.025169390665862358,0.0,0,0,13,15
8,76,branching,141,gray_scott,3,3,0.5893,0.9,0.9,0.86,1.0,0.9667,0.2906210232009662,61,0.997855682651147,0.8405225081811765,0.5623565600910202,0.004565298036616868,0.0,0,0,12,16
9,320,coupled_map_lattice,448,gray_scott,3,3,0.7883,0.5442,1.0,1.0,1.0,0.5,0.21477032747479152,21,0.6938550662077259,0.6501760659522765,0.3945436390042233,0.0031434071841163203,0.0,0,0,14,9
10,202,nonlinear_oscillator,128,gray_scott,0,3,0.1975,0.4436,0.0,1.0,1.0,1.0,0.6684806555491919,12,0.9999221949439756,0.9844458315665378,0.9081791996909129,0.0052448345016696905,0.0,0,0,4,13
