depth,mode_index,eigenvalue,variance_explained,rg_preserved,topology_stable
1,0,0.0000,0.0000,,
1,1,0.0000,0.0000,,
1,2,0.0000,0.0000,,
2,0,0.0000,0.0000,,
2,1,0.0000,0.0000,,
2,2,0.0000,0.0000,,
3,0,0.0000,0.0000,,
3,1,0.0000,0.0000,,
3,2,0.0000,0.0000,,
4,0,0.0000,0.0000,,
4,1,0.0000,0.0000,,
4,2,0.0000,0.0000,,
5,0,0.0000,0.0000,,
5,1,0.0000,0.0000,,
5,2,0.0000,0.0000,,
6,0,0.5904,0.5904,True,
6,1,0.0058,0.5962,,
6,2,0.0000,0.5962,,
7,0,0.0000,0.0000,,
7,1,0.0000,0.0000,,
7,2,0.0000,0.0000,,
8,0,0.0000,0.0000,,
8,1,0.0000,0.0000,,
8,2,0.0000,0.0000,,
9,0,0.0000,0.0000,,
9,1,0.0000,0.0000,,
9,2,0.0000,0.0000,,
10,0,0.0000,0.0000,,
10,1,0.0000,0.0000,,
10,2,0.0000,0.0000,,
11,0,0.0000,0.0000,,
11,1,0.0000,0.0000,,
11,2,0.0000,0.0000,,
12,0,0.5924,0.5924,True,True
12,1,0.0188,0.6112,,
12,2,0.0000,0.6112,,
