domain,sys_idx,intervention,desc_name,desc_original,desc_target,desc_change,regime_from,regime_to,transitioned,delta_coherence,delta_fertility,matched_sys_idx
branching,0,perturb_CSR,CSR,0.1018097133062582,0.0414547799154174,-0.0603549333908408,chaotic_fertility,collapse,True,0.028876281584637786,-0.8264218065077623,27
branching,1,perturb_CSR,CSR,0.6726460021400553,0.7435158811040038,0.07086987896394847,chaotic_fertility,chaotic_fertility,False,0.022337374126140286,-0.08209772658021852,453
branching,2,perturb_CSR,CSR,0.4466061416797933,0.1827135978369823,-0.263892543842811,chaotic_fertility,constrained_generative,True,0.09196929698144335,0.120049933399894,15
branching,3,perturb_CSR,CSR,0.8256431137050024,0.5742075646418575,-0.2514355490631449,chaotic_fertility,chaotic_fertility,False,0.11966740078047083,0.15833820035691032,451
branching,4,perturb_CSR,CSR,0.7585561821026237,0.8418360170065237,0.08327983490390001,chaotic_fertility,chaotic_fertility,False,-0.1324021889347532,-0.19393067010704773,133
branching,5,perturb_CSR,CSR,0.054973473826935,0.1128751481156652,0.05790167428873019,collapse,constrained_generative,True,0.1390974045370224,0.7653478915786378,272
branching,6,perturb_CSR,CSR,0.1245761780490204,0.3893336880336372,0.26475750998461683,constrained_generative,chaotic_fertility,True,-0.12259997035213399,-0.4819651812132662,431
branching,7,perturb_CSR,CSR,0.9610078858384168,0.8395888987145907,-0.12141898712382604,chaotic_fertility,chaotic_fertility,False,0.0278955522738511,0.07750316002527613,53
branching,8,perturb_CSR,CSR,0.9926391911641655,0.8610712057338044,-0.1315679854303612,chaotic_fertility,chaotic_fertility,False,0.019789918636417325,-0.030362306454611243,400
branching,9,perturb_CSR,CSR,0.5268725124640998,0.6494019222348756,0.12252940977077575,chaotic_fertility,chaotic_fertility,False,-0.049893092932062066,-0.09133661917580255,168
branching,10,perturb_CSR,CSR,0.7623859157515226,0.8388760179032305,0.07649010215170793,chaotic_fertility,chaotic_fertility,False,-0.04091232214621743,-0.08515818608860859,198
branching,11,perturb_CSR,CSR,0.3004727773591208,0.3371739704790683,0.03670119311994746,chaotic_fertility,chaotic_fertility,False,0.013834229719468016,-0.035821584152422536,306
branching,12,perturb_CSR,CSR,0.9786672303273274,0.8494954594392325,-0.12917177088809484,chaotic_fertility,chaotic_fertility,False,0.021717489727551553,0.0831145178659416,214
branching,13,perturb_CSR,CSR,0.7723891994285836,0.6082675230655348,-0.16412167636304886,chaotic_fertility,chaotic_fertility,False,0.05722993781146041,-0.04737950644297628,49
branching,14,perturb_CSR,CSR,0.1964297071458211,0.4263689767939452,0.2299392696481241,constrained_generative,chaotic_fertility,True,-0.35554181525512485,0.2325782492494812,480
branching,15,perturb_CSR,CSR,0.1827135978369823,0.4713095331913672,0.2885959353543849,constrained_generative,collapse,True,-0.583682538368215,-0.7438003923719917,396
branching,16,perturb_CSR,CSR,0.8690988510381734,0.6357213798462362,-0.2333774711919372,chaotic_fertility,chaotic_fertility,False,0.1376196659164794,0.14286418259076988,215
branching,17,perturb_CSR,CSR,0.981026358886948,0.8494954594392325,-0.13153089944771545,chaotic_fertility,chaotic_fertility,False,0.05327664334366505,0.14855213513608606,214
branching,18,perturb_CSR,CSR,0.8341394973249641,0.7435158811040038,-0.09062361622096027,chaotic_fertility,chaotic_fertility,False,-0.0015379686700922601,-0.05686396491837131,453
branching,19,perturb_CSR,CSR,0.4409602450240296,0.1513963270251221,-0.28956391799890746,chaotic_fertility,constrained_generative,True,0.3701924736596972,-0.3956914896137569,478
branching,20,perturb_CSR,CSR,0.9173126737636969,0.8277046490470139,-0.08960802471668294,chaotic_fertility,chaotic_fertility,False,0.05716651925597266,0.07218346663985786,422
branching,21,perturb_CSR,CSR,0.941131827731944,0.710709198267453,-0.230422629464491,chaotic_fertility,chaotic_fertility,False,0.14145668114364363,0.024169139411150287,447
branching,22,perturb_CSR,CSR,0.3943749521329566,0.9374486311285049,0.5430736789955483,chaotic_fertility,chaotic_fertility,False,-0.2276698284659155,-0.15070916828206576,307
branching,23,perturb_CSR,CSR,0.1171896309076133,0.3893336880336372,0.2721440571260239,constrained_generative,chaotic_fertility,True,-0.11805605257833707,-0.48394762673273833,431
branching,24,perturb_CSR,CSR,0.7021485241942718,0.783241036738987,0.08109251254471528,chaotic_fertility,chaotic_fertility,False,-0.006573005751292271,-0.09778411038084567,269
branching,25,perturb_CSR,CSR,0.7673383689488348,0.8440958803761068,0.07675751142727205,chaotic_fertility,chaotic_fertility,False,-0.02773455468825886,-0.09677272739462661,178
branching,26,perturb_CSR,CSR,0.6582919862922411,0.7314272669049389,0.0731352806126978,chaotic_fertility,chaotic_fertility,False,0.04454561851331562,-0.037433600581452176,120
branching,27,perturb_CSR,CSR,0.0414547799154174,0.1128751481156652,0.0714203682002478,collapse,constrained_generative,True,0.08725453111202963,0.7649268622012263,272
branching,28,perturb_CSR,CSR,0.1104362263893967,0.0611574876382048,-0.049278738751191896,constrained_generative,constrained_generative,False,0.06427489855937296,-0.7681664502707526,138
branching,29,perturb_CSR,CSR,0.0764808938307353,0.1128751481156652,0.0363942542849299,constrained_generative,constrained_generative,False,-0.16364570795354771,0.6557088801914721,272
branching,30,perturb_CSR,CSR,0.2066699571344036,0.4263689767939452,0.2196990196595416,constrained_generative,chaotic_fertility,True,-0.2068975538352844,0.2431677851483522,480
branching,31,perturb_CSR,CSR,0.9987677123933172,0.710709198267453,-0.28805851412586414,chaotic_fertility,chaotic_fertility,False,0.2465340625319897,0.060824931415317585,447
branching,32,perturb_CSR,CSR,0.51538420242881,0.6154622491458774,0.10007804671706744,chaotic_fertility,chaotic_fertility,False,0.0030176858579230026,0.02723622208166332,94
