system,type,domain,standard_rho,standard_p,directional_gradient,propagation_asymmetry,recursive_dependency,depth_coupling,causal_retention,transfer_entropy,asymmetry_preservation,z_score,is_adversarial,original_system,adversarial_type
CriticalPhenomenaScaling,authentic,renormalization_scaling,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
TurbulenceEnergyCascade,authentic,renormalization_scaling,1.0,0.0,0.3071861756698352,1.0,0.342285318587667,0.8716242084072237,1.0,0.8017837257372733,1.2638995024784136e-16,2.4644199654868624,,,
EnergyMomentumConservation,authentic,conservation_structures,1.0,0.0,0.4359768768633429,1.0,0.342285318587667,0.8484121459942848,1.0,0.8017837257372733,4.067252473985069e-16,2.4644199654868624,,,
ChargeConservationEM,authentic,conservation_structures,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
StandingWavePatterns,authentic,wave_interference_organization,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
DoubleSlitInterference,authentic,wave_interference_organization,1.0,0.0,0.3587937001397513,1.0,0.342285318587667,0.8212854523884091,1.0,0.5855400437691199,0.36151923020428867,2.4644199654868624,,,
LimitCycleOscillations,authentic,attractor_persistence,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
StrangeAttractorLorenz,authentic,attractor_persistence,1.0,0.0,0.08693781298568792,1.0,0.16726250302373377,0.8216112781578097,1.0,0.6078306738548308,0.41700712380271504,2.4644199654868624,,,
ElectronTransportMesoscopic,authentic,transport_dynamics,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
HeatTransportPhononic,authentic,transport_dynamics,1.0,0.0,0.12362009766002374,1.0,0.16726250302373377,0.8198334476120632,1.0,0.5855400437691199,0.4490202344459581,2.4644199654868624,,,
AndersonLocalization,authentic,localization_behavior,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
PhotonicBandgapLocalization,authentic,localization_behavior,1.0,0.0,0.06118212239239745,1.0,0.16726250302373377,0.7841054411372617,1.0,0.6078306738548308,0.4508494180364224,2.4644199654868624,,,
PhaseEquilibriumMulticomponent,authentic,equilibrium_systems,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
ChemicalEquilibriumNetwork,authentic,equilibrium_systems,1.0,0.0,0.3587937001397513,1.0,0.342285318587667,0.8212854523884091,1.0,0.5855400437691199,0.36151923020428867,2.4644199654868624,,,
FerromagneticMagnetization,authentic,symmetry_breaking,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
CrystallizationFromLiquid,authentic,symmetry_breaking,1.0,0.0,0.12362009766002374,1.0,0.16726250302373377,0.8198334476120632,1.0,0.5855400437691199,0.4490202344459581,2.4644199654868624,,,
SuperconductorCoherence,authentic,field_coherence_structures,1.0,0.0,0.3071861756698352,1.0,0.342285318587667,0.8716242084072237,1.0,0.8017837257372733,1.2638995024784136e-16,2.4644199654868624,,,
LaserOpticalCoherence,authentic,field_coherence_structures,1.0,0.0,0.007170842831782431,1.0,0.16726250302373377,0.8459890587085332,1.0,0.6078306738548308,0.2400223646834027,2.4644199654868624,,,
CriticalPhenomenaScaling_MonotonicFake_Adversarial,adversarial,renormalization_scaling,-1.0,0.0,0.0,0.9999999800796807,0.342285318587667,0.7421500761181312,1.0,0.8017837257372733,9.204896524248387e-17,-2.4345015519340416,True,CriticalPhenomenaScaling,MonotonicFake
CriticalPhenomenaScaling_OrderPreserve_Adversarial,adversarial,renormalization_scaling,0.14285714285714288,0.7599453002180929,0.6200711072599078,1.0,0.2995190852789272,0.4384815787313269,0.14285714285714288,0.3646984043128985,0.2400223646834027,0.36488217230647485,True,CriticalPhenomenaScaling,OrderPreserve
CriticalPhenomenaScaling_MirroredRecursion_Adversarial,adversarial,renormalization_scaling,-1.0,0.0,0.0,1.0,0.5398443688478491,0.7357762703373272,1.0,0.8509629433967634,0.2400223646834027,-2.4345015519340416,True,CriticalPhenomenaScaling,MirroredRecursion
