depth,sector,transition_rate,retention_strength,transition_dispersion,pathway_stability,sector_bias,metastability,recursive_consistency,rg_stability
1,projection,0.6097,0.5305,0.2293,0.1053,0.5579,0.4089,1.0000,
1,antisymmetry,0.0118,0.4951,0.2660,-1.6631,0.9545,0.3634,1.0000,
1,neutral,0.3226,0.5563,0.2188,-0.5375,0.6100,0.4346,1.0000,
3,projection,0.3061,0.8107,0.2394,0.3121,0.6332,0.6166,1.0000,
3,antisymmetry,0.0118,0.4951,0.2660,-1.6631,0.8697,0.3634,1.0000,
3,neutral,0.1541,0.2693,0.2111,-0.7060,0.4848,0.2124,1.0000,
6,projection,0.1531,0.8107,0.2616,0.3121,0.5951,0.5986,1.0000,True
6,antisymmetry,0.0118,0.0000,0.2659,1.0000,0.7555,0.0000,1.0000,
6,neutral,0.1078,0.0000,0.2075,-0.7680,0.4106,0.0000,1.0000,
9,projection,0.1020,0.8107,0.2679,0.3121,0.5599,0.5935,1.0000,
9,antisymmetry,0.0118,0.4951,0.2660,-1.6631,0.6547,0.3634,1.0000,
9,neutral,0.0923,0.2693,0.2066,-0.7060,0.4565,0.2136,1.0000,
12,projection,0.0765,0.8107,0.2700,0.3121,0.5273,0.5917,1.0000,True
12,antisymmetry,0.0118,0.0000,0.2659,1.0000,0.5650,0.0000,1.0000,
12,neutral,0.0846,0.0000,0.2062,-0.7680,0.4944,0.0000,1.0000,
15,projection,0.0612,0.8107,0.2708,0.3121,0.4971,0.5911,1.0000,
15,antisymmetry,0.0118,0.4951,0.2660,-1.6631,0.4847,0.3634,1.0000,
15,neutral,0.0799,0.2693,0.2061,-0.7060,0.5257,0.2138,1.0000,
20,projection,0.0459,0.8107,0.2710,0.3121,0.4511,0.5909,1.0000,True
20,antisymmetry,0.0118,0.0000,0.2659,1.0000,0.3678,0.0000,1.0000,
20,neutral,0.0751,0.1976,0.2061,-0.5597,0.5659,0.1569,1.0000,
