pc,var_ratio,cum_var
1,0.5547899772070356,0.5547899772070356
2,0.15885329516114796,0.7136432723681836
3,0.05422152326537788,0.7678647956335615
4,0.045072338229044676,0.8129371338626061
5,0.03994760718594051,0.8528847410485466
6,0.03833860897726769,0.8912233500258143
7,0.03047272989480645,0.9216960799206207
8,0.014896536039173866,0.9365926159597946
9,0.012114295942454455,0.9487069119022491
10,0.010992867350155254,0.9596997792524044
11,0.009115405902375825,0.9688151851547802
12,0.00748529473641566,0.9763004798911958
13,0.004542166913160003,0.9808426468043558
14,0.003711886316528058,0.9845545331208839
15,0.003142866091701353,0.9876973992125853
16,0.0028612819633000285,0.9905586811758853
17,0.0022106701320116994,0.992769351307897
18,0.001414114725298519,0.9941834660331955
19,0.0012197311064484424,0.995403197139644
20,0.0010821888486249641,0.996485385988269
