program,mean_closure,survival_rate,null_type
baseline,0.5615614497792843,0.94,RESILIENT
all_zero_closure,0.5357394257744643,0.89,RESILIENT
all_one_closure,0.6275937642490166,0.97,RESILIENT
low_initial_closure,0.5146366084383776,0.86,RESILIENT
high_initial_closure,0.6566849407760331,0.99,RESILIENT
aligned_theta,0.6457647921429133,0.98,RESILIENT
anti_aligned_theta,0.5396188452675456,0.9,RESILIENT
single_freq,0.8404620213121854,1.0,RESILIENT
bimodal_freq,0.4369215519300297,0.94,RESILIENT
broad_freq,0.37846981453525913,0.69,NEUTRAL
negative_coupling,0.12952352678242948,0.0,CATASTROPHIC
zero_coupling,0.23786387447978685,0.21,DISRUPTIVE
chaotic_coupling,0.5729288163487793,0.93,RESILIENT
inverted_closure,0.06491763446756575,0.0,CATASTROPHIC
anti_closure,0.5230101317166578,0.77,RESILIENT
all_adversarial,0.0,0.0,CATASTROPHIC
