depth,sector,condition,rg_similarity,class_transition_stability,bifurcation_strength,merge_coherence,collapse_predictability,relational_class_persistence,transition_entropy,classification
1,Projection,TransitionPathwayTracking,0.9494,0.9077,0.8659,0.8906,0.8834,0.9015,0.1885,TRANSITION-STABLE
2,Projection,TransitionPathwayTracking,0.8859,0.8667,0.8336,0.8616,0.8244,0.8314,0.1915,TRANSITION-STABLE
4,Projection,TransitionPathwayTracking,0.8294,0.8064,0.7793,0.7999,0.7527,0.7644,0.1829,TRANSITION-STABLE
6,Projection,TransitionPathwayTracking,0.7598,0.7216,0.7187,0.7204,0.7077,0.7046,0.1507,TRANSITION-BOUNDED
8,Projection,TransitionPathwayTracking,0.7229,0.687,0.6627,0.6808,0.6529,0.6749,0.1474,TRANSITION-BOUNDED
12,Projection,TransitionPathwayTracking,0.6227,0.5959,0.5653,0.5774,0.5731,0.5666,0.1328,TRANSITION-PARTIAL
16,Projection,TransitionPathwayTracking,0.5585,0.5313,0.5117,0.5288,0.5139,0.5039,0.13,TRANSITION-DEGRADING
20,Projection,TransitionPathwayTracking,0.4971,0.4735,0.4579,0.4678,0.4459,0.4557,0.1149,TRANSITION-DEGRADING
24,Projection,TransitionPathwayTracking,0.4578,0.4313,0.4242,0.4263,0.4041,0.4126,0.1055,TRANSITION-DEGRADING
32,Projection,TransitionPathwayTracking,0.3819,0.3571,0.3552,0.353,0.3521,0.3498,0.0794,TRANSITION-FAILED
40,Projection,TransitionPathwayTracking,0.3351,0.3199,0.3083,0.3129,0.3062,0.3129,0.0749,TRANSITION-FAILED
48,Projection,TransitionPathwayTracking,0.2878,0.2823,0.2732,0.2712,0.2598,0.2705,0.0624,TRANSITION-FAILED
64,Projection,TransitionPathwayTracking,0.2354,0.2246,0.2199,0.2187,0.213,0.2231,0.0468,TRANSITION-FAILED
80,Projection,TransitionPathwayTracking,0.1991,0.1931,0.1787,0.1859,0.1793,0.1874,0.0422,TRANSITION-FAILED
96,Projection,TransitionPathwayTracking,0.169,0.1633,0.1587,0.159,0.158,0.157,0.038,TRANSITION-FAILED
1,Projection,ClassBifurcationAnalysis,0.9338,0.8873,0.9047,0.9024,0.8638,0.8948,0.2033,TRANSITION-STABLE
2,Projection,ClassBifurcationAnalysis,0.8934,0.8719,0.8574,0.8513,0.8314,0.8527,0.2044,TRANSITION-STABLE
4,Projection,ClassBifurcationAnalysis,0.8138,0.7778,0.7833,0.7671,0.7766,0.7706,0.1999,TRANSITION-STABLE
6,Projection,ClassBifurcationAnalysis,0.7487,0.7156,0.7093,0.7149,0.7185,0.7068,0.1735,TRANSITION-BOUNDED
8,Projection,ClassBifurcationAnalysis,0.7164,0.6848,0.6734,0.653,0.662,0.6607,0.1707,TRANSITION-BOUNDED
12,Projection,ClassBifurcationAnalysis,0.6111,0.5774,0.5827,0.5722,0.5611,0.5651,0.1441,TRANSITION-PARTIAL
16,Projection,ClassBifurcationAnalysis,0.5435,0.5296,0.5117,0.5152,0.5024,0.4995,0.1178,TRANSITION-DEGRADING
20,Projection,ClassBifurcationAnalysis,0.4995,0.4617,0.4607,0.4618,0.4586,0.4653,0.1113,TRANSITION-DEGRADING
24,Projection,ClassBifurcationAnalysis,0.4527,0.4198,0.4172,0.4178,0.4077,0.4196,0.1009,TRANSITION-DEGRADING
32,Projection,ClassBifurcationAnalysis,0.3819,0.3668,0.3629,0.3592,0.3574,0.3508,0.0892,TRANSITION-FAILED
40,Projection,ClassBifurcationAnalysis,0.3226,0.3094,0.3072,0.3059,0.3104,0.3025,0.0704,TRANSITION-FAILED
48,Projection,ClassBifurcationAnalysis,0.2833,0.2783,0.2779,0.2673,0.264,0.2648,0.0644,TRANSITION-FAILED
64,Projection,ClassBifurcationAnalysis,0.2318,0.2183,0.2263,0.2215,0.2206,0.2132,0.0554,TRANSITION-FAILED
80,Projection,ClassBifurcationAnalysis,0.193,0.1887,0.1842,0.1872,0.1811,0.1797,0.0477,TRANSITION-FAILED
96,Projection,ClassBifurcationAnalysis,0.1663,0.1597,0.1592,0.1615,0.1543,0.1608,0.0379,TRANSITION-FAILED
1,Projection,MergeSplitDynamics,0.9454,0.9254,0.8692,0.8876,0.865,0.8701,0.2222,TRANSITION-STABLE
2,Projection,MergeSplitDynamics,0.9076,0.8762,0.8464,0.8831,0.8354,0.8286,0.183,TRANSITION-STABLE
4,Projection,MergeSplitDynamics,0.8241,0.7816,0.7607,0.7861,0.7586,0.7698,0.1957,TRANSITION-STABLE
6,Projection,MergeSplitDynamics,0.7758,0.7247,0.7211,0.7269,0.7101,0.7113,0.1679,TRANSITION-BOUNDED
8,Projection,MergeSplitDynamics,0.7098,0.6777,0.6504,0.6841,0.6415,0.6762,0.1657,TRANSITION-BOUNDED
12,Projection,MergeSplitDynamics,0.6343,0.5944,0.5837,0.5897,0.5616,0.5719,0.1456,TRANSITION-PARTIAL
16,Projection,MergeSplitDynamics,0.5531,0.5328,0.5006,0.5242,0.4983,0.524,0.1107,TRANSITION-DEGRADING
20,Projection,MergeSplitDynamics,0.4988,0.4789,0.4653,0.4828,0.4492,0.4576,0.1013,TRANSITION-DEGRADING
24,Projection,MergeSplitDynamics,0.4528,0.4304,0.424,0.4233,0.4037,0.4133,0.1036,TRANSITION-DEGRADING
