chain,domain_A,domain_B,domain_C,operator_A,operator_B,chain_identity_similarity,chain_cg_rate,chain_cg_retention,identity_preserved,cg_preserved
coupled_map_lattice→gray_scott→branching,coupled_map_lattice,gray_scott,branching,additive,multiplicative,0.9994,0.254,0.7257,1,0
coupled_map_lattice→gray_scott→cellular_automata,coupled_map_lattice,gray_scott,cellular_automata,additive,multiplicative,0.9974,0.1727,0.4933,1,0
coupled_map_lattice→gray_scott→graph_diffusion,coupled_map_lattice,gray_scott,graph_diffusion,additive,multiplicative,0.9961,0.1727,0.4933,1,0
coupled_map_lattice→gray_scott→kuramoto,coupled_map_lattice,gray_scott,kuramoto,additive,multiplicative,1.0,0.292,0.8156,1,1
coupled_map_lattice→gray_scott→lotka_volterra,coupled_map_lattice,gray_scott,lotka_volterra,additive,multiplicative,0.9977,0.1727,0.4933,1,0
coupled_map_lattice→gray_scott→nonlinear_oscillator,coupled_map_lattice,gray_scott,nonlinear_oscillator,additive,multiplicative,0.9987,0.346,0.6654,1,0
coupled_map_lattice→gray_scott→population,coupled_map_lattice,gray_scott,population,additive,multiplicative,0.9998,0.252,0.72,1,0
coupled_map_lattice→gray_scott→replicator,coupled_map_lattice,gray_scott,replicator,additive,multiplicative,0.9965,0.1727,0.4933,1,0
coupled_map_lattice→graph_diffusion→branching,coupled_map_lattice,graph_diffusion,branching,additive,multiplicative,0.9984,0.1373,0.5628,1,0
coupled_map_lattice→graph_diffusion→cellular_automata,coupled_map_lattice,graph_diffusion,cellular_automata,additive,multiplicative,0.9999,0.056,0.3333,1,0
coupled_map_lattice→graph_diffusion→gray_scott,coupled_map_lattice,graph_diffusion,gray_scott,additive,multiplicative,0.9956,0.1727,0.4933,1,0
coupled_map_lattice→graph_diffusion→kuramoto,coupled_map_lattice,graph_diffusion,kuramoto,additive,multiplicative,0.9974,0.1753,0.4898,1,0
coupled_map_lattice→graph_diffusion→lotka_volterra,coupled_map_lattice,graph_diffusion,lotka_volterra,additive,multiplicative,0.9999,0.056,0.3333,1,0
coupled_map_lattice→graph_diffusion→nonlinear_oscillator,coupled_map_lattice,graph_diffusion,nonlinear_oscillator,additive,multiplicative,0.9999,0.2293,0.441,1,0
coupled_map_lattice→graph_diffusion→population,coupled_map_lattice,graph_diffusion,population,additive,multiplicative,0.999,0.1353,0.5686,1,0
coupled_map_lattice→graph_diffusion→replicator,coupled_map_lattice,graph_diffusion,replicator,additive,multiplicative,0.9998,0.056,0.3333,1,0
graph_diffusion→gray_scott→branching,graph_diffusion,gray_scott,branching,additive,multiplicative,0.9994,0.198,0.5657,1,0
graph_diffusion→gray_scott→cellular_automata,graph_diffusion,gray_scott,cellular_automata,additive,multiplicative,0.9989,0.1167,0.3333,1,0
graph_diffusion→gray_scott→coupled_map_lattice,graph_diffusion,gray_scott,coupled_map_lattice,additive,multiplicative,0.9999,0.1727,0.4933,1,0
graph_diffusion→gray_scott→kuramoto,graph_diffusion,gray_scott,kuramoto,additive,multiplicative,0.9995,0.236,0.6592,1,0
graph_diffusion→gray_scott→lotka_volterra,graph_diffusion,gray_scott,lotka_volterra,additive,multiplicative,0.999,0.1167,0.3333,1,0
graph_diffusion→gray_scott→nonlinear_oscillator,graph_diffusion,gray_scott,nonlinear_oscillator,additive,multiplicative,0.9996,0.29,0.5577,1,0
graph_diffusion→gray_scott→population,graph_diffusion,gray_scott,population,additive,multiplicative,1.0,0.196,0.56,1,0
graph_diffusion→gray_scott→replicator,graph_diffusion,gray_scott,replicator,additive,multiplicative,0.9983,0.1167,0.3333,1,0
coupled_map_lattice→lotka_volterra→branching,coupled_map_lattice,lotka_volterra,branching,additive,branching,0.9991,0.1373,0.5628,1,0
coupled_map_lattice→lotka_volterra→cellular_automata,coupled_map_lattice,lotka_volterra,cellular_automata,additive,branching,0.9997,0.056,0.3333,1,0
coupled_map_lattice→lotka_volterra→graph_diffusion,coupled_map_lattice,lotka_volterra,graph_diffusion,additive,branching,0.9993,0.056,0.3333,1,0
coupled_map_lattice→lotka_volterra→gray_scott,coupled_map_lattice,lotka_volterra,gray_scott,additive,branching,0.9965,0.1727,0.4933,1,0
coupled_map_lattice→lotka_volterra→kuramoto,coupled_map_lattice,lotka_volterra,kuramoto,additive,branching,0.9982,0.1753,0.4898,1,0
coupled_map_lattice→lotka_volterra→nonlinear_oscillator,coupled_map_lattice,lotka_volterra,nonlinear_oscillator,additive,branching,1.0,0.2293,0.441,1,0
coupled_map_lattice→lotka_volterra→population,coupled_map_lattice,lotka_volterra,population,additive,branching,0.9994,0.1353,0.5686,1,0
coupled_map_lattice→lotka_volterra→replicator,coupled_map_lattice,lotka_volterra,replicator,additive,branching,0.9995,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→branching,coupled_map_lattice,cellular_automata,branching,additive,branching,0.9987,0.1373,0.5628,1,0
coupled_map_lattice→cellular_automata→graph_diffusion,coupled_map_lattice,cellular_automata,graph_diffusion,additive,branching,0.9995,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→gray_scott,coupled_map_lattice,cellular_automata,gray_scott,additive,branching,0.9963,0.1727,0.4933,1,0
coupled_map_lattice→cellular_automata→kuramoto,coupled_map_lattice,cellular_automata,kuramoto,additive,branching,0.998,0.1753,0.4898,1,0
coupled_map_lattice→cellular_automata→lotka_volterra,coupled_map_lattice,cellular_automata,lotka_volterra,additive,branching,0.9998,0.056,0.3333,1,0
coupled_map_lattice→cellular_automata→nonlinear_oscillator,coupled_map_lattice,cellular_automata,nonlinear_oscillator,additive,branching,1.0,0.2293,0.441,1,0
coupled_map_lattice→cellular_automata→population,coupled_map_lattice,cellular_automata,population,additive,branching,0.9994,0.1353,0.5686,1,0
coupled_map_lattice→cellular_automata→replicator,coupled_map_lattice,cellular_automata,replicator,additive,branching,0.9996,0.056,0.3333,1,0
graph_diffusion→lotka_volterra→branching,graph_diffusion,lotka_volterra,branching,additive,branching,0.9977,0.0813,0.3333,1,0
graph_diffusion→lotka_volterra→cellular_automata,graph_diffusion,lotka_volterra,cellular_automata,additive,branching,0.9999,0.0,0.0,1,0
graph_diffusion→lotka_volterra→coupled_map_lattice,graph_diffusion,lotka_volterra,coupled_map_lattice,additive,branching,0.9992,0.056,0.3333,1,0
graph_diffusion→lotka_volterra→gray_scott,graph_diffusion,lotka_volterra,gray_scott,additive,branching,0.994,0.1167,0.3333,1,0
graph_diffusion→lotka_volterra→kuramoto,graph_diffusion,lotka_volterra,kuramoto,additive,branching,0.9963,0.1193,0.3333,1,0
graph_diffusion→lotka_volterra→nonlinear_oscillator,graph_diffusion,lotka_volterra,nonlinear_oscillator,additive,branching,0.9997,0.1733,0.3333,1,0
graph_diffusion→lotka_volterra→population,graph_diffusion,lotka_volterra,population,additive,branching,0.9983,0.0793,0.3333,1,0
graph_diffusion→lotka_volterra→replicator,graph_diffusion,lotka_volterra,replicator,additive,branching,1.0,0.0,0.0,1,0
graph_diffusion→cellular_automata→branching,graph_diffusion,cellular_automata,branching,additive,branching,0.9973,0.0813,0.3333,1,0
graph_diffusion→cellular_automata→coupled_map_lattice,graph_diffusion,cellular_automata,coupled_map_lattice,additive,branching,0.999,0.056,0.3333,1,0
graph_diffusion→cellular_automata→gray_scott,graph_diffusion,cellular_automata,gray_scott,additive,branching,0.9937,0.1167,0.3333,1,0
graph_diffusion→cellular_automata→kuramoto,graph_diffusion,cellular_automata,kuramoto,additive,branching,0.996,0.1193,0.3333,1,0
graph_diffusion→cellular_automata→lotka_volterra,graph_diffusion,cellular_automata,lotka_volterra,additive,branching,0.9998,0.0,0.0,1,0
graph_diffusion→cellular_automata→nonlinear_oscillator,graph_diffusion,cellular_automata,nonlinear_oscillator,additive,branching,0.9996,0.1733,0.3333,1,0
graph_diffusion→cellular_automata→population,graph_diffusion,cellular_automata,population,additive,branching,0.9982,0.0793,0.3333,1,0
graph_diffusion→cellular_automata→replicator,graph_diffusion,cellular_automata,replicator,additive,branching,1.0,0.0,0.0,1,0
coupled_map_lattice→graph_diffusion→branching,coupled_map_lattice,graph_diffusion,branching,additive,synchronization,0.9984,0.1373,0.5628,1,0
coupled_map_lattice→graph_diffusion→cellular_automata,coupled_map_lattice,graph_diffusion,cellular_automata,additive,synchronization,0.9999,0.056,0.3333,1,0
coupled_map_lattice→graph_diffusion→gray_scott,coupled_map_lattice,graph_diffusion,gray_scott,additive,synchronization,0.9956,0.1727,0.4933,1,0
coupled_map_lattice→graph_diffusion→kuramoto,coupled_map_lattice,graph_diffusion,kuramoto,additive,synchronization,0.9974,0.1753,0.4898,1,0
coupled_map_lattice→graph_diffusion→lotka_volterra,coupled_map_lattice,graph_diffusion,lotka_volterra,additive,synchronization,0.9999,0.056,0.3333,1,0
coupled_map_lattice→graph_diffusion→nonlinear_oscillator,coupled_map_lattice,graph_diffusion,nonlinear_oscillator,additive,synchronization,0.9999,0.2293,0.441,1,0
coupled_map_lattice→graph_diffusion→population,coupled_map_lattice,graph_diffusion,population,additive,synchronization,0.999,0.1353,0.5686,1,0
coupled_map_lattice→graph_diffusion→replicator,coupled_map_lattice,graph_diffusion,replicator,additive,synchronization,0.9998,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→branching,graph_diffusion,coupled_map_lattice,branching,additive,synchronization,0.9984,0.1373,0.5628,1,0
graph_diffusion→coupled_map_lattice→cellular_automata,graph_diffusion,coupled_map_lattice,cellular_automata,additive,synchronization,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→gray_scott,graph_diffusion,coupled_map_lattice,gray_scott,additive,synchronization,0.9956,0.1727,0.4933,1,0
graph_diffusion→coupled_map_lattice→kuramoto,graph_diffusion,coupled_map_lattice,kuramoto,additive,synchronization,0.9974,0.1753,0.4898,1,0
graph_diffusion→coupled_map_lattice→lotka_volterra,graph_diffusion,coupled_map_lattice,lotka_volterra,additive,synchronization,0.9999,0.056,0.3333,1,0
graph_diffusion→coupled_map_lattice→nonlinear_oscillator,graph_diffusion,coupled_map_lattice,nonlinear_oscillator,additive,synchronization,0.9999,0.2293,0.441,1,0
graph_diffusion→coupled_map_lattice→population,graph_diffusion,coupled_map_lattice,population,additive,synchronization,0.999,0.1353,0.5686,1,0
graph_diffusion→coupled_map_lattice→replicator,graph_diffusion,coupled_map_lattice,replicator,additive,synchronization,0.9998,0.056,0.3333,1,0
coupled_map_lattice→gray_scott→branching,coupled_map_lattice,gray_scott,branching,additive,recursive_feedback,0.9994,0.254,0.7257,1,0
coupled_map_lattice→gray_scott→cellular_automata,coupled_map_lattice,gray_scott,cellular_automata,additive,recursive_feedback,0.9974,0.1727,0.4933,1,0
coupled_map_lattice→gray_scott→graph_diffusion,coupled_map_lattice,gray_scott,graph_diffusion,additive,recursive_feedback,0.9961,0.1727,0.4933,1,0
coupled_map_lattice→gray_scott→kuramoto,coupled_map_lattice,gray_scott,kuramoto,additive,recursive_feedback,1.0,0.292,0.8156,1,1
coupled_map_lattice→gray_scott→lotka_volterra,coupled_map_lattice,gray_scott,lotka_volterra,additive,recursive_feedback,0.9977,0.1727,0.4933,1,0
coupled_map_lattice→gray_scott→nonlinear_oscillator,coupled_map_lattice,gray_scott,nonlinear_oscillator,additive,recursive_feedback,0.9987,0.346,0.6654,1,0
coupled_map_lattice→gray_scott→population,coupled_map_lattice,gray_scott,population,additive,recursive_feedback,0.9998,0.252,0.72,1,0
coupled_map_lattice→gray_scott→replicator,coupled_map_lattice,gray_scott,replicator,additive,recursive_feedback,0.9965,0.1727,0.4933,1,0
coupled_map_lattice→kuramoto→branching,coupled_map_lattice,kuramoto,branching,additive,recursive_feedback,0.9996,0.2567,0.7169,1,0
coupled_map_lattice→kuramoto→cellular_automata,coupled_map_lattice,kuramoto,cellular_automata,additive,recursive_feedback,0.9982,0.1753,0.4898,1,0
coupled_map_lattice→kuramoto→graph_diffusion,coupled_map_lattice,kuramoto,graph_diffusion,additive,recursive_feedback,0.9971,0.1753,0.4898,1,0
coupled_map_lattice→kuramoto→gray_scott,coupled_map_lattice,kuramoto,gray_scott,additive,recursive_feedback,0.9992,0.292,0.8156,1,1
coupled_map_lattice→kuramoto→lotka_volterra,coupled_map_lattice,kuramoto,lotka_volterra,additive,recursive_feedback,0.9985,0.1753,0.4898,1,0
coupled_map_lattice→kuramoto→nonlinear_oscillator,coupled_map_lattice,kuramoto,nonlinear_oscillator,additive,recursive_feedback,0.9993,0.3487,0.6705,1,0
coupled_map_lattice→kuramoto→population,coupled_map_lattice,kuramoto,population,additive,recursive_feedback,1.0,0.2547,0.7114,1,0
coupled_map_lattice→kuramoto→replicator,coupled_map_lattice,kuramoto,replicator,additive,recursive_feedback,0.9975,0.1753,0.4898,1,0
