domain,sys_idx,process_regime,dominant_operator,operator_continuity,operator_rupture,operator_curvature,transition_smoothness,recursive_closure,operator_reversibility,compositional_stability,operator_neighborhood_entropy
cellular_automata,0,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0667,0.0667,0.001801,0.0
cellular_automata,1,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0695,0.0695,0.000769,0.0
cellular_automata,2,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,3.9e-05,0.0
cellular_automata,3,CL,op_diffusion,1.0,0.0,0.0,1.0,0.25,0.25,0.002259,0.0
cellular_automata,4,RG,op_diffusion,1.0,0.0,0.007527,1.0,0.0199,0.0199,0.000214,0.0
cellular_automata,5,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.000105,0.0
cellular_automata,6,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5.5e-05,0.0
cellular_automata,7,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0053,0.0053,9.9e-05,0.0
cellular_automata,8,CL,op_diffusion,1.0,0.0,0.0,1.0,0.202,0.202,0.004403,0.0
cellular_automata,9,RG,op_diffusion,1.0,0.0,0.007527,1.0,0.0199,0.0199,0.000212,0.0
cellular_automata,10,CL,op_diffusion,1.0,0.0,0.0,1.0,0.4737,0.4737,0.018471,0.0
cellular_automata,11,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cellular_automata,12,RG,op_diffusion,0.3,0.7,0.033057,0.9999,0.0618,0.0618,0.000526,0.8813
cellular_automata,13,CL,op_diffusion,1.0,0.0,0.0,1.0,0.3636,0.3636,0.002332,0.0
cellular_automata,14,CL,op_diffusion,0.9,0.1,0.014167,1.0,0.0,0.0,1.2e-05,0.469
cellular_automata,15,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0106,0.0106,0.000244,0.0
cellular_automata,16,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0099,0.0099,0.000144,0.0
cellular_automata,17,CL,op_diffusion,1.0,0.0,0.0,1.0,0.013,0.013,0.001242,0.0
cellular_automata,18,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,5.7e-05,0.0
cellular_automata,19,RG,op_diffusion,0.8667,0.1333,0.01819,1.0,0.0464,0.0464,0.000374,0.5665
cellular_automata,20,CL,op_diffusion,1.0,0.0,0.0,1.0,0.0,0.0,9.1e-05,0.0
