null_iteration,n1_operator_rupture_cg,n1_operator_curvature_cg,n1_recursive_closure_cg,n1_operator_entropy_cg,n2_cg_preserved_rate,n3_random_labels_rupture_cg
0,0.07982456140350877,0.008422312161641408,0.4882371040050352,0.15168061030082236,0.08280254777070063,0.07982456140350877
1,0.09457364341085271,0.009925824085828623,0.4351846810480832,0.20563588291658247,0.08280254777070063,0.09457364341085271
2,0.1376344086021505,0.012781506452163976,0.5762944435035482,0.2832608507224573,0.08280254777070063,0.1376344086021505
3,0.06333333333333332,0.01055238753350627,0.5209159760029869,0.13920427705546773,0.08280254777070063,0.044444444444444446
4,0.1261904761904762,0.01852540522180483,0.44484329141981405,0.30343009323312337,0.08280254777070063,0.1261904761904762
5,0.07207207207207209,0.008137182051071397,0.49273952858840014,0.1447518558797867,0.08280254777070063,0.07207207207207209
6,0.04313725490196079,0.00801983807387304,0.4526120025016153,0.11953384942187736,0.08280254777070063,0.041176470588235294
7,0.10360360360360361,0.012804222816877459,0.5736178321565144,0.2822699512097349,0.08280254777070063,0.10630630630630633
8,0.05945945945945945,0.008174447855710771,0.4556203083179058,0.18911583744330793,0.08280254777070063,0.05945945945945945
9,0.03798449612403101,0.004483219449605891,0.5068075797612558,0.0868271279298244,0.08280254777070063,0.028682170542635662
10,0.10694444444444444,0.017852693732920106,0.5238611822468151,0.2583068879498936,0.08280254777070063,0.03194444444444444
11,0.07555555555555554,0.010520996437408137,0.47006854531439307,0.16817003602061956,0.08280254777070063,0.07925925925925924
12,0.05083333333333333,0.0068236083207838015,0.509285832971515,0.16498524647274257,0.08280254777070063,0.05083333333333333
13,0.07105263157894737,0.00523353543698749,0.4949373254115629,0.1693339178085526,0.08280254777070063,0.019298245614035085
14,0.08045977011494251,0.01317866878666119,0.46807878602173386,0.1698876996636421,0.08280254777070063,0.020689655172413793
15,0.005263157894736841,0.009624454110125781,0.5016499929043619,0.027189400761295647,0.08280254777070063,0.06491228070175438
16,0.14684684684684682,0.007304089851995408,0.5582217430654929,0.2640450731519761,0.08280254777070063,0.14684684684684682
17,0.06260162601626017,0.00982193431105175,0.5165106141869197,0.18276779647109268,0.08280254777070063,0.06260162601626017
18,0.06571428571428571,0.010941408692464573,0.49713707573150906,0.19486198960391174,0.08280254777070063,0.06571428571428571
19,0.09000000000000001,0.013699780530718214,0.4911836747351929,0.22817799693355592,0.08280254777070063,0.07333333333333332
20,0.125,0.01219151445686863,0.5130239906166034,0.20931608078347858,0.08280254777070063,0.125
21,0.042105263157894736,0.005749215942280221,0.41404662335147413,0.11609885406701581,0.08280254777070063,0.042105263157894736
22,0.0625,0.00680478117138166,0.4354907897863523,0.09610080582407032,0.08280254777070063,0.09270833333333334
23,0.08730158730158731,0.013229135042986784,0.5024441906624169,0.20200840152839214,0.08280254777070063,0.04365079365079365
24,0.08108108108108109,0.0031752999210674245,0.5682701213795223,0.13393254269010085,0.08280254777070063,0.08018018018018018
25,0.073015873015873,0.007839534564639478,0.43912833313195554,0.21971488147714063,0.08280254777070063,0.09365079365079364
26,0.06785714285714285,0.011279858850267896,0.5469155932561612,0.18080491558457235,0.08280254777070063,0.06190476190476191
27,0.07676767676767676,0.010707338896736932,0.4368578180095855,0.18059489576391768,0.08280254777070063,0.07676767676767676
28,0.08235294117647059,0.008464039250246714,0.4374328282399511,0.15937848748871403,0.08280254777070063,0.08235294117647059
29,0.12023809523809524,0.009220693150773394,0.47582446160777625,0.24003391040728433,0.08280254777070063,0.13452380952380955
