ensemble_size,mean_continuity_alignment,mean_recursive_synchronization,mean_mutual_closure,mean_interaction_stability,mean_co_stabilization,mean_shared_closure,mean_manifold_convergence,mean_signal_transfer,collective_closure,distributed_continuity,network_stabilization,ensemble_reconstruction,distributed_identity
3,0.9317366138276305,0.7873333333333333,0.6200847033333333,0.9008405051775431,0.8312567430348855,0.48164462114666656,0.38509085836164525,0.8312567430348855,0.3792148650494755,0.8393460818928961,0.32010937269420964,0.6909877728409657,0.17281565656157694
4,0.9445928119874037,0.682125,0.6305973337499999,0.8918534821997877,0.8134783550061574,0.42784529078612493,0.3267811018369232,0.8134783550061574,0.29184396897748544,0.8424383886318554,0.2658293531693999,0.6617470340635239,0.13206517931331768
3,0.9687038797617552,0.7571333333333333,0.42678793666666665,0.9135461314192556,0.8014592573543031,0.3244042800883333,0.24218371503309996,0.8014592573543031,0.24561729393088005,0.8849556818471751,0.19410038039373448,0.642336941198911,0.07610664046402121
3,0.9392160778433727,0.778,0.5591533066666666,0.933315008374502,0.8291899871986956,0.4255484465386666,0.3352785643281319,0.8291899871986956,0.3310766914070826,0.8765844615578543,0.27800962846324073,0.687556034870573,0.13400478800016724
3,0.970216975679898,0.8579333333333334,0.4774448233333333,0.9012770915056242,0.82852385148899,0.388966266734,0.310706595371251,0.82852385148899,0.33370712577332307,0.8744343339701613,0.25742782508002005,0.68645177248615,0.11725497537988636
4,0.9612683804565864,0.7954,0.60095409,0.9410418234056968,0.8499638791586849,0.486114114569,0.4111481351099444,0.8499638791586849,0.3866551667281826,0.904593749527107,0.34946106382690745,0.7224385958744795,0.19212381993734096
4,0.9161203743215465,0.7232500000000001,0.4991517,0.911885433596092,0.7928820823752916,0.337457492094,0.24443060461437294,0.7928820823752916,0.24406613115698553,0.8353968247644175,0.19380464678289558,0.6286619965517787,0.0755661330315035
3,0.8967498474452537,0.8675,0.5645529516666666,0.8967498474452537,0.8244604988004856,0.4798497328201666,0.3877917060722953,0.8244604988004856,0.4162696432214945,0.8041602888930857,0.3197189434190559,0.6797351140823454,0.16686877782986392
3,0.9408249858948329,0.8221333333333334,0.6908620666666666,0.9085451514178015,0.8574101211937902,0.5770657147713334,0.48646089442118035,0.8574101211937902,0.47442495963733894,0.8547819792674719,0.4170964944417038,0.7351521159255501,0.2641082994836034
4,0.9566402759231006,0.7757499999999999,0.67577965,0.8604357505276643,0.8354287379352294,0.5290269465474999,0.4375555752231168,0.8354287379352294,0.410392653784223,0.823127493798885,0.3655465019851718,0.6979411761680503,0.22144183778115223
