external_continuity_prediction,reciprocal_reconstruction,mutual_anticipation,co_adaptive_continuity,recursive_predictive_coupling,mutual_modeling_composite,external_continuity_prediction_norm,reciprocal_reconstruction_norm,mutual_anticipation_norm,co_adaptive_continuity_norm,recursive_predictive_coupling_norm,sys_idx_a,domain_a,sys_idx_b,domain_b,process_regime_a,process_regime_b,observer_level_a,observer_level_b,co_stabilization_probability,continuity_alignment
0.6330376060804621,0.9976952026484824,0.34648677835200004,1.0595615999999999,0.34648677835200004,0.4070310921088131,0.5428769035798181,0.9970111819902904,0.20083329726429258,0.09360078044537183,0.2008332972642926,244,coupled_map_lattice,136,kuramoto,CG,CG,3,3,0.8539427735890894,0.9976952026484824
0.5004028039813043,0.6754993446284038,0.4915356249999999,0.82452259,0.4915356249999999,0.3538838283057896,0.37735848668734334,0.5628067005399014,0.3782102877423802,0.07283337881694275,0.3782102877423802,481,branching,74,population,CG,CG,3,3,0.7135210109027539,0.7110519417141092
0.6598666850360924,0.9787402625869066,0.38240246399999994,0.83531378,0.38240246399999994,0.4222237517980621,0.5763576085315942,0.9714667197773501,0.24475378597151604,0.07378685873833404,0.24475378597151606,51,gray_scott,26,gray_scott,CG,CG,3,3,0.8495744135521439,0.9787402625869066
0.8211661521552072,0.9678427157230327,0.53926114924,0.09565506,0.5392611492400001,0.5232012626151218,0.7776474059348144,0.9567807343205949,0.4365727639309971,0.008432644958205502,0.4365727639309972,37,coupled_map_lattice,334,kuramoto,CG,CG,3,3,0.8802462704338196,0.9678427157230327
0.62215613244979,0.9654063658154861,0.41075948151,0.20659182,0.41075948151,0.4119783295058812,0.5292976298122923,0.95349740828798,0.27943094846605565,0.018234712497022344,0.27943094846605565,399,gray_scott,47,gray_scott,CG,CG,3,3,0.8601329204892916,0.9654063658154861
0.7622236601500029,0.9572066559713712,0.35245890124000007,0.06108462,0.35245890124,0.4136379438470872,0.704091538168637,0.9424471397252921,0.2081364727746051,0.0053780957922967875,0.20813647277460506,246,gray_scott,320,branching,CG,CG,3,3,0.8282482995828229,0.9572066559713712
0.6439770838422217,0.6791537660856314,0.22963264000000005,0.0664202,0.22963264000000005,0.2491959230771633,0.5565285622101316,0.5677315502371865,0.057934984973067996,0.005849532992362487,0.05793498497306803,73,gray_scott,97,gray_scott,CG,CG,3,3,0.6837623807817015,0.8707099565200402
0.8388237209742978,0.6217243124208537,0.99600495808,1.2740949999999998,0.99600495808,0.678561090549296,0.7996827450075928,0.4903372401373342,0.995114552464793,0.11255636267196659,0.995114552464793,264,gray_scott,136,population,CG,CG,3,3,0.8377682346536294,0.8401679897579104
0.6117634261259944,0.9651548885793081,0.31062580999200007,0.59763088,0.310625809992,0.36724642021571247,0.516328301470723,0.953158507150013,0.15697972110478556,0.05278585024825511,0.15697972110478553,28,kuramoto,469,coupled_map_lattice,CG,CG,3,3,0.8203858381475848,0.9651548885793081
0.6769497226332721,0.950853845751192,0.32909716777600007,0.70032226,0.329097167776,0.390511409245088,0.5976759751597281,0.9338858295819639,0.1795679314179704,0.0618593786478073,0.17956793141797037,90,gray_scott,355,kuramoto,CG,CG,3,3,0.8194175116083756,0.9702590262767266
0.5098958452091887,0.7430717650964569,0.35489782359,0.18074178,0.35489782359,0.2962527638000736,0.3892050995722462,0.6538700927572223,0.21111897636873966,0.015950673933419826,0.2111189763687397,352,branching,162,kuramoto,CG,CG,3,3,0.6974774050578741,0.7430717650964569
