system,stability,neighbor_mean,neighbor_gradient,local_diffusion
EnergyMomentumConservation,1.036115,0.9803176666666666,0.055797333333333254,0.16618633333333335
ChemicalEquilibriumNetwork,1.068225,1.2431633333333332,0.1749383333333332,0.18564166666666668
SuperconductorCoherence,1.111627,1.196513857142857,0.08488685714285715,0.17457942857142858
DoubleSlitInterference,1.068225,1.2431633333333332,0.1749383333333332,0.18564166666666668
TurbulenceEnergyCascade,1.111627,1.196513857142857,0.08488685714285715,0.17457942857142858
reaction_diffusion,0.344045,0.3169046,0.02714040000000001,0.392376
synchronized_oscillators,0.80142,0.6882944285714286,0.11312557142857138,0.20697985714285716
recursive_market,0.293974,0.4844836666666667,0.1905096666666667,0.47289999999999993
predator_prey_cycles,0.370164,0.4511803333333333,0.0810163333333333,0.41419999999999996
neural_cascade,0.192496,0.3472144,0.15471839999999998,0.45299560000000005
avalanche_redistribution,-0.553197,0.33293799999999996,0.886135,0.8861350000000001
percolation_transport,0.586377,0.7700456,0.18366859999999996,0.23554579999999997
CrystallizationFromLiquid,0.960019,0.9840604166666668,0.024041416666666815,0.21043691666666664
LaserOpticalCoherence,0.9978,0.9882927272727272,0.009507272727272809,0.009507272727272737
FerromagneticMagnetization,0.9978,0.9772346666666666,0.020565333333333435,0.020565333333333338
ElectronTransportMesoscopic,0.9978,0.966952,0.030847999999999987,0.030848000000000004
LimitCycleOscillations,0.9978,0.9882927272727272,0.009507272727272809,0.009507272727272737
HeatTransportPhononic,0.960019,0.8451247777777778,0.11489422222222212,0.1336331111111111
StrangeAttractorLorenz,0.968782,0.8870804285714285,0.08170157142857148,0.09828328571428575
AndersonLocalization,0.9978,0.9978,0.0,0.0
PhaseEquilibriumMulticomponent,0.9978,0.9978,0.0,0.0
PhotonicBandgapLocalization,0.812712,0.847896,0.03518399999999999,0.14722933333333332
CriticalPhenomenaScaling,0.9978,0.9978,0.0,0.0
ChargeConservationEM,0.9978,0.9978,0.0,0.0
StandingWavePatterns,0.9978,0.9978,0.0,0.0
random_walk,0.456684,0.5448042000000001,0.08812020000000009,0.1878122
static_equilibrium,1.979348,1.0639446,0.9154034000000002,0.9154034000000001
memoryless_diffusion,0.464011,0.37954483333333333,0.08446616666666668,0.38509683333333333
white_noise,0.672086,0.6169100000000001,0.05517599999999989,0.2520318461538461
disconnected_flow,1.152038,0.9482988333333333,0.20373916666666658,0.2037391666666666
monotonic_decay,0.809127,0.6297937777777778,0.17933322222222225,0.2826718888888889
