persistence_type,assumption,all_mean,none_mean,delta,emerged,ci_low,ci_high,reliable
sp,OC2,0.792,0.925,-0.134,False,-0.392,0.071,False
sp,OC1,0.71,0.491,0.219,True,0.127,0.305,True
sp,CD1,0.61,0.43,0.18,False,0.03,0.304,True
sp,IC1,0.866,0.752,0.114,False,-0.118,0.306,False
sp,IS1,0.579,0.97,-0.39,False,-0.528,-0.227,False
sp,IS2,0.5,0.5,0.0,False,0.0,0.0,False
sp,CD2,0.671,0.694,-0.024,False,-0.132,0.084,False
sp,EC1,0.63,0.627,0.003,False,-0.052,0.078,False
sp,SR1,0.67,0.646,0.024,False,-0.025,0.083,False
si,OC2,0.74,0.93,-0.19,False,,,
si,OC1,0.725,0.5,0.225,True,,,
si,CD1,0.685,0.423,0.262,True,,,
si,IC1,0.832,0.766,0.066,False,,,
si,IS1,0.494,0.967,-0.474,False,,,
si,IS2,0.5,0.5,0.0,False,,,
si,CD2,0.678,0.692,-0.014,False,,,
si,EC1,0.645,0.624,0.022,False,,,
si,SR1,0.678,0.646,0.033,False,,,
sb,OC2,1.0,0.885,0.115,False,,,
sb,OC1,0.725,0.522,0.202,True,,,
sb,CD1,0.568,0.461,0.107,False,,,
sb,IC1,0.678,0.788,-0.11,False,,,
sb,IS1,0.679,0.901,-0.222,False,,,
sb,IS2,0.5,0.5,0.0,False,,,
sb,CD2,0.649,0.693,-0.044,False,,,
sb,EC1,0.581,0.632,-0.051,False,,,
sb,SR1,0.615,0.655,-0.041,False,,,
ta,OC2,0.826,0.921,-0.094,False,-0.337,0.099,False
ta,OC1,0.683,0.488,0.196,False,0.089,0.299,True
ta,CD1,0.618,0.415,0.202,True,0.103,0.289,True
ta,IC1,0.838,0.755,0.083,False,-0.107,0.263,False
ta,IS1,0.641,0.971,-0.33,False,-0.493,-0.162,False
ta,IS2,0.5,0.5,0.0,False,0.0,0.0,False
ta,CD2,0.713,0.68,0.033,False,-0.079,0.126,False
ta,EC1,0.617,0.631,-0.014,False,-0.069,0.048,False
ta,SR1,0.662,0.648,0.014,False,-0.03,0.06,False
cq,OC2,0.885,1.0,-0.115,False,,,
cq,OC1,0.54,0.55,-0.01,False,,,
cq,CD1,0.473,0.445,0.028,False,,,
cq,IC1,0.773,0.826,-0.053,False,,,
cq,IS1,0.871,0.987,-0.117,False,,,
cq,IS2,0.5,0.5,0.0,False,,,
cq,CD2,0.684,0.736,-0.051,False,,,
cq,EC1,0.63,0.597,0.034,False,,,
cq,SR1,0.654,0.63,0.024,False,,,
fm,OC2,0.85,0.974,-0.124,False,-0.247,-0.023,False
fm,OC1,0.618,0.406,0.212,True,0.116,0.308,True
fm,CD1,0.466,0.478,-0.012,False,-0.116,0.092,False
fm,IC1,0.842,0.666,0.176,False,0.0,0.35,True
fm,IS1,0.826,0.978,-0.152,False,-0.273,-0.038,False
fm,IS2,0.5,0.5,0.0,False,0.0,0.0,False
fm,CD2,0.666,0.73,-0.064,False,-0.13,0.008,False
fm,EC1,0.635,0.613,0.022,False,-0.03,0.072,False
fm,SR1,0.659,0.638,0.021,False,-0.018,0.054,False
