domain,name,viable,fertile,C,P,G,R,S,SR,NP,RC,RD,OE,note
A — Physical universes,Our universe,True,True,0.85,0.85,0.9,0.6,0.8,0.9,0.85,0.9,0.8,0.8,"Produces galaxies, stars, planets, life, consciousness. Open-ended cosmic evolution."
A — Physical universes,Cyclic universe (bounce),True,True,0.75,0.85,0.8,0.7,0.65,0.8,0.75,0.85,0.7,0.7,Rich structure each cycle. Information may survive bounces. Highly generative.
A — Physical universes,Empty universe (Ω<<1),False,False,0.8,0.95,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.0,"Expands forever, no structure forms. Merely persists but produces nothing."
A — Physical universes,Collapsing universe (Ω>>1),False,False,0.75,0.15,0.3,0.0,0.1,0.3,0.25,0.2,0.1,0.05,Recollapses before structure matures. Brief window of limited generativity.
A — Physical universes,Thermal equilibrium universe,False,False,0.5,0.9,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,"Maximum entropy, no energy gradients. Perfectly sterile, perfectly persistent."
A — Physical universes,High-dark-energy universe,False,False,0.8,0.6,0.15,0.1,0.05,0.15,0.1,0.1,0.05,0.05,Dark energy dominates before structure can form. Dilutes everything rapidly.
A — Physical universes,Strong-coupling universe,False,False,0.4,0.3,0.5,0.1,0.15,0.5,0.45,0.4,0.2,0.15,"Forces too strong; matter clumps too rapidly, burns through fuel. Some structure but collapses."
A — Physical universes,Hypothetical super-fertile universe,True,True,0.8,0.8,0.95,0.55,0.9,0.95,0.95,0.95,0.9,0.95,Imagined universe with even richer phase space. Multiple force-balance sweet spots.
B — Mathematical systems,ZFC set theory,True,True,0.8,0.9,0.9,0.7,0.7,0.9,0.9,0.85,0.8,0.9,Virtually all mathematics encoded. Rich combinatorial and structural generativity.
B — Mathematical systems,Peano arithmetic (PA),True,True,0.85,0.9,0.8,0.75,0.5,0.7,0.75,0.6,0.4,0.8,Infinite theorems via induction. Limited self-reference but open-ended generativity.
B — Mathematical systems,First-order logic (FOL),True,False,1.0,0.95,0.4,0.9,0.1,0.3,0.3,0.2,0.1,0.3,"Perfectly coherent, perfectly sterile. Decidable fragments have limited structure."
B — Mathematical systems,Category theory (ETCS),True,True,0.8,0.85,0.85,0.7,0.8,0.85,0.85,0.9,0.9,0.85,"Higher-dimensional categorical closure. Functor categories, n-categories enable deep recursion."
B — Mathematical systems,Computation (Turing/λ-calculus),True,True,0.85,0.9,0.8,0.65,0.85,0.8,0.8,0.85,0.95,0.85,UTM self-simulation. Fixed-point combinators. Deep recursive capacity.
B — Mathematical systems,Inconsistent system (naive comprehension),False,False,0.05,0.1,0.95,0.0,0.1,0.9,0.95,0.8,0.6,0.9,Maximum apparent generativity — but every statement is provable. Spurious fertility = triviality.
B — Mathematical systems,Presburger arithmetic (no multiplication),True,False,1.0,0.95,0.25,0.95,0.05,0.15,0.15,0.1,0.05,0.15,"Decidable, complete, consistent. No multiplication means almost no interesting structures."
B — Mathematical systems,Decidable fragment of FOL,True,False,1.0,0.95,0.15,0.95,0.05,0.1,0.1,0.05,0.0,0.1,Both conjunctively and disjunctively decidable. No interesting structure at all.
