from,to
identity,distinction
comparison,distinction
comparison,relation
comparison,identity
similarity,distinction
similarity,relation
similarity,identity
distance,distinction
distance,relation
distance,identity
metric,distinction
metric,relation
metric,identity
clustering,distinction
clustering,relation
clustering,identity
classification,distinction
classification,identity
topology,relation
neighborhood,relation
persistence_criteria,distinction
persistence_criteria,observer
closure_criteria,distinction
closure_criteria,relation
closure_criteria,observer
selfref_criteria,distinction
selfref_criteria,relation
selfref_criteria,observer
measurement,distinction
measurement,observer
difference,distinction
difference,identity
change,distinction
change,identity
relation,distinction
