,branching,ca,gbm,henon,ising,kuramoto,logistic,lorenz,lotka,markov,rbn,reaction,sandpile
branching,12,0,2,0,1,0,0,0,0,0,0,0,0
ca,0,3,2,0,2,0,1,0,0,1,0,0,1
gbm,0,0,14,0,0,0,0,0,0,1,0,0,0
henon,0,0,0,11,2,0,1,0,0,0,0,0,1
ising,4,1,1,1,16,1,0,0,0,0,1,0,0
kuramoto,2,0,0,0,0,15,0,0,0,0,0,3,0
logistic,2,2,0,1,0,1,17,0,1,1,0,0,0
lorenz,0,0,1,0,0,2,0,21,1,0,0,0,0
lotka,0,0,0,0,0,1,0,0,13,0,0,1,0
markov,0,0,1,0,0,0,1,0,0,13,0,0,0
rbn,0,0,0,0,2,0,0,0,0,0,4,0,0
reaction,0,0,0,0,0,3,0,0,0,0,0,17,0
sandpile,0,1,0,2,0,0,0,0,0,0,0,0,2
