universe_id,universe_class,trajectory_length,n_trajectories,dist_score,dist_persistence,dist_persistence_val,dist_separability,dist_separability_val,dist_reproducibility,dist_reproducibility_val,dist_stability,dist_stability_val,distinction_emerged,relation_emerged,relation_score,proto_math_emerged,proto_math_score,proto_geometry_emerged,proto_geometry_score,stability_score,novelty_score
0,recursive_transform,51,3,0.7000059259259259,False,1.9753086419753087e-05,False,1.0,True,1.0,True,1.0,False,True,3.738623531718077,False,0.0,True,0.7535334272998349,1.0,0.003933954770646056
1,self_application,51,3,0.7000118518518519,False,3.950617283950617e-05,False,1.0,True,1.0,True,1.0,False,True,3.3393148178773733,False,0.0,True,0.6823799044690018,1.0,0.002959073059625018
2,operator_composition,51,3,0.7,False,0.0,False,1.0,True,1.0,True,1.0,False,False,1.7145247087023423,False,0.0,True,0.8937564669748319,1.0,4.70008460577377e-06
3,nonlinear_continuous,51,3,1.9000948148148147,False,0.0003160493827160494,True,5.0,True,1.0,True,1.0,False,True,0.31290200222213194,False,0.0,False,0.08125087564278366,1.0,0.05022734881306986
4,recursive_rewrite,51,3,0.7,False,0.0,False,1.0,True,1.0,True,1.0,False,False,1.1225035096845397,False,0.0,True,0.7552992703446922,1.0,0.0006252651253171264
5,stochastic_recursive,51,3,0.7000059259259259,False,1.9753086419753087e-05,False,1.0,True,1.0,True,1.0,False,True,0.4083663679877442,False,0.0,True,0.1575643707630594,1.0,0.0375542379767969
6,recursive_transform,51,3,0.7000059259259259,False,1.9753086419753087e-05,False,1.0,True,1.0,True,1.0,False,True,4.76604473727945,False,0.0,True,0.7949941805573132,1.0,0.00042443576844869094
7,self_application,51,3,0.7000237037037036,False,7.901234567901235e-05,False,1.0,True,1.0,True,1.0,False,True,3.0076381046502276,False,0.0,True,0.684040461959553,1.0,0.008795680407851041
8,operator_composition,51,3,0.7,False,0.0,False,1.0,True,1.0,True,1.0,False,False,1.9690690687967491,False,0.0,True,0.9333969841798788,1.0,2.3722508408135816e-11
9,nonlinear_continuous,51,3,1.9000948148148147,False,0.0003160493827160494,True,5.0,True,1.0,True,1.0,False,True,0.3726316223037207,False,0.0,False,0.04368521333059494,1.0,0.08575368824847597
10,recursive_rewrite,51,3,0.7000118518518519,False,3.950617283950617e-05,False,1.0,True,1.0,True,1.0,False,False,1.1225228060632366,False,0.0,True,0.7605076574354787,1.0,0.0024864199839689546
11,stochastic_recursive,51,3,0.7000948148148147,False,0.0003160493827160494,False,1.0,True,1.0,True,1.0,False,True,0.4665134941005483,False,0.0,True,0.1624928583484022,1.0,0.01200264837212185
