,D01_possibility_reduction,D02_trajectory_convergence,D03_trajectory_divergence,D04_recurrence,D05_persistence,D06_invariant_transitions,D07_forbidden_transitions,D08_neighborhood_stability,D09_compression,D10_symmetry,D11_symmetry_breaking,D12_closure,D13_composition,D14_hierarchy,D15_self_reference,D16_scale_invariance,D17_repeatability,D18_separability,D19_boundary_formation,D20_distance_structure
D01_possibility_reduction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D02_trajectory_convergence,0.0,0.0,0.5,0.09415232823968235,0.09303967245517436,0.9846105527638191,0.9973734479465138,0.0,0.9457627118644067,0.0,0.9345738295318127,0.17164179104477612,0.49091456077015644,0.9621040723981901,0.4057988450433109,0.8724356583364417,0.0,0.8928960261295591,0.9950007245326764,0.0
D03_trajectory_divergence,0.0,0.5,0.0,0.44021739130434784,0.71875,0.4477848101265823,0.0,0.44594594594594594,0.0,0.0,0.8890649762282092,0.4381625441696113,0.8892405063291139,0.5,0.8882725832012678,0.8928,0.4523809523809524,0.8904761904761904,1.0,0.5
D04_recurrence,0.0,0.9058476717603177,0.5597826086956522,0.0,0.545658012533572,0.8910947608778383,0.9992836676217765,0.42981849611063094,0.985,0.0,0.9512558535547041,0.5353238015138773,0.9480565730565731,0.9825056433408578,0.8739953199715129,0.9820337503636892,0.46298076923076925,0.9799706612502821,0.9981889307447117,0.39925235935776443
D05_persistence,0.0,0.9069603275448256,0.28125,0.45434198746642795,0.0,0.8130398671096346,0.9878165312947922,0.3836677925690443,0.8680672268907563,0.0,0.25355054302422725,0.21233382570162482,0.8193967163039328,0.9377713458755427,0.8137167578572337,0.8344409370327297,0.014084507042253521,0.8467850417002959,0.9650872817955112,0.4479908805927615
D06_invariant_transitions,0.0,0.015389447236180905,0.5522151898734177,0.10890523912216162,0.18696013289036545,0.0,0.002398081534772182,0.20277442702050663,0.20588235294117646,0.0,0.8730603448275862,0.36455981941309257,0.22882513661202186,0.024301336573511544,0.21326543286548255,0.31581889323644496,0.4951284322409212,0.2501039501039501,0.03714446107784431,0.0010445122931062188
D07_forbidden_transitions,0.0,0.0026265520534861507,0.0,0.0007163323782234957,0.012183468705207836,0.9976019184652278,0.0,0.0,0.8333333333333334,0.0,0.85,0.0,0.0002387774594078319,0.5,0.0,0.5,0.0,0.5,1.0,0.0
D08_neighborhood_stability,0.0,1.0,0.5540540540540541,0.5701815038893691,0.6163322074309557,0.7972255729794934,1.0,0.0,1.0,0.0,1.0,0.503485254691689,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
D09_compression,0.0,0.05423728813559322,1.0,0.015,0.1319327731092437,0.7941176470588235,0.16666666666666666,0.0,0.0,0.0,0.8725490196078431,0.019230769230769232,0.016666666666666666,0.23863636363636365,0.009166666666666667,0.27956989247311825,0.0,0.21954022988505748,0.6487758945386064,0.0
D10_symmetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D11_symmetry_breaking,0.0,0.06542617046818727,0.1109350237717908,0.04874414644529587,0.7464494569757728,0.1269396551724138,0.15,0.0,0.12745098039215685,0.0,0.0,0.01973284760170006,0.03951548848292295,0.07920792079207921,0.003971405877680699,0.0326571004453241,0.0,0.0369702434625789,0.16818181818181818,0.0
D12_closure,0.0,0.8283582089552238,0.5618374558303887,0.4646761984861228,0.7876661742983752,0.6354401805869074,1.0,0.49651474530831097,0.9807692307692307,0.0,0.9802671523983,0.0,0.9360730593607306,0.8168316831683168,0.9221668742216688,0.9948979591836735,0.498989898989899,0.9514161220043573,0.9617263843648208,0.39976553341148885
D13_composition,0.0,0.5090854392298436,0.11075949367088607,0.05194342694342694,0.1806032836960672,0.7711748633879781,0.9997612225405922,0.0,0.9833333333333333,0.0,0.960484511517077,0.0639269406392694,0.0,0.8668171557562077,0.422218887555022,0.9936115843270868,0.0,0.9637360203742664,0.9905824398725007,0.0
D14_hierarchy,0.0,0.03789592760180995,0.5,0.017494356659142212,0.06222865412445731,0.9756986634264885,0.5,0.0,0.7613636363636364,0.0,0.9207920792079208,0.18316831683168316,0.13318284424379231,0.0,0.004514672686230248,0.5,0.0,0.5,1.0,0.0
D15_self_reference,0.0,0.5942011549566891,0.11172741679873217,0.12600468002848714,0.18628324214276626,0.7867345671345175,1.0,0.0,0.9908333333333333,0.0,0.9960285941223193,0.07783312577833126,0.577781112444978,0.9954853273137697,0.0,0.9991480903024279,0.0,0.9985049833887043,0.9995653433787308,0.0
D16_scale_invariance,0.0,0.12756434166355837,0.1072,0.017966249636310737,0.1655590629672703,0.684181106763555,0.5,0.0,0.7204301075268817,0.0,0.9673428995546759,0.00510204081632653,0.006388415672913117,0.5,0.0008519096975720574,0.0,0.0,0.5,1.0,0.0
D17_repeatability,0.0,1.0,0.5476190476190477,0.5370192307692307,0.9859154929577465,0.5048715677590788,0.0,0.5,1.0,0.0,1.0,0.501010101010101,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5
D18_separability,0.0,0.10710397387044093,0.10952380952380952,0.020029338749717896,0.15321495829970405,0.7498960498960499,0.5,0.0,0.7804597701149425,0.0,0.9630297565374211,0.048583877995642705,0.036263979625733585,0.5,0.001495016611295681,0.5,0.0,0.0,1.0,0.0
D19_boundary_formation,0.0,0.004999275467323577,0.0,0.0018110692552883222,0.034912718204488775,0.9628555389221557,0.0,0.0,0.3512241054613936,0.0,0.8318181818181818,0.038273615635179156,0.009417560127499275,0.0,0.00043465662126919734,0.0,0.0,0.0,0.0,0.0
D20_distance_structure,0.0,1.0,0.5,0.6007476406422355,0.5520091194072385,0.9989554877068938,1.0,0.5,1.0,0.0,1.0,0.6002344665885111,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0
