population,n,threshold,OC2,OC1,CD1,IC1,IS1,IS2,CD2,EC1,SR1
Random background (all),1000,0.2,100.0,98.8,100.0,100.0,98.7,100.0,83.4,76.6,72.8
Structured (all),240,0.2,99.6,99.6,100.0,100.0,95.4,100.0,87.5,81.7,75.0
Structured — non-viable,208,0.2,99.5,99.5,100.0,100.0,96.2,100.0,88.0,82.2,77.4
Structured — MC2+MC3+MC4 < 0.5,213,0.2,100.0,99.5,100.0,100.0,95.3,100.0,85.9,79.3,71.8
Structured — MC2+MC3+MC4 >= 0.5,27,0.2,96.3,100.0,100.0,100.0,96.3,100.0,100.0,100.0,100.0
Structured — viable,32,0.2,100.0,100.0,100.0,100.0,90.6,100.0,84.4,78.1,59.4
Structured — MC-satisfying + viable,5,0.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Random background (all),1000,0.5,99.4,70.6,33.2,85.3,96.4,100.0,40.3,30.1,20.3
Structured (all),240,0.5,96.7,74.6,43.8,82.1,89.6,100.0,43.8,35.8,25.0
Structured — non-viable,208,0.5,96.2,70.7,35.1,81.7,93.3,100.0,43.8,35.6,24.0
Structured — MC2+MC3+MC4 < 0.5,213,0.5,97.2,77.0,44.6,82.2,89.2,100.0,36.6,27.7,15.5
Structured — MC2+MC3+MC4 >= 0.5,27,0.5,92.6,55.6,37.0,81.5,92.6,100.0,100.0,100.0,100.0
Structured — viable,32,0.5,100.0,100.0,100.0,84.4,65.6,100.0,43.8,37.5,31.2
Structured — MC-satisfying + viable,5,0.5,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
