assumption,description,dependencies
symbols,Discrete symbolic objects (integers 0-N),
state,A 'state' exists at each interaction step,
memory,Full trajectory is retained across steps,
ordering,States are ordered sequences (position matters),
recursion,Rules apply iteratively to their own outputs,
rule_tables,Deterministic input->output mapping exists,
continuous_state,"States are vectors in R^n (continuous, not discrete)",
vector_space,"States exist in a vector space (addition, scalar multiplication defined)",
time,A sequence of discrete steps exists,
history,The sequence of past states is accessible,
continuity,State space is continuous (not discrete),
observer,An external entity measures and classifies states,
existence,Something exists (at least one state),
distinction,TARGET: Two things can be non-identical (the concept itself),
