system,replay_idempotent_mse_mean,replay_idempotent_mse_std,replay_displacement_mean,replay_displacement_std,replay_perfectly_idempotent
primes,0.0,0.0,0.01635627609624713,3.469446951953614e-18,True
fibonacci,0.0,0.0,0.3323081759590897,1.1102230246251565e-16,True
modular_arithmetic,0.0,0.0,0.33039936639184325,1.1102230246251565e-16,True
additive_recurrence,0.0,0.0,1.0949588914424848,2.220446049250313e-16,True
lorenz,0.0,0.0,0.8634073666864136,1.1102230246251565e-16,True
logistic_map,0.0,0.0,0.8976007310046259,2.220446049250313e-16,True
henon_map,0.0,0.0,0.9083176130063279,2.220446049250313e-16,True
ising_magnetization,0.0,0.0,1.0138724505518224,0.19410747603757764,True
reaction_diffusion,0.0,0.0,1.215825627370613,0.0,True
cfg_expansion,0.0,0.0,0.016128829464724898,6.938893903907228e-18,True
lambda_reduction,0.0,0.0,0.01616699545036199,0.0001272585646813235,True
rewrite_system,0.0,0.0,0.3323081759590897,1.1102230246251565e-16,True
iid_gaussian,0.0,0.0,1.0003565200871187,0.053641321839623834,True
colored_noise,0.0,0.0,0.9966494826801494,0.07910593746509209,True
