layer,detector_id,detector_name,is_root,is_leaf
1,0,D01_possibility_reduction,True,True
1,3,D04_recurrence,True,False
1,7,D08_neighborhood_stability,True,False
1,9,D10_symmetry,True,True
1,11,D12_closure,True,False
1,16,D17_repeatability,True,False
1,19,D20_distance_structure,True,False
2,1,D02_trajectory_convergence,False,False
2,12,D13_composition,False,False
2,14,D15_self_reference,False,False
2,4,D05_persistence,False,False
3,6,D07_forbidden_transitions,False,False
3,13,D14_hierarchy,False,False
3,8,D09_compression,False,False
3,15,D16_scale_invariance,False,False
3,17,D18_separability,False,False
4,10,D11_symmetry_breaking,False,True
4,2,D03_trajectory_divergence,False,False
5,18,D19_boundary_formation,False,False
6,5,D06_invariant_transitions,False,True
