layer,detector_name,detection_rate,mean_first_depth
1,D01_possibility_reduction,0.0,0.0
1,D04_recurrence,0.9829,5.457218435242649
1,D08_neighborhood_stability,0.5956,5.0
1,D10_symmetry,0.0,0.0
1,D12_closure,0.2409,5.9132420091324205
1,D17_repeatability,0.1129,5.0
1,D20_distance_structure,0.8159,5.0
2,D02_trajectory_convergence,0.8312,6.473532242540904
2,D13_composition,0.9998,6.406881376275255
2,D15_self_reference,0.9998,6.019803960792158
2,D05_persistence,0.7859,8.871103193790558
3,D07_forbidden_transitions,0.2094,8.0
3,D14_hierarchy,0.0886,8.0
3,D09_compression,0.06,10.801666666666666
3,D16_scale_invariance,0.7045,8.0
3,D18_separability,0.9032,8.0
4,D11_symmetry_breaking,0.252,13.521428571428572
4,D03_trajectory_divergence,0.0633,8.382306477093207
5,D19_boundary_formation,0.6902,10.0
6,D06_invariant_transitions,0.8053,20.501800571215696
