system,flow_magnitude,flow_dir_C,flow_dir_F,flow_dir_A,flow_dir_R,potential_barrier
primes,1.4956841008690396,-0.502074051624935,0.3623501648782037,-0.6367251202521159,-0.4595705886342045,0.0
fibonacci,1.8080956179246577,-0.16361077061299464,0.7935181617668219,-0.5327853247350475,0.24433632646947093,0.0
modular_arithmetic,3.5039771083436415,-0.06954666817376669,0.9159225865181058,-0.37919502416757467,-0.11162531119089236,0.0
additive_recurrence,2.1075060762632374,0.692553139678921,-0.16626482688386837,0.5870485326916878,0.3848378571901193,0.0
lorenz,8.96905888019484,0.3760637978807296,-0.42149681191192834,-0.5723730911474343,0.5943950723230577,0.0
logistic_map,0.0,0.0,0.0,0.0,0.0,0.0
henon_map,2.7450246526183912,0.7029169308022979,-0.08381819111134749,0.4940735019596775,-0.5047511009315382,0.0
ising_magnetization,7.931815828333654,0.4809270802987511,-0.5843393443203831,-0.11777759228041687,0.6429503191314015,0.0
reaction_diffusion,8.302310289825469,0.9457848585805241,0.028661920009733503,-0.3235208470339671,-0.0019383383600940318,0.0
cfg_expansion,1.038301297600371,-0.37176735519666076,0.4162272373764681,-0.7021621331190753,-0.4421676823216538,0.0
lambda_reduction,1.2468535727562657,-0.4879630991975691,0.48469720063571686,-0.4837050441901946,-0.5412855694939271,0.0
rewrite_system,1.9031981897130084,-0.1882517058789591,0.7825906736025283,-0.5232381217690326,0.27988390584600964,0.0
iid_gaussian,1.0392089783028116,-0.29619828673587517,0.6042971079746956,-0.49435865604362206,-0.5501827872833676,0.0
colored_noise,1.0,0.49696223074172613,-0.6237054370418845,0.05993664259034878,0.6003562841310115,0.0
