from_detector,to_detector,probability,from_name,to_name
1,5,0.9846105527638191,D02_trajectory_convergence,D06_invariant_transitions
1,6,0.9973734479465138,D02_trajectory_convergence,D07_forbidden_transitions
1,13,0.9621040723981901,D02_trajectory_convergence,D14_hierarchy
1,18,0.9950007245326764,D02_trajectory_convergence,D19_boundary_formation
2,18,1.0,D03_trajectory_divergence,D19_boundary_formation
3,6,0.9992836676217765,D04_recurrence,D07_forbidden_transitions
3,8,0.985,D04_recurrence,D09_compression
3,10,0.9512558535547041,D04_recurrence,D11_symmetry_breaking
3,13,0.9825056433408578,D04_recurrence,D14_hierarchy
3,15,0.9820337503636892,D04_recurrence,D16_scale_invariance
3,17,0.9799706612502821,D04_recurrence,D18_separability
3,18,0.9981889307447117,D04_recurrence,D19_boundary_formation
4,6,0.9878165312947922,D05_persistence,D07_forbidden_transitions
4,18,0.9650872817955112,D05_persistence,D19_boundary_formation
6,5,0.9976019184652278,D07_forbidden_transitions,D06_invariant_transitions
6,18,1.0,D07_forbidden_transitions,D19_boundary_formation
7,1,1.0,D08_neighborhood_stability,D02_trajectory_convergence
7,6,1.0,D08_neighborhood_stability,D07_forbidden_transitions
7,8,1.0,D08_neighborhood_stability,D09_compression
7,10,1.0,D08_neighborhood_stability,D11_symmetry_breaking
7,12,1.0,D08_neighborhood_stability,D13_composition
7,13,1.0,D08_neighborhood_stability,D14_hierarchy
7,14,1.0,D08_neighborhood_stability,D15_self_reference
7,15,1.0,D08_neighborhood_stability,D16_scale_invariance
7,17,1.0,D08_neighborhood_stability,D18_separability
7,18,1.0,D08_neighborhood_stability,D19_boundary_formation
8,2,1.0,D09_compression,D03_trajectory_divergence
11,6,1.0,D12_closure,D07_forbidden_transitions
11,8,0.9807692307692307,D12_closure,D09_compression
11,10,0.9802671523983,D12_closure,D11_symmetry_breaking
11,15,0.9948979591836735,D12_closure,D16_scale_invariance
11,17,0.9514161220043573,D12_closure,D18_separability
11,18,0.9617263843648208,D12_closure,D19_boundary_formation
12,6,0.9997612225405922,D13_composition,D07_forbidden_transitions
12,8,0.9833333333333333,D13_composition,D09_compression
12,10,0.960484511517077,D13_composition,D11_symmetry_breaking
12,15,0.9936115843270868,D13_composition,D16_scale_invariance
12,17,0.9637360203742664,D13_composition,D18_separability
12,18,0.9905824398725007,D13_composition,D19_boundary_formation
13,5,0.9756986634264885,D14_hierarchy,D06_invariant_transitions
13,18,1.0,D14_hierarchy,D19_boundary_formation
14,6,1.0,D15_self_reference,D07_forbidden_transitions
14,8,0.9908333333333333,D15_self_reference,D09_compression
14,10,0.9960285941223193,D15_self_reference,D11_symmetry_breaking
14,13,0.9954853273137697,D15_self_reference,D14_hierarchy
14,15,0.9991480903024279,D15_self_reference,D16_scale_invariance
14,17,0.9985049833887043,D15_self_reference,D18_separability
14,18,0.9995653433787308,D15_self_reference,D19_boundary_formation
15,10,0.9673428995546759,D16_scale_invariance,D11_symmetry_breaking
15,18,1.0,D16_scale_invariance,D19_boundary_formation
16,1,1.0,D17_repeatability,D02_trajectory_convergence
16,4,0.9859154929577465,D17_repeatability,D05_persistence
16,8,1.0,D17_repeatability,D09_compression
16,10,1.0,D17_repeatability,D11_symmetry_breaking
16,12,1.0,D17_repeatability,D13_composition
16,14,1.0,D17_repeatability,D15_self_reference
16,15,1.0,D17_repeatability,D16_scale_invariance
16,17,1.0,D17_repeatability,D18_separability
16,18,1.0,D17_repeatability,D19_boundary_formation
17,10,0.9630297565374211,D18_separability,D11_symmetry_breaking
17,18,1.0,D18_separability,D19_boundary_formation
18,5,0.9628555389221557,D19_boundary_formation,D06_invariant_transitions
19,1,1.0,D20_distance_structure,D02_trajectory_convergence
19,5,0.9989554877068938,D20_distance_structure,D06_invariant_transitions
19,6,1.0,D20_distance_structure,D07_forbidden_transitions
19,8,1.0,D20_distance_structure,D09_compression
19,10,1.0,D20_distance_structure,D11_symmetry_breaking
19,12,1.0,D20_distance_structure,D13_composition
19,13,1.0,D20_distance_structure,D14_hierarchy
19,14,1.0,D20_distance_structure,D15_self_reference
19,15,1.0,D20_distance_structure,D16_scale_invariance
19,17,1.0,D20_distance_structure,D18_separability
19,18,1.0,D20_distance_structure,D19_boundary_formation
