X,Y,classification
tau_m1,tau_m2,PARTIAL_DERIVED
tau_m1,tau_m3,PARTIAL_DERIVED
tau_m1,tau_m4,PARTIAL_DERIVED
tau_m1,temporal_corr,INDEPENDENT
tau_m1,phase_corr,INDEPENDENT
tau_m1,effective_rank,INDEPENDENT
tau_m1,spectral_entropy,INDEPENDENT
tau_m1,mean_curvature,INDEPENDENT
tau_m1,local_dim,INDEPENDENT
tau_m1,laminarity,INDEPENDENT
tau_m1,divergence_rate,INDEPENDENT
tau_m1,PR,INDEPENDENT
tau_m1,pc1,INDEPENDENT
tau_m2,tau_m3,PARTIAL_DERIVED
tau_m2,tau_m4,PARTIAL_DERIVED
tau_m2,temporal_corr,INDEPENDENT
tau_m2,phase_corr,INDEPENDENT
tau_m2,effective_rank,INDEPENDENT
tau_m2,spectral_entropy,INDEPENDENT
tau_m2,mean_curvature,INDEPENDENT
tau_m2,local_dim,INDEPENDENT
tau_m2,laminarity,INDEPENDENT
tau_m2,divergence_rate,INDEPENDENT
tau_m2,PR,INDEPENDENT
tau_m2,pc1,INDEPENDENT
tau_m3,tau_m4,PARTIAL_DERIVED
tau_m3,temporal_corr,INDEPENDENT
tau_m3,phase_corr,INDEPENDENT
tau_m3,effective_rank,INDEPENDENT
tau_m3,spectral_entropy,INDEPENDENT
tau_m3,mean_curvature,INDEPENDENT
tau_m3,local_dim,INDEPENDENT
tau_m3,laminarity,INDEPENDENT
tau_m3,divergence_rate,INDEPENDENT
tau_m3,PR,INDEPENDENT
tau_m3,pc1,INDEPENDENT
tau_m4,temporal_corr,INDEPENDENT
tau_m4,phase_corr,INDEPENDENT
tau_m4,effective_rank,INDEPENDENT
tau_m4,spectral_entropy,INDEPENDENT
tau_m4,mean_curvature,INDEPENDENT
tau_m4,local_dim,INDEPENDENT
tau_m4,laminarity,INDEPENDENT
tau_m4,divergence_rate,INDEPENDENT
tau_m4,PR,INDEPENDENT
tau_m4,pc1,INDEPENDENT
temporal_corr,phase_corr,PARTIAL_DERIVED
temporal_corr,effective_rank,INDEPENDENT
temporal_corr,spectral_entropy,INDEPENDENT
temporal_corr,mean_curvature,INDEPENDENT
temporal_corr,local_dim,INDEPENDENT
temporal_corr,laminarity,INDEPENDENT
temporal_corr,divergence_rate,INDEPENDENT
temporal_corr,PR,INDEPENDENT
temporal_corr,pc1,INDEPENDENT
phase_corr,effective_rank,INDEPENDENT
phase_corr,spectral_entropy,INDEPENDENT
phase_corr,mean_curvature,INDEPENDENT
phase_corr,local_dim,INDEPENDENT
phase_corr,laminarity,INDEPENDENT
phase_corr,divergence_rate,INDEPENDENT
phase_corr,PR,INDEPENDENT
phase_corr,pc1,INDEPENDENT
effective_rank,spectral_entropy,INDEPENDENT
effective_rank,mean_curvature,INDEPENDENT
effective_rank,local_dim,INDEPENDENT
effective_rank,laminarity,INDEPENDENT
effective_rank,divergence_rate,INDEPENDENT
effective_rank,PR,DIRECT
effective_rank,pc1,INDEPENDENT
spectral_entropy,mean_curvature,INDEPENDENT
spectral_entropy,local_dim,INDEPENDENT
spectral_entropy,laminarity,INDEPENDENT
spectral_entropy,divergence_rate,INDEPENDENT
spectral_entropy,PR,INDEPENDENT
spectral_entropy,pc1,INDEPENDENT
mean_curvature,local_dim,INDEPENDENT
mean_curvature,laminarity,INDEPENDENT
mean_curvature,divergence_rate,INDEPENDENT
mean_curvature,PR,INDEPENDENT
mean_curvature,pc1,INDEPENDENT
local_dim,laminarity,INDEPENDENT
local_dim,divergence_rate,INDEPENDENT
local_dim,PR,INDEPENDENT
local_dim,pc1,INDEPENDENT
laminarity,divergence_rate,INDEPENDENT
laminarity,PR,INDEPENDENT
laminarity,pc1,INDEPENDENT
divergence_rate,PR,INDEPENDENT
divergence_rate,pc1,INDEPENDENT
PR,pc1,INDEPENDENT
