statement,removed_prerequisite,survives,collapses_units
N07,after,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,alignment,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,all,False,all
N07,apart,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,arithmetic,False,arithmetic
N07,arrangement,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,before_after,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,being,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,belonging,False,detectors
N07,between,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,boundary,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,category,False,detectors
N07,change,False,"comparison, arithmetic, distinction"
N07,class,False,detectors
N07,codomain,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,collection,False,detectors
N07,combination,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,comparison,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,concept,False,"comparison, arithmetic, distinction"
N07,containment,False,detectors
N07,continuity,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,correspondence,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,counting,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,destination,False,import
N07,difference,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,direction,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,distance,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,distinction,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,distinction_from_absence,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,distinction_from_many,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,distinction_from_nothing,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,domain,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,elements,False,detectors
N07,end,False,import
N07,equality,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,existence,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,expression,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,extension,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,false,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,function,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,goal,False,import
N07,group,False,detectors
N07,here,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,idea,False,"comparison, arithmetic, distinction"
N07,identity,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,inclusion,False,detectors
N07,incoming,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,indicator,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,inequality,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,input,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,input_output,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,location,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,magnitude,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,mapping,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,mark,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,matching,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,meaning,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,measure,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,members,False,detectors
N07,membership,False,detectors
N07,metric,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,mismatch,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,negation,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,next,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,non_correspondence,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,nonidentity,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
N07,norm,False,"all, 45, detectors, import, comparison, arithmetic, distinction"
