r,full_pc1,m2_contribution,d_contrib_dr
3.82,0.788355103892472,0.2046288373775197,-50.68648245417191
3.8295,0.6097976081955825,-0.27689274593711666,-28.644469847508446
3.8389,0.6588804382482388,-0.3411368431431895,-3.0189215558777427
3.8484,0.6564464727643314,-0.33318319286609743,1.3630095082646179
3.8579,0.616480469543671,-0.31523966248616175,10.262184350625933
3.8674,0.7307852430094539,-0.13820169020420336,20.82679250431108
3.8768,0.8167716777846313,0.07795077909404624,12.631380331637356
3.8863,0.8798700704362656,0.09844766035434571,5.801885374588929
3.8958,0.9069687463584296,0.18818660121123665,1.6559135247303622
3.9053,0.932720619977183,0.1299100173242228,-4.636942339462178
3.9147,0.8872799385457377,0.10025048026031635,-9.952958099413252
3.9242,0.8532165718130832,-0.059567659977679654,-11.09801299163415
3.9337,0.8120071202097986,-0.1106117665807339,-1.1162430963967478
3.9432,0.847076636634504,-0.080776278809218,21.78799202447488
3.9526,0.8890894102503678,0.29747142866619425,16.736120887798982
3.9621,0.9188788946047445,0.2308108033962023,-4.537601777603426
3.9716,0.8999644468995982,0.21125699489172856,-8.739026612231031
3.9811,0.8834454505611403,0.06476929776381157,1.967395045499643
3.9905,0.9266839734992076,0.24498163299001663,-19.123926103156915
4.0,0.6202857377748652,-0.3043727356529379,-57.8267756466264
